"data_set1","data_set2","cor","p","p_adjust","level"
"Rice_Pasta_Noodles","genus_Clostridium.XlVa",-0.906318391022195,6.35353605191796e-09,6.09939460984124e-07,"genus"
"Sauces, Spices, and Herbs","genus_Parasutterella",-0.905456695469543,6.93722204564538e-09,6.65973316381956e-07,"genus"
"Fruits","genus_Parasutterella",-0.904219732770814,7.8586624651813e-09,7.54431596657405e-07,"genus"
"Fats and Oils","phylum_unclassified_Bacteria",0.882086167800454,5.71552110734833e-08,1.09738005261088e-06,"phylum"
"Fats and Oils","class_unclassified_Bacteria",0.882086167800454,5.71552110734833e-08,1.09738005261088e-06,"class"
"Fats and Oils","order_unclassified_Bacteria",0.882086167800454,5.71552110734833e-08,1.09738005261088e-06,"order"
"Fats and Oils","family_unclassified_Bacteria",0.882086167800454,5.71552110734833e-08,1.09738005261088e-06,"family"
"Fats and Oils","genus_unclassified_Bacteria",0.882086167800454,5.71552110734833e-08,1.09738005261088e-06,"genus"
"Rice_Pasta_Noodles","class_Bacilli",-0.886922472148179,3.83887159619851e-08,1.22843891078352e-06,"class"
"Rice_Pasta_Noodles","order_Lactobacillales",-0.886922472148179,3.83887159619851e-08,1.22843891078352e-06,"order"
"Bread_Products","class_Deltaproteobacteria",0.875151109350685,9.82357764126029e-08,2.35765863390247e-06,"class"
"Bread_Products","order_Desulfovibrionales",0.875151109350685,9.82357764126029e-08,2.35765863390247e-06,"order"
"Bread_Products","family_Desulfovibrionaceae",0.875151109350685,9.82357764126029e-08,2.35765863390247e-06,"family"
"Bread_Products","genus_Clostridium.XVIII",-0.882591093117409,5.48734961581544e-08,2.35765863390247e-06,"genus"
"Eggs","genus_Pseudoflavonifractor",-0.890508278862624,2.82447536592793e-08,2.71149635129082e-06,"genus"
"Bread_Products","genus_Barnesiella",-0.852267299424201,4.78692973590424e-07,7.65908757744689e-06,"genus"
"Bread_Products","genus_unclassified_Clostridiales_Incertae.Sedis.XIII",0.852267299424201,4.7869297359043e-07,7.65908757744689e-06,"genus"
"Sweets_Sweeteners","genus_Parasutterella",0.875753473347086,9.38414778449565e-08,9.00878187311582e-06,"genus"
"Salad","family_Clostridiaceae.1",-0.865059371943111,2.04589209366621e-07,9.82028204959783e-06,"family"
"Salad","genus_Clostridium.sensu.stricto",-0.865059371943111,2.04589209366621e-07,9.82028204959783e-06,"genus"
"Meat_Poultry","genus_Anaerotruncus",0.874044650410438,1.06785804698275e-07,1.02514372510344e-05,"genus"
"Salad","phylum_Verrucomicrobia",-0.841375337119206,9.29637996770918e-07,1.27493210985726e-05,"phylum"
"Salad","class_Verrucomicrobiae",-0.841375337119206,9.29637996770918e-07,1.27493210985726e-05,"class"
"Salad","order_Verrucomicrobiales",-0.841375337119206,9.29637996770918e-07,1.27493210985726e-05,"order"
"Salad","family_Verrucomicrobiaceae",-0.841375337119206,9.29637996770918e-07,1.27493210985726e-05,"family"
"Salad","genus_Akkermansia",-0.841375337119206,9.29637996770918e-07,1.27493210985726e-05,"genus"
"Eggs","genus_unclassified_Ruminococcaceae",-0.857968841990527,3.31065832672276e-07,1.58911599682692e-05,"genus"
"Fruits","family_Veillonellaceae",-0.85380672658064,4.33990177069171e-07,2.08315284993202e-05,"family"
"Nuts_Seeds","class_Erysipelotrichia",-0.842504891666951,8.69815498348439e-07,2.08755719603625e-05,"class"
"Nuts_Seeds","order_Erysipelotrichales",-0.842504891666951,8.69815498348439e-07,2.08755719603625e-05,"order"
"Nuts_Seeds","family_Erysipelotrichaceae",-0.842504891666951,8.69815498348439e-07,2.08755719603625e-05,"family"
"Nuts_Seeds","genus_unclassified_Erysipelotrichaceae",-0.85389779081052,4.31465638990153e-07,2.08755719603625e-05,"genus"
"Sauces, Spices, and Herbs","family_Veillonellaceae",-0.850081024501015,5.4917786488783e-07,2.63605375146158e-05,"family"
"Non_Starchy_Vegetables","family_Clostridiales_Incertae.Sedis.XIII",0.842403628117914,8.75036004770464e-07,3.64544289024543e-05,"family"
"Non_Starchy_Vegetables","family_unclassified_Clostridiales",0.837868480725624,1.1392009032017e-06,3.64544289024543e-05,"family"
"Non_Starchy_Vegetables","genus_unclassified_Clostridiales",0.837868480725624,1.1392009032017e-06,3.64544289024543e-05,"genus"
"Nuts_Seeds","genus_Blautia",-0.82769412278031,2.00209230113176e-06,3.84401721817297e-05,"genus"
"Bread_Products","genus_Veillonella",-0.813444954051373,4.16077707063105e-06,5.70620855400829e-05,"genus"
"Beverages","genus_Blautia",0.816496580927726,3.57622039250735e-06,6.86634315361414e-05,"genus"
"Beverages","genus_Butyricicoccus",0.816496580927726,3.57622039250735e-06,6.86634315361414e-05,"genus"
"Beverages","genus_Dorea",0.816496580927726,3.57622039250735e-06,6.86634315361414e-05,"genus"
"Beverages","genus_Erysipelotrichaceae_incertae_sedis",0.816496580927726,3.57622039250735e-06,6.86634315361414e-05,"genus"
"Beverages","genus_Oscillibacter",-0.816496580927726,3.57622039250737e-06,6.86634315361414e-05,"genus"
"Legume_Products","genus_Blautia",0.816496580927726,3.57622039250735e-06,6.86634315361414e-05,"genus"
"Legume_Products","genus_Butyricicoccus",0.816496580927726,3.57622039250735e-06,6.86634315361414e-05,"genus"
"Legume_Products","genus_Dorea",0.816496580927726,3.57622039250735e-06,6.86634315361414e-05,"genus"
"Legume_Products","genus_Erysipelotrichaceae_incertae_sedis",0.816496580927726,3.57622039250735e-06,6.86634315361414e-05,"genus"
"Legume_Products","genus_Oscillibacter",-0.816496580927726,3.57622039250737e-06,6.86634315361414e-05,"genus"
"Non_Starchy_Vegetables","phylum_Bacteroidetes",-0.811791383219955,4.51139542596145e-06,7.21823268153832e-05,"phylum"
"Non_Starchy_Vegetables","class_Bacteroidia",-0.811791383219955,4.51139542596145e-06,7.21823268153832e-05,"class"
