"data_set1","data_set2","cor","p","p_adjust","level"
"Seafood","genus_Holdemania",-0.994601889338732,3.70778743366763e-21,3.55947593632092e-19,"genus"
"Mixed_Meal","genus_Holdemania",-0.970203868554803,8.80283883142901e-14,8.45072527817185e-12,"genus"
"Bread_Products","genus_Clostridium.XVIII",0.939105099581908,9.82877466510854e-11,9.4356236785042e-09,"genus"
"Alcohol","phylum_Proteobacteria",-0.885773739673027,4.22626277687944e-08,4.5080136286714e-07,"phylum"
"Alcohol","class_Betaproteobacteria",-0.885773739673027,4.22626277687944e-08,4.5080136286714e-07,"class"
"Alcohol","class_Deltaproteobacteria",-0.885773739673027,4.22626277687944e-08,4.5080136286714e-07,"class"
"Alcohol","order_Burkholderiales",-0.885773739673027,4.22626277687944e-08,4.5080136286714e-07,"order"
"Alcohol","order_Desulfovibrionales",-0.885773739673027,4.22626277687944e-08,4.5080136286714e-07,"order"
"Alcohol","family_Desulfovibrionaceae",-0.885773739673027,4.22626277687944e-08,4.5080136286714e-07,"family"
"Alcohol","family_Sutterellaceae",-0.885773739673027,4.22626277687944e-08,4.5080136286714e-07,"family"
"Alcohol","genus_Bilophila",-0.885773739673027,4.22626277687944e-08,4.5080136286714e-07,"genus"
"Alcohol","genus_Parasutterella",-0.885773739673027,4.22626277687944e-08,4.5080136286714e-07,"genus"
"Eggs","genus_Holdemania",0.905430263289444,6.95585791666771e-09,6.677623600001e-07,"genus"
"Meat_Poultry","genus_unclassified_Coriobacteriaceae",-0.892290249433107,2.41542238385733e-08,2.31880548850304e-06,"genus"
"Tea","genus_Holdemania",-0.890798668166089,2.75388106690102e-08,2.64372582422498e-06,"genus"
"Bread_Products","class_Erysipelotrichia",0.862088904296746,2.51100985100671e-07,4.39244642743187e-06,"class"
"Bread_Products","order_Erysipelotrichales",0.862088904296746,2.51100985100671e-07,4.39244642743187e-06,"order"
"Bread_Products","family_Erysipelotrichaceae",0.862088904296746,2.51100985100671e-07,4.39244642743187e-06,"family"
"Bread_Products","family_Peptostreptococcaceae",0.860773741971351,2.74527901714492e-07,4.39244642743187e-06,"family"
"Bread_Products","genus_Clostridium.XI",0.860773741971351,2.74527901714492e-07,4.39244642743187e-06,"genus"
"Bread_Products","family_Clostridiaceae.1",0.850252443368187,5.43337221505902e-07,5.79559702939629e-06,"family"
"Bread_Products","genus_Clostridium.sensu.stricto",0.850252443368187,5.43337221505902e-07,5.79559702939629e-06,"genus"
"Bread_Products","genus_unclassified_Erysipelotrichaceae",0.852882768018978,4.60354004732416e-07,5.79559702939629e-06,"genus"
"Tea","phylum_Proteobacteria",0.816496580927726,3.57622039250735e-06,3.12106506982459e-05,"phylum"
"Tea","class_Betaproteobacteria",0.816496580927726,3.57622039250735e-06,3.12106506982459e-05,"class"
"Tea","class_Deltaproteobacteria",0.816496580927726,3.57622039250735e-06,3.12106506982459e-05,"class"
"Tea","order_Burkholderiales",0.816496580927726,3.57622039250735e-06,3.12106506982459e-05,"order"
"Tea","order_Desulfovibrionales",0.816496580927726,3.57622039250735e-06,3.12106506982459e-05,"order"
"Tea","family_Desulfovibrionaceae",0.816496580927726,3.57622039250735e-06,3.12106506982459e-05,"family"
"Tea","family_Sutterellaceae",0.816496580927726,3.57622039250735e-06,3.12106506982459e-05,"family"
"Tea","genus_Bilophila",0.816496580927726,3.57622039250735e-06,3.12106506982459e-05,"genus"
"Tea","genus_Parasutterella",0.816496580927726,3.57622039250735e-06,3.12106506982459e-05,"genus"
"Tea","genus_unclassified_Coriobacteriaceae",0.816496580927726,3.57622039250735e-06,3.12106506982459e-05,"genus"
"Mixed_Meal","genus_Clostridium.XlVb",-0.84593019797906,7.08669789120373e-07,3.40161498777779e-05,"genus"
"Seafood","genus_Dorea",-0.835568302991361,1.29835487081315e-06,6.23210337990312e-05,"genus"
"Alcohol","genus_Dorea",0.801657096768826,7.28599120568426e-06,6.99455155745688e-05,"genus"
"Seafood","genus_Flavonifractor",-0.825054120052165,2.30388608187463e-06,7.3724354619988e-05,"genus"
"Salad","genus_Blautia",0.816496580927726,3.57622039250735e-06,8.58292894201768e-05,"genus"
"Salad","genus_Dorea",0.816496580927726,3.57622039250735e-06,8.58292894201768e-05,"genus"
"Salad","genus_Oscillibacter",-0.816496580927726,3.57622039250737e-06,8.58292894201768e-05,"genus"
"Salad","genus_Ruminococcus",0.819288030372914,3.10614601231806e-06,8.58292894201768e-05,"genus"
