"data_set1","data_set2","cor","p","p_adjust","level"
"Bread_Products","family_Clostridiaceae.1",0.83893398588655,1.15587367807031e-12,5.54819365473751e-11,"family"
"Bread_Products","genus_Clostridium.sensu.stricto",0.83893398588655,1.15587367807031e-12,5.54819365473751e-11,"genus"
"Dairy_Products","class_Deltaproteobacteria",0.755646527385658,3.04679350577763e-09,9.74973921848842e-08,"class"
"Dairy_Products","order_Desulfovibrionales",0.755646527385658,3.04679350577763e-09,9.74973921848842e-08,"order"
"Dairy_Products","family_Desulfovibrionaceae",0.755646527385658,3.04679350577763e-09,9.74973921848842e-08,"family"
"Coffee","genus_unclassified_Ruminococcaceae",0.758525901736762,2.44991523643106e-09,2.35191862697382e-07,"genus"
"Coffee","genus_Oscillibacter",0.736037669568971,1.24725609163953e-08,5.98682923986973e-07,"genus"
"Bread_Products","genus_unclassified_Clostridiales_Incertae.Sedis.XIII",0.704438449448955,9.48811490849216e-08,3.03619677071749e-06,"genus"
"Dairy_Products","genus_Bilophila",0.679136081309994,4.0219548300051e-07,7.83613085504524e-06,"genus"
"Dairy_Products","genus_Phascolarctobacterium",0.678866031542427,4.08131815366939e-07,7.83613085504524e-06,"genus"
"Bread_Products","genus_Holdemania",0.672420068274989,5.76426666148753e-07,1.38342399875701e-05,"genus"
"Salad","family_unclassified_Clostridiales",-0.679862833648701,3.86615697297429e-07,1.85575534702766e-05,"family"
"Salad","genus_unclassified_Clostridiales",-0.679862833648701,3.86615697297429e-07,1.85575534702766e-05,"genus"
"Dairy_Products","genus_Lachnospiracea_incertae_sedis",-0.655844155844156,1.34879598797969e-06,2.15807358076751e-05,"genus"
"Alcohol","class_Gammaproteobacteria",-0.68945335882531,2.27117063273522e-07,2.18032380742582e-05,"class"
"Coffee","family_Ruminococcaceae",0.662137433956485,9.8279319087258e-07,3.14493821079226e-05,"family"
"Eggs","family_Peptostreptococcaceae",0.659516876852678,1.12228053112508e-06,3.48102461459106e-05,"family"
"Eggs","family_Rikenellaceae",0.65437909999767,1.45042692274628e-06,3.48102461459106e-05,"family"
"Eggs","genus_Alistipes",0.65437909999767,1.45042692274628e-06,3.48102461459106e-05,"genus"
"Eggs","genus_Clostridium.XI",0.659516876852678,1.12228053112508e-06,3.48102461459106e-05,"genus"
"Salad","genus_Collinsella",-0.656651324537252,1.29566053763371e-06,4.14611372042786e-05,"genus"
"Sweets_Sweeteners","phylum_Bacteroidetes",0.654239837658239,1.46044764474949e-06,4.67343246319837e-05,"phylum"
"Sweets_Sweeteners","class_Bacteroidia",0.654239837658239,1.46044764474949e-06,4.67343246319837e-05,"class"
"Sweets_Sweeteners","order_Bacteroidales",0.654239837658239,1.46044764474949e-06,4.67343246319837e-05,"order"
"Seafood","genus_Anaerotruncus",-0.660450835749889,1.0705904335195e-06,5.13883408089358e-05,"genus"
"Seafood","genus_Flavonifractor",-0.672612292633728,5.7059230552972e-07,5.13883408089358e-05,"genus"
"Salad","genus_Ruminococcus",0.637269602531712,3.29424629979864e-06,7.90619111951674e-05,"genus"
"Rice_Pasta_Noodles","class_Deltaproteobacteria",0.628895971138844,4.83411819830801e-06,9.28150694075137e-05,"class"
"Rice_Pasta_Noodles","order_Desulfovibrionales",0.628895971138844,4.83411819830801e-06,9.28150694075137e-05,"order"
"Rice_Pasta_Noodles","family_Desulfovibrionaceae",0.628895971138844,4.83411819830801e-06,9.28150694075137e-05,"family"
"Rice_Pasta_Noodles","genus_Flavonifractor",-0.644155521496513,2.38241721989528e-06,9.28150694075137e-05,"genus"
"Rice_Pasta_Noodles","genus_Lachnospiracea_incertae_sedis",-0.633452140202982,3.9291813359733e-06,9.28150694075137e-05,"genus"
"Non_Starchy_Vegetables","genus_Clostridium.IV",0.656973461321287,1.27500091050225e-06,0.000122400087408216,"genus"
"Salad","phylum_Actinobacteria",-0.60244073159618,1.51270078167021e-05,0.000181524093800425,"phylum"
"Salad","class_Actinobacteria",-0.60244073159618,1.51270078167021e-05,0.000181524093800425,"class"
"Salad","order_Coriobacteriales",-0.603574844419215,1.44351468746687e-05,0.000181524093800425,"order"
"Salad","family_Coriobacteriaceae",-0.603574844419215,1.44351468746687e-05,0.000181524093800425,"family"
"Non_Starchy_Vegetables","genus_Clostridium.XlVb",0.632693393562959,4.06811365224938e-06,0.00019526945530797,"genus"
"Bread_Products","phylum_Firmicutes",0.605085295112796,1.35587999086259e-05,0.000260328958245617,"phylum"
"Salad","family_Bacteroidaceae",0.581119410523123,3.53168618043495e-05,0.000308219884837959,"family"
"Salad","genus_Bacteroides",0.581119410523123,3.53168618043495e-05,0.000308219884837959,"genus"
"Salad","genus_Clostridium.XVIII",0.585456857090638,2.98653847709897e-05,0.000308219884837959,"genus"
"Mixed_Meal","phylum_Bacteroidetes",-0.605143630811426,1.3525955680275e-05,0.000324622936326599,"phylum"
"Mixed_Meal","class_Bacteroidia",-0.605143630811426,1.3525955680275e-05,0.000324622936326599,"class"
"Mixed_Meal","order_Bacteroidales",-0.605143630811426,1.3525955680275e-05,0.000324622936326599,"order"
"Mixed_Meal","genus_Prevotella",-0.606624271711453,1.27163977757145e-05,0.000324622936326599,"genus"
"Legume_Products","genus_Oscillibacter",-0.635339378979623,3.60238149525761e-06,0.000345828623544731,"genus"
"Sweets_Sweeteners","genus_Odoribacter",0.60089927039618,1.61162190090156e-05,0.000386789256216374,"genus"
"Mixed_Meal","phylum_Actinobacteria",0.590542090038153,2.44603449521024e-05,0.000391365519233639,"phylum"
"Mixed_Meal","class_Actinobacteria",0.590542090038153,2.44603449521024e-05,0.000391365519233639,"class"
"Legume_Products","genus_Dorea",0.616231427732116,8.45516222056285e-06,0.000399164909107582,"genus"
"Legume_Products","genus_Ruminococcus",0.607084654188654,1.24739034096119e-05,0.000399164909107582,"genus"
"Mixed_Meal","genus_Collinsella",0.585784284617648,2.94869016977085e-05,0.00040439179471143,"genus"
"Coffee","genus_unclassified_Porphyromonadaceae",-0.59797393712642,1.81585089570436e-05,0.000435804214969047,"genus"
"Coffee","class_Deltaproteobacteria",-0.573847622133741,4.65325119662254e-05,0.000496346794306405,"class"
"Coffee","order_Desulfovibrionales",-0.573847622133741,4.65325119662254e-05,0.000496346794306405,"order"
"Coffee","family_Clostridiaceae.1",0.581584730950312,3.46912762394011e-05,0.000496346794306405,"family"
"Coffee","family_Desulfovibrionaceae",-0.573847622133741,4.65325119662254e-05,0.000496346794306405,"family"
"Coffee","genus_Clostridium.sensu.stricto",0.581584730950312,3.46912762394011e-05,0.000496346794306405,"genus"
"Salad","genus_Oscillibacter",-0.56040294962235,7.61892079321017e-05,0.000609513663456813,"genus"
"Mixed_Meal","family_Prevotellaceae",-0.570280401437038,5.31475132162884e-05,0.000637770158595461,"family"
"Legume_Products","genus_Blautia",0.587569500860855,2.74994298811035e-05,0.000659986317146484,"genus"
"Mixed_Meal","order_Coriobacteriales",0.562815568794522,6.98469312106223e-05,0.000670530539621974,"order"
"Mixed_Meal","family_Coriobacteriaceae",0.562815568794522,6.98469312106223e-05,0.000670530539621974,"family"
"Nuts_Seeds","genus_Blautia",-0.616692153336229,8.28847230262603e-06,0.000795693341052099,"genus"
"Tea","family_Veillonellaceae",0.588217953768369,2.68084262362226e-05,0.000857869639559122,"family"
"Tea","genus_Anaerotruncus",-0.595065068252136,2.04222647172926e-05,0.000857869639559122,"genus"
"Tea","genus_Parasutterella",0.601456654125163,1.57518709861923e-05,0.000857869639559122,"genus"
"Sweets_Sweeteners","phylum_Firmicutes",-0.572948813150861,4.81243138079617e-05,0.000902111154593207,"phylum"
"Sweets_Sweeteners","family_Ruminococcaceae",-0.568681567769897,5.63819471620754e-05,0.000902111154593207,"family"
"Bread_Products","family_Clostridiales_Incertae.Sedis.XIII",0.567484392452823,5.8920294216762e-05,0.000942724707468192,"family"
