"data_set1","data_set2","cor","p","p_adjust","level","class"
"Alcohol","phylum_Proteobacteria",-0.885773739673027,4.22626277687944e-08,4.5080136286714e-07,"phylum","IR"
"Alcohol","class_Betaproteobacteria",-0.885773739673027,4.22626277687944e-08,4.5080136286714e-07,"class","IR"
"Alcohol","class_Deltaproteobacteria",-0.885773739673027,4.22626277687944e-08,4.5080136286714e-07,"class","IR"
"Alcohol","order_Burkholderiales",-0.885773739673027,4.22626277687944e-08,4.5080136286714e-07,"order","IR"
"Alcohol","order_Desulfovibrionales",-0.885773739673027,4.22626277687944e-08,4.5080136286714e-07,"order","IR"
"Alcohol","family_Desulfovibrionaceae",-0.885773739673027,4.22626277687944e-08,4.5080136286714e-07,"family","IR"
"Alcohol","family_Sutterellaceae",-0.885773739673027,4.22626277687944e-08,4.5080136286714e-07,"family","IR"
"Alcohol","genus_Bilophila",-0.885773739673027,4.22626277687944e-08,4.5080136286714e-07,"genus","IR"
"Alcohol","genus_Parasutterella",-0.885773739673027,4.22626277687944e-08,4.5080136286714e-07,"genus","IR"
"Alcohol","genus_Dorea",0.801657096768826,7.28599120568426e-06,6.99455155745688e-05,"genus","IR"
"Alcohol","genus_Holdemania",0.792570749656693,1.09490854289091e-05,9.55556546522977e-05,"genus","IR"
"Alcohol","genus_Roseburia",0.781265183337505,1.7693022231246e-05,0.000141544177849968,"genus","IR"
"Alcohol","class_Gammaproteobacteria",-0.767749447463851,3.03162003952838e-05,0.000194023682529816,"class","IR"
"Alcohol","genus_Faecalibacterium",0.769794732032386,2.8008043935604e-05,0.000194023682529816,"genus","IR"
"Alcohol","genus_unclassified_Porphyromonadaceae",-0.76850625032498,2.94434667442508e-05,0.000194023682529816,"genus","IR"
"Alcohol","family_Clostridiaceae.1",0.730285399759201,0.000113970359808823,0.000643597325979237,"family","IR"
"Alcohol","genus_Clostridium.sensu.stricto",0.730285399759201,0.000113970359808823,0.000643597325979237,"genus","IR"
"Alcohol","family_Peptostreptococcaceae",0.625776843423678,0.00183936665405542,0.00929364204154317,"family","IR"
"Alcohol","genus_Clostridium.XI",0.625776843423678,0.00183936665405542,0.00929364204154317,"genus","IR"
"Alcohol","genus_Clostridium.XVIII",0.620151849731378,0.00207788802999277,0.00946811893986112,"genus","IR"
"Alcohol","genus_unclassified_Coriobacteriaceae",-0.618129875886933,0.00216977725705151,0.00946811893986112,"genus","IR"
"Alcohol","genus_unclassified_Erysipelotrichaceae",0.621953359655306,0.00199880830125075,0.00946811893986112,"genus","IR"
"Alcohol","phylum_Firmicutes",0.583718521971578,0.00434446440327945,0.0141217334713165,"phylum","IR"
"Alcohol","phylum_unclassified_Bacteria",-0.581169532792663,0.00456014310011261,0.0141217334713165,"phylum","IR"
"Alcohol","class_Erysipelotrichia",0.586267511150493,0.00413737159875796,0.0141217334713165,"class","IR"
"Alcohol","class_unclassified_Bacteria",-0.581169532792663,0.00456014310011261,0.0141217334713165,"class","IR"
"Alcohol","order_Erysipelotrichales",0.586267511150493,0.00413737159875796,0.0141217334713165,"order","IR"
"Alcohol","order_unclassified_Bacteria",-0.581169532792663,0.00456014310011261,0.0141217334713165,"order","IR"
"Alcohol","family_Erysipelotrichaceae",0.586267511150493,0.00413737159875796,0.0141217334713165,"family","IR"
"Alcohol","family_unclassified_Bacteria",-0.581169532792663,0.00456014310011261,0.0141217334713165,"family","IR"
"Alcohol","genus_unclassified_Bacteria",-0.581169532792663,0.00456014310011261,0.0141217334713165,"genus","IR"
"Alcohol","genus_Flavonifractor",0.560777619361341,0.00662892714523643,0.0198867814357093,"genus","IR"
"Alcohol","genus_unclassified_Clostridiales_Incertae.Sedis.XIII",0.537836716751104,0.0098296801356979,0.0285954331220303,"genus","IR"
"Alcohol","phylum_Verrucomicrobia",-0.502150868246292,0.0172447506675691,0.0403779527826007,"phylum","IR"
"Alcohol","class_Clostridia",0.50852334119358,0.0156638512308539,0.0403779527826007,"class","IR"
"Alcohol","class_Verrucomicrobiae",-0.502150868246292,0.0172447506675691,0.0403779527826007,"class","IR"
"Alcohol","order_Clostridiales",0.50852334119358,0.0156638512308539,0.0403779527826007,"order","IR"
"Alcohol","order_Verrucomicrobiales",-0.502150868246292,0.0172447506675691,0.0403779527826007,"order","IR"
"Alcohol","family_Verrucomicrobiaceae",-0.502150868246292,0.0172447506675691,0.0403779527826007,"family","IR"
"Alcohol","genus_Akkermansia",-0.502150868246292,0.0172447506675691,0.0403779527826007,"genus","IR"
"Alcohol","genus_Clostridium.XlVb",0.512346824961952,0.0147731564275794,0.0403779527826007,"genus","IR"
"Alcohol","genus_Collinsella",-0.490680416941173,0.0204140990636294,0.0466607978597243,"genus","IR"
"Alcohol","class_Bacilli",-0.483033449404428,0.0227755874825272,0.0483957099265414,"class","IR"
"Alcohol","family_Streptococcaceae",-0.483033449404428,0.0227755874825272,0.0483957099265414,"family","IR"
"Alcohol","genus_Lachnospiracea_incertae_sedis",0.48175895481497,0.0231896110064677,0.0483957099265414,"genus","IR"
"Alcohol","genus_Streptococcus",-0.483033449404428,0.0227755874825272,0.0483957099265414,"genus","IR"
"Beverages","class_Betaproteobacteria",-0.689997705104432,0.000380178019677402,0.00912427247225764,"class","IR"
"Beverages","order_Burkholderiales",-0.689997705104432,0.000380178019677402,0.00912427247225764,"order","IR"
"Beverages","family_Sutterellaceae",-0.689997705104432,0.000380178019677402,0.00912427247225764,"family","IR"
"Beverages","genus_Oscillibacter",-0.707377999943335,0.000231587149788568,0.00912427247225764,"genus","IR"
"Beverages","phylum_Proteobacteria",-0.665085949168672,0.000732089348858968,0.0118848711567663,"phylum","IR"
"Beverages","genus_Parasutterella",-0.664506606007375,0.000742804447297891,0.0118848711567663,"genus","IR"
"Beverages","genus_Roseburia",0.636698134265131,0.00144190270122361,0.0197746656167809,"genus","IR"
"Beverages","class_Gammaproteobacteria",-0.624116799631424,0.00190721665133226,0.0228865998159871,"class","IR"
"Beverages","phylum_unclassified_Bacteria",-0.559645493812663,0.0067634427904887,0.0325263008386532,"phylum","IR"
"Beverages","class_Deltaproteobacteria",-0.556169434844882,0.007190656259293,0.0325263008386532,"class","IR"
"Beverages","class_unclassified_Bacteria",-0.559645493812663,0.0067634427904887,0.0325263008386532,"class","IR"
"Beverages","order_Desulfovibrionales",-0.556169434844882,0.007190656259293,0.0325263008386532,"order","IR"
"Beverages","order_unclassified_Bacteria",-0.559645493812663,0.0067634427904887,0.0325263008386532,"order","IR"
"Beverages","family_Bacteroidaceae",0.596144112974358,0.00341112058262324,0.0325263008386532,"family","IR"
"Beverages","family_Desulfovibrionaceae",-0.556169434844882,0.007190656259293,0.0325263008386532,"family","IR"
"Beverages","family_unclassified_Bacteria",-0.559645493812663,0.0067634427904887,0.0325263008386532,"family","IR"
"Beverages","genus_Bacteroides",0.596144112974358,0.00341112058262324,0.0325263008386532,"genus","IR"
"Beverages","genus_Bilophila",-0.556169434844882,0.007190656259293,0.0325263008386532,"genus","IR"
"Beverages","genus_Dorea",0.564859582264334,0.00616218083744425,0.0325263008386532,"genus","IR"
"Beverages","genus_unclassified_Bacteria",-0.559645493812663,0.0067634427904887,0.0325263008386532,"genus","IR"
"Beverages","genus_unclassified_Coriobacteriaceae",-0.567176954909521,0.00590956777840871,0.0325263008386532,"genus","IR"
"Beverages","genus_unclassified_Porphyromonadaceae",-0.554111381609625,0.00745394394219136,0.0325263008386532,"genus","IR"
"Beverages","class_Erysipelotrichia",0.534733737876903,0.0103464968605112,0.0397305479443629,"class","IR"
"Beverages","order_Erysipelotrichales",0.534733737876903,0.0103464968605112,0.0397305479443629,"order","IR"
"Beverages","family_Erysipelotrichaceae",0.534733737876903,0.0103464968605112,0.0397305479443629,"family","IR"
"Beverages","family_Acidaminococcaceae",-0.527202276780045,0.0116940968195731,0.0431782036415007,"family","IR"
"Bread_Products","family_Streptococcaceae",-1,0,0,"family","IS"
"Bread_Products","genus_Streptococcus",-1,0,0,"genus","IS"
"Bread_Products","family_Clostridiaceae.1",0.972350230414746,5.46692857594408e-07,1.0496502865813e-05,"family","IS"
"Bread_Products","genus_Barnesiella",-0.972350230414746,5.4669285759443e-07,1.0496502865813e-05,"genus","IS"
"Bread_Products","genus_Clostridium.sensu.stricto",0.972350230414746,5.46692857594408e-07,1.0496502865813e-05,"genus","IS"
"Bread_Products","class_Bacilli",-0.917050691244239,7.07418668112222e-05,0.000848902401734667,"class","IS"
"Bread_Products","order_Lactobacillales",-0.917050691244239,7.07418668112222e-05,0.000848902401734667,"order","IS"
"Bread_Products","genus_Veillonella",-0.917050691244239,7.07418668112222e-05,0.000848902401734667,"genus","IS"
"Bread_Products","genus_Clostridium.XVIII",-0.907834101382488,0.000112114254402055,0.00119588538028858,"genus","IS"
"Bread_Products","genus_Lachnospiracea_incertae_sedis",-0.889400921658986,0.000247779031525771,0.0023786787026474,"genus","IS"
"Bread_Products","family_unclassified_Clostridiales",0.824884792626728,0.00177734740204699,0.0142187792163759,"family","IS"
"Bread_Products","genus_unclassified_Clostridiales",0.824884792626728,0.00177734740204699,0.0142187792163759,"genus","IS"
"Bread_Products","family_Acidaminococcaceae",0.817837375513638,0.00209985173426716,0.0143989833206891,"family","IS"
"Bread_Products","genus_Prevotella",0.817837375513638,0.00209985173426716,0.0143989833206891,"genus","IS"
"Bread_Products","class_Deltaproteobacteria",0.751152073732719,0.00770485429052236,0.0410925562161193,"class","IS"
"Bread_Products","order_Desulfovibrionales",0.751152073732719,0.00770485429052236,0.0410925562161193,"order","IS"
"Bread_Products","family_Clostridiales_Incertae.Sedis.XIII",0.751152073732719,0.00770485429052236,0.0410925562161193,"family","IS"
"Bread_Products","family_Desulfovibrionaceae",0.751152073732719,0.00770485429052236,0.0410925562161193,"family","IS"
"Bread_Products","family_Lachnospiraceae",-0.732718894009217,0.0103216733021117,0.0495440318501361,"family","IS"
"Bread_Products","genus_Coprococcus",-0.732718894009217,0.0103216733021117,0.0495440318501361,"genus","IS"
"Bread_Products","genus_Clostridium.XVIII",0.939105099581908,9.82877466510854e-11,9.4356236785042e-09,"genus","IR"
"Bread_Products","class_Erysipelotrichia",0.862088904296746,2.51100985100671e-07,4.39244642743187e-06,"class","IR"
"Bread_Products","order_Erysipelotrichales",0.862088904296746,2.51100985100671e-07,4.39244642743187e-06,"order","IR"
"Bread_Products","family_Erysipelotrichaceae",0.862088904296746,2.51100985100671e-07,4.39244642743187e-06,"family","IR"
"Bread_Products","family_Peptostreptococcaceae",0.860773741971351,2.74527901714492e-07,4.39244642743187e-06,"family","IR"
"Bread_Products","genus_Clostridium.XI",0.860773741971351,2.74527901714492e-07,4.39244642743187e-06,"genus","IR"
"Bread_Products","family_Clostridiaceae.1",0.850252443368187,5.43337221505902e-07,5.79559702939629e-06,"family","IR"
"Bread_Products","genus_Clostridium.sensu.stricto",0.850252443368187,5.43337221505902e-07,5.79559702939629e-06,"genus","IR"
"Bread_Products","genus_unclassified_Erysipelotrichaceae",0.852882768018978,4.60354004732416e-07,5.79559702939629e-06,"genus","IR"
"Bread_Products","genus_Dorea",0.781206421284923,1.77359170300383e-05,0.000170264803488368,"genus","IR"
"Bread_Products","genus_Roseburia",0.775945771983341,2.19653401531679e-05,0.00019169751406401,"genus","IR"
"Bread_Products","phylum_Firmicutes",0.728599928269104,0.000120357013803269,0.000962856110426155,"phylum","IR"
"Bread_Products","genus_Faecalibacterium",0.706899749900078,0.000234876128747126,0.00173446987382493,"genus","IR"
"Bread_Products","phylum_Proteobacteria",-0.656923581535049,0.000895908548012663,0.00614337290065826,"phylum","IR"
"Bread_Products","genus_Holdemania",0.643527329507236,0.00123248188287544,0.00788788405040279,"genus","IR"
"Bread_Products","genus_unclassified_Porphyromonadaceae",-0.639768257954955,0.00134429677081714,0.00806578062490284,"genus","IR"
"Bread_Products","class_Betaproteobacteria",-0.60694741317002,0.0027422748515684,0.00975031058335432,"class","IR"
"Bread_Products","class_Clostridia",0.617468711773184,0.00220055842472003,0.00975031058335432,"class","IR"
"Bread_Products","class_Deltaproteobacteria",-0.60694741317002,0.0027422748515684,0.00975031058335432,"class","IR"
"Bread_Products","order_Burkholderiales",-0.60694741317002,0.0027422748515684,0.00975031058335432,"order","IR"
"Bread_Products","order_Clostridiales",0.617468711773184,0.00220055842472003,0.00975031058335432,"order","IR"
"Bread_Products","order_Desulfovibrionales",-0.60694741317002,0.0027422748515684,0.00975031058335432,"order","IR"
"Bread_Products","family_Desulfovibrionaceae",-0.60694741317002,0.0027422748515684,0.00975031058335432,"family","IR"
"Bread_Products","family_Sutterellaceae",-0.60694741317002,0.0027422748515684,0.00975031058335432,"family","IR"
"Bread_Products","genus_Bilophila",-0.60694741317002,0.0027422748515684,0.00975031058335432,"genus","IR"
"Bread_Products","genus_Parasutterella",-0.60694741317002,0.0027422748515684,0.00975031058335432,"genus","IR"
"Bread_Products","genus_unclassified_Clostridiales_Incertae.Sedis.XIII",0.622071779912069,0.00199370044273337,0.00975031058335432,"genus","IR"
"Bread_Products","genus_Flavonifractor",0.585904815963693,0.00416632512039965,0.0142845432699417,"genus","IR"
"Bread_Products","class_Gammaproteobacteria",-0.582301910416016,0.00446325136521581,0.0147749010710592,"class","IR"
"Bread_Products","genus_Eggerthella",0.547067833481312,0.00841603933693358,0.0269313258781875,"genus","IR"
"Bread_Products","family_Ruminococcaceae",0.516858793880429,0.0137754521360799,0.0426594646794733,"family","IR"
"Cereals_Grains","class_Betaproteobacteria",-0.735016620973006,9.75876892444456e-05,0.000780701513955565,"class","IR"
"Cereals_Grains","class_Deltaproteobacteria",-0.735016620973006,9.75876892444456e-05,0.000780701513955565,"class","IR"
"Cereals_Grains","class_unclassified_Firmicutes",0.735016620973006,9.75876892444456e-05,0.000780701513955565,"class","IR"
"Cereals_Grains","order_Burkholderiales",-0.735016620973006,9.75876892444456e-05,0.000780701513955565,"order","IR"
"Cereals_Grains","order_Desulfovibrionales",-0.735016620973006,9.75876892444456e-05,0.000780701513955565,"order","IR"
"Cereals_Grains","order_unclassified_Firmicutes",0.735016620973006,9.75876892444456e-05,0.000780701513955565,"order","IR"
"Cereals_Grains","family_Desulfovibrionaceae",-0.735016620973006,9.75876892444456e-05,0.000780701513955565,"family","IR"
"Cereals_Grains","family_Sutterellaceae",-0.735016620973006,9.75876892444456e-05,0.000780701513955565,"family","IR"
"Cereals_Grains","family_unclassified_Firmicutes",0.735016620973006,9.75876892444456e-05,0.000780701513955565,"family","IR"
"Cereals_Grains","genus_Bilophila",-0.735016620973006,9.75876892444456e-05,0.000780701513955565,"genus","IR"
"Cereals_Grains","genus_Parasutterella",-0.735016620973006,9.75876892444456e-05,0.000780701513955565,"genus","IR"
"Cereals_Grains","genus_unclassified_Firmicutes",0.735016620973006,9.75876892444456e-05,0.000780701513955565,"genus","IR"
"Cereals_Grains","genus_Erysipelotrichaceae_incertae_sedis",-0.720362564521288,0.000156239191200113,0.00115376633501622,"genus","IR"
"Cereals_Grains","family_Bacteroidaceae",0.679485459682286,0.000505034965800869,0.00323222378112556,"family","IR"
"Cereals_Grains","genus_Bacteroides",0.679485459682286,0.000505034965800869,0.00323222378112556,"genus","IR"
"Cereals_Grains","phylum_Proteobacteria",-0.676400395166135,0.000547767184368865,0.00328660310621319,"phylum","IR"
"Cereals_Grains","phylum_Bacteroidetes",0.617784169359263,0.00218582631681908,0.00999234887688724,"phylum","IR"
"Cereals_Grains","class_Bacteroidia",0.617784169359263,0.00218582631681908,0.00999234887688724,"class","IR"
"Cereals_Grains","order_Bacteroidales",0.617784169359263,0.00218582631681908,0.00999234887688724,"order","IR"
"Cereals_Grains","family_Veillonellaceae",-0.620250383434144,0.0020734954773021,0.00999234887688724,"family","IR"
"Cereals_Grains","genus_Veillonella",-0.620250383434144,0.0020734954773021,0.00999234887688724,"genus","IR"
"Cereals_Grains","class_Gammaproteobacteria",-0.590825271610801,0.00378763220607595,0.0165278496265132,"class","IR"
"Cereals_Grains","genus_unclassified_Coriobacteriaceae",-0.588476056455828,0.00396467206275314,0.0165481964358392,"genus","IR"
"Cereals_Grains","class_Negativicutes",-0.57382200000411,0.00523242029300797,0.0200924939251506,"class","IR"
"Cereals_Grains","order_Selenomonadales",-0.57382200000411,0.00523242029300797,0.0200924939251506,"order","IR"
"Cereals_Grains","order_Coriobacteriales",-0.544513887100674,0.00878921847776998,0.0312505545876266,"order","IR"
"Cereals_Grains","family_Coriobacteriaceae",-0.544513887100674,0.00878921847776998,0.0312505545876266,"family","IR"
"Coffee","genus_Anaerovorax",0.718229273564335,0.00016691799400254,0.00534137580808127,"genus","IR"
"Coffee","genus_Pseudoflavonifractor",0.730333112123683,0.000113793931792034,0.00534137580808127,"genus","IR"
"Coffee","genus_unclassified_Ruminococcaceae",0.726190643184209,0.000130024438930422,0.00534137580808127,"genus","IR"
"Coffee","class_unclassified_Firmicutes",0.637478238848471,0.00141654888154828,0.019426956089805,"class","IR"
"Coffee","order_unclassified_Firmicutes",0.637478238848471,0.00141654888154828,0.019426956089805,"order","IR"
"Coffee","family_unclassified_Firmicutes",0.637478238848471,0.00141654888154828,0.019426956089805,"family","IR"
"Coffee","genus_unclassified_Firmicutes",0.637478238848471,0.00141654888154828,0.019426956089805,"genus","IR"
"Dairy_Products","genus_Phascolarctobacterium",0.898026510133874,0.000174164678836738,0.0167198091683269,"genus","IS"
"Dairy_Products","genus_Butyricimonas",-0.730426473599406,0.000113449390480874,0.0108911414861639,"genus","IR"
"Dairy_Products","genus_Lachnospiracea_incertae_sedis",-0.675736961451247,0.000557350863029383,0.0178352276169402,"genus","IR"
"Dairy_Products","genus_unclassified_Porphyromonadaceae",0.685994340570035,0.000424169676664888,0.0178352276169402,"genus","IR"
"Dairy_Products","class_Deltaproteobacteria",0.619047619047619,0.0021276538084872,0.0226949739571968,"class","IR"
"Dairy_Products","class_Gammaproteobacteria",0.636316945350406,0.00145443095206245,0.0226949739571968,"class","IR"
"Dairy_Products","order_Desulfovibrionales",0.619047619047619,0.0021276538084872,0.0226949739571968,"order","IR"
"Dairy_Products","family_Desulfovibrionaceae",0.619047619047619,0.0021276538084872,0.0226949739571968,"family","IR"
"Dairy_Products","genus_Bilophila",0.619047619047619,0.0021276538084872,0.0226949739571968,"genus","IR"
"Dairy_Products","genus_Phascolarctobacterium",0.636658619018805,0.00144319714935075,0.0226949739571968,"genus","IR"
"Dairy_Products","phylum_Proteobacteria",0.575963718820862,0.00502845738045154,0.0290009808868602,"phylum","IR"
"Dairy_Products","class_Bacilli",0.581632653061224,0.00452030631334875,0.0290009808868602,"class","IR"
"Dairy_Products","class_Betaproteobacteria",0.574829931972789,0.00513559036538149,0.0290009808868602,"class","IR"
"Dairy_Products","order_Burkholderiales",0.574829931972789,0.00513559036538149,0.0290009808868602,"order","IR"
"Dairy_Products","family_Ruminococcaceae",-0.575963718820862,0.00502845738045154,0.0290009808868602,"family","IR"
"Dairy_Products","family_Streptococcaceae",0.581632653061224,0.00452030631334875,0.0290009808868602,"family","IR"
"Dairy_Products","family_Sutterellaceae",0.574829931972789,0.00513559036538149,0.0290009808868602,"family","IR"
"Dairy_Products","genus_Streptococcus",0.581632653061224,0.00452030631334875,0.0290009808868602,"genus","IR"
