"data_set1","data_set2","cor","p","p_adjust","level"
"Bread_Products","family_Streptococcaceae",-1,0,0,"family"
"Bread_Products","genus_Streptococcus",-1,0,0,"genus"
"Non_Starchy_Vegetables","family_Streptococcaceae",-1,0,0,"family"
"Non_Starchy_Vegetables","genus_Streptococcus",-1,0,0,"genus"
"Snacks","genus_unclassified_Porphyromonadaceae",1,0,0,"genus"
"Meat_Poultry","family_Lachnospiraceae",1,9.37045228299651e-72,4.49781709583833e-70,"family"
"Meat_Poultry","genus_Coprococcus",1,9.37045228299651e-72,4.49781709583833e-70,"genus"
"Sweets_Sweeteners","family_Sutterellaceae",1,9.37045228299651e-72,4.49781709583833e-70,"family"
"Sweets_Sweeteners","genus_Parasutterella",1,9.37045228299651e-72,4.49781709583833e-70,"genus"
"Fruits","family_Ruminococcaceae",1,9.37045228299651e-72,8.99563419167665e-70,"family"
"Sauces, Spices, and Herbs","family_Porphyromonadaceae",1,9.37045228299651e-72,8.99563419167665e-70,"family"
"Meat_Poultry","genus_Roseburia",0.990783410138249,4.00165494719358e-09,9.60397187326459e-08,"genus"
"Meat_Poultry","genus_unclassified_Lachnospiraceae",0.990783410138249,4.00165494719358e-09,9.60397187326459e-08,"genus"
"Sauces, Spices, and Herbs","class_Betaproteobacteria",-0.990783410138249,4.00165494719314e-09,1.2805295831018e-07,"class"
"Sauces, Spices, and Herbs","order_Burkholderiales",-0.990783410138249,4.00165494719314e-09,1.2805295831018e-07,"order"
"Nuts_Seeds","class_Erysipelotrichia",-0.979043076489548,1.58600815415143e-07,3.04513565597074e-06,"class"
"Nuts_Seeds","order_Erysipelotrichales",-0.979043076489548,1.58600815415143e-07,3.04513565597074e-06,"order"
"Nuts_Seeds","family_Erysipelotrichaceae",-0.979043076489548,1.58600815415143e-07,3.04513565597074e-06,"family"
"Nuts_Seeds","genus_Parabacteroides",-0.979043076489548,1.58600815415143e-07,3.04513565597074e-06,"genus"
"Nuts_Seeds","genus_unclassified_Erysipelotrichaceae",-0.979043076489548,1.58600815415143e-07,3.04513565597074e-06,"genus"
"Bread_Products","family_Clostridiaceae.1",0.972350230414746,5.46692857594408e-07,1.0496502865813e-05,"family"
"Bread_Products","genus_Barnesiella",-0.972350230414746,5.4669285759443e-07,1.0496502865813e-05,"genus"
"Bread_Products","genus_Clostridium.sensu.stricto",0.972350230414746,5.46692857594408e-07,1.0496502865813e-05,"genus"
"Non_Starchy_Vegetables","family_Clostridiaceae.1",0.972350230414746,5.46692857594408e-07,1.0496502865813e-05,"family"
"Non_Starchy_Vegetables","genus_Barnesiella",-0.972350230414746,5.4669285759443e-07,1.0496502865813e-05,"genus"
"Non_Starchy_Vegetables","genus_Clostridium.sensu.stricto",0.972350230414746,5.46692857594408e-07,1.0496502865813e-05,"genus"
"Sweets_Sweeteners","family_Veillonellaceae",0.972350230414746,5.46692857594408e-07,1.74941714430211e-05,"family"
"Sweets_Sweeteners","class_Betaproteobacteria",0.944700460829493,1.18826779542726e-05,0.000162962440515738,"class"
"Sweets_Sweeteners","class_Negativicutes",0.944700460829493,1.18826779542726e-05,0.000162962440515738,"class"
"Sweets_Sweeteners","order_Burkholderiales",0.944700460829493,1.18826779542726e-05,0.000162962440515738,"order"
"Sweets_Sweeteners","order_Selenomonadales",0.944700460829493,1.18826779542726e-05,0.000162962440515738,"order"
"Sauces, Spices, and Herbs","class_Erysipelotrichia",0.944700460829493,1.18826779542726e-05,0.000190122847268361,"class"
"Sauces, Spices, and Herbs","order_Erysipelotrichales",0.944700460829493,1.18826779542726e-05,0.000190122847268361,"order"
"Sauces, Spices, and Herbs","family_Erysipelotrichaceae",0.944700460829493,1.18826779542726e-05,0.000190122847268361,"family"
"Meat_Poultry","family_Prevotellaceae",-0.944700460829493,1.18826779542726e-05,0.000228147416722035,"family"
"Fruits","class_Erysipelotrichia",0.944700460829493,1.18826779542726e-05,0.000285184270902541,"class"
"Fruits","order_Erysipelotrichales",0.944700460829493,1.18826779542726e-05,0.000285184270902541,"order"
"Fruits","family_Erysipelotrichaceae",0.944700460829493,1.18826779542726e-05,0.000285184270902541,"family"
"Meat_Poultry","genus_Anaerotruncus",0.935483870967742,2.34591737476112e-05,0.000375346779961779,"genus"
"Fats and Oils","family_Rikenellaceae",0.944700460829493,1.18826779542726e-05,0.000380245694536722,"family"
"Fats and Oils","genus_Alistipes",0.944700460829493,1.18826779542726e-05,0.000380245694536722,"genus"
"Fats and Oils","genus_Collinsella",0.944700460829493,1.18826779542726e-05,0.000380245694536722,"genus"
"Seafood","class_Bacilli",-0.910765111078374,9.73614562371677e-05,0.000491931568356216,"class"
"Seafood","class_unclassified_Firmicutes",0.910765111078374,9.73614562371677e-05,0.000491931568356216,"class"
"Seafood","order_Lactobacillales",-0.910765111078374,9.73614562371677e-05,0.000491931568356216,"order"
"Seafood","order_unclassified_Firmicutes",0.910765111078374,9.73614562371677e-05,0.000491931568356216,"order"
"Seafood","family_Acidaminococcaceae",0.923623607710619,4.92660189149734e-05,0.000491931568356216,"family"
"Seafood","family_Lachnospiraceae",-0.910765111078374,9.73614562371677e-05,0.000491931568356216,"family"
"Seafood","family_Peptostreptococcaceae",0.910765111078374,9.73614562371677e-05,0.000491931568356216,"family"
"Seafood","family_Prevotellaceae",0.910765111078374,9.73614562371677e-05,0.000491931568356216,"family"
"Seafood","family_unclassified_Firmicutes",0.910765111078374,9.73614562371677e-05,0.000491931568356216,"family"
"Seafood","genus_Clostridium.XI",0.910765111078374,9.73614562371677e-05,0.000491931568356216,"genus"
"Seafood","genus_Clostridium.XlVa",-0.910765111078374,9.73614562371677e-05,0.000491931568356216,"genus"
"Seafood","genus_Clostridium.XlVb",0.910765111078374,9.73614562371677e-05,0.000491931568356216,"genus"
"Seafood","genus_Coprococcus",-0.910765111078374,9.73614562371677e-05,0.000491931568356216,"genus"
"Seafood","genus_Dorea",-0.910765111078374,9.73614562371677e-05,0.000491931568356216,"genus"
"Seafood","genus_Lachnospiracea_incertae_sedis",-0.910765111078374,9.73614562371677e-05,0.000491931568356216,"genus"
"Seafood","genus_Prevotella",0.923623607710619,4.92660189149734e-05,0.000491931568356216,"genus"
"Seafood","genus_Veillonella",-0.910765111078374,9.73614562371677e-05,0.000491931568356216,"genus"
"Seafood","genus_unclassified_Firmicutes",0.910765111078374,9.73614562371677e-05,0.000491931568356216,"genus"
"Seafood","genus_unclassified_Ruminococcaceae",-0.910765111078374,9.73614562371677e-05,0.000491931568356216,"genus"
"Fats and Oils","genus_unclassified_Clostridiales_Incertae.Sedis.XIII",0.935483870967742,2.34591737476112e-05,0.000563020169942668,"genus"
"Eggs","class_unclassified_Firmicutes",0.918323457366864,6.61109790150249e-05,0.000634665398544239,"class"
"Eggs","order_unclassified_Firmicutes",0.918323457366864,6.61109790150249e-05,0.000634665398544239,"order"
"Eggs","family_Peptostreptococcaceae",0.918323457366864,6.61109790150249e-05,0.000634665398544239,"family"
"Eggs","family_Prevotellaceae",0.918323457366864,6.61109790150249e-05,0.000634665398544239,"family"
"Eggs","family_unclassified_Firmicutes",0.918323457366864,6.61109790150249e-05,0.000634665398544239,"family"
"Eggs","genus_Clostridium.XI",0.918323457366864,6.61109790150249e-05,0.000634665398544239,"genus"
"Eggs","genus_Clostridium.XlVb",0.918323457366864,6.61109790150249e-05,0.000634665398544239,"genus"
"Eggs","genus_Dorea",-0.918323457366864,6.61109790150249e-05,0.000634665398544239,"genus"
"Eggs","genus_unclassified_Firmicutes",0.918323457366864,6.61109790150249e-05,0.000634665398544239,"genus"
"Eggs","genus_unclassified_Ruminococcaceae",-0.918323457366864,6.61109790150249e-05,0.000634665398544239,"genus"
"Sweets_Sweeteners","phylum_Proteobacteria",0.917050691244239,7.07418668112211e-05,0.000679121921387733,"phylum"
"Sweets_Sweeteners","family_Porphyromonadaceae",-0.917050691244239,7.07418668112222e-05,0.000679121921387733,"family"
"Sweets_Sweeteners","genus_Pseudoflavonifractor",-0.917050691244239,7.07418668112222e-05,0.000679121921387733,"genus"
"Tea","class_Bacilli",-0.918323457366864,6.61109790150249e-05,0.000705183776160266,"class"
"Tea","order_Lactobacillales",-0.918323457366864,6.61109790150249e-05,0.000705183776160266,"order"
"Tea","family_Acidaminococcaceae",0.931288665344453,3.09569326774397e-05,0.000705183776160266,"family"
"Tea","family_Lachnospiraceae",-0.918323457366864,6.61109790150249e-05,0.000705183776160266,"family"
"Tea","genus_Clostridium.XlVa",-0.918323457366864,6.61109790150249e-05,0.000705183776160266,"genus"
"Tea","genus_Coprococcus",-0.918323457366864,6.61109790150249e-05,0.000705183776160266,"genus"
"Tea","genus_Lachnospiracea_incertae_sedis",-0.918323457366864,6.61109790150249e-05,0.000705183776160266,"genus"
"Tea","genus_Prevotella",0.931288665344453,3.09569326774397e-05,0.000705183776160266,"genus"
"Tea","genus_Veillonella",-0.918323457366864,6.61109790150249e-05,0.000705183776160266,"genus"
"Rice_Pasta_Noodles","class_Bacilli",-0.918323457366864,6.61109790150249e-05,0.000705183776160266,"class"
