"data_set1","data_set2","cor","p","p_adjust","Mass","Metabolite","KEGG","HMDB","CAS","ChEBI","ppm","Mode","med","Ions","MSMS","Used.for.Quant","Super.pathway","Sub.pathway","true_name","mean_int"
"Salad","pRPLC_313.1548_3.5",-0.764274877363392,8.24979419618372e-14,1.39421521915505e-11,"313.1548_3.5","Phenylalanylphenylalanine",NA,"HMDB13302","2577-40-4","HMDB","0.40840946","pRPLC",20000,"[M+H]+","YES","Y","Peptide","Dipeptide","Phenylalanylphenylalanine",24994.2125917431
"Beverages","nRPLC_415.3217_11.4",-0.735993844549211,1.91454799987687e-12,3.23558611979191e-10,"415.3217_11.4","Dihydroxyvitamin D3",NA,"HMDB00430",NA,"HMDB","-0.048038933","nRPLC",3e+05,"[M-H]-","YES","Y","Cofactors and Vitamins","Vitamin D Metabolism","Dihydroxyvitamin D3",352330.728501529
"Nuts_Seeds","nRPLC_441.3947_11.3",-0.688101335095491,1.72840449373499e-10,2.92100359441213e-08,"441.3947_11.3","MG(24:0)",NA,"HMDB11558",NA,"HMDB","-0.520377418","nRPLC",1e+05,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(24:0)",122331.523007717
"Eggs","pRPLC_169.0971_1.6",-0.652256972369853,2.97168584794099e-09,2.51107454151014e-07,"169.0971_1.6","Cyclo(ala-pro)",NA,NA,NA,NA,"-0.47593602","pRPLC",40000,"[M+H]+","YES","Y","Peptide","Dipeptide","Cyclo(ala-pro)",44332.49660316
"Eggs","pRPLC_181.0718_3.1",-0.658317881365777,1.88700719164468e-09,2.51107454151014e-07,"181.0718_3.1","Paraxanthine","C13747","HMDB01860","611-59-6","HMDB","-1.141368661","pRPLC",1e+06,"[M+H]+","YES","Y","Xenobiotics","Xanthine Metabolism","Paraxanthine",1875926.3698157
"Mixed_Meal","pRPLC_265.1184_2.6",0.65931232230822,1.74978571784536e-09,2.95713786315866e-07,"265.1184_2.6","Alpha-N-Phenylacetyl-L-glutamine","C04148","HMDB06344",NA,"HMDB","0.427812354","pRPLC",8e+05,"[M+H]+","YES","Y","Peptide","Acetylated Peptides","Alpha-N-Phenylacetyl-L-glutamine",898568.987267584
"Sauces, Spices, and Herbs","pRPLC_100.0756_1.2",0.651298273797559,3.19003386713367e-09,5.3911572354559e-07,"100.0756_1.2","2-Piperidinone",NA,"HMDB11749",NA,NA,"-0.94798216","pRPLC",1e+05,"[M+H]+","YES","Y","Xenobiotics","Food Component/Plant","2-Piperidinone",234227.215327217
"Mixed_Meal","nHILIC_247.057_11.8",-0.637125753803146,8.84278710457741e-09,7.47215510336791e-07,"247.057_11.8","Asp-Asp",NA,NA,NA,NA,"-0.688321592","nHILIC",70000,"[M-H]-","YES","Y","Peptide","Dipeptide","Asp-Asp",77586.0307351172
"Rice_Pasta_Noodles","nHILIC_247.057_11.8",0.646504048692762,4.53061685141452e-09,7.65674247889053e-07,"247.057_11.8","Asp-Asp",NA,NA,NA,NA,"-0.688321592","nHILIC",70000,"[M-H]-","YES","Y","Peptide","Dipeptide","Asp-Asp",77586.0307351172
"Mixed_Meal","nRPLC_187.007_2.3",0.621808544453134,2.51400831261549e-08,1.41622468277339e-06,"187.007_2.3","p-Cresol sulfate",NA,"HMDB0011635",NA,"HMDB","-0.262926837132504|3.62609691143212|0.819740926145161|0.819740926145161","nRPLC",2e+07,"[M-H]-","YES","Y","Amino Acid","Tyrosine Metabolism","p-Cresol sulfate",17881105.7147503
"Cereals_Grains","nRPLC_163.0765_7.4",-0.635512257448453,9.89849330886754e-09,1.67284536919861e-06,"163.0765_7.4","Phenylbutyric acid",NA,"HMDB00329","90-27-7","HMDB","0.306989515","nRPLC",60000,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","Phenylbutyric acid",67820.1628722732
"Salad","nRPLC_230.9968_4.1",0.624117584399163,2.15542031276898e-08,1.82133016428979e-06,"230.9968_4.1","methyl-4-hydroxybenzoate sulfate",NA,NA,NA,NA,"-0.339123346","nRPLC",30000,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","methyl-4-hydroxybenzoate sulfate",91039.7637821203
