"data_set1","data_set2","cor","p","p_adjust","Mass","Metabolite","KEGG","HMDB","CAS","ChEBI","ppm","Mode","med","Ions","MSMS","Used.for.Quant","Super.pathway","Sub.pathway","true_name","mean_int"
"Bread_Products","nRPLC_383.1535_7.6",-0.654632022221028,1.99282129630925e-13,3.36786799076263e-11,"383.1535_7.6","16a-hydroxy DHEA 3-sulfate",NA,NA,NA,NA,"0.314144509983391|0.728163869219615","nRPLC",7e+05,"[M-H]-","YES","Y","Lipid","Androgenic Steroids","16a-hydroxy DHEA 3-sulfate",815468.043891356
"Mixed_Meal","nHILIC_247.057_11.8",-0.6354265912187,1.60616599989746e-12,2.71442053982671e-10,"247.057_11.8","Asp-Asp",NA,NA,NA,NA,"-0.688321592","nHILIC",70000,"[M-H]-","YES","Y","Peptide","Dipeptide","Asp-Asp",77586.0307351172
"Rice_Pasta_Noodles","nRPLC_365.2333_9.7",0.556145506958961,2.28320179252755e-09,3.85861102937155e-07,"365.2333_9.7","Tetrahydrocortisol","C05472","HMDB00949","53-02-1","HMDB","-0.120680237","nRPLC",2e+05,"[M-H]-","YES","Y","Lipid","Androgenic Steroids","Tetrahydrocortisol",161875.914821611
"Non_Starchy_Vegetables","nRPLC_165.0556_2.3",0.555341963268689,2.43418661526965e-09,4.11377537980571e-07,"165.0556_2.3","Phenyllactate (PLA)","C05607","HMDB00779",NA,NA,"-0.687607008","nRPLC",70000,"[M-H]-","YES","Y","Amino Acid","Phenylalanine Metabolism","Phenyllactate (PLA)",72163.0986654434
"Sauces, Spices, and Herbs","nHILIC_777.5678_4.3",-0.545706759997277,5.17783413759878e-09,4.61994045807101e-07,"777.5678_4.3","PG(36:0)",NA,NA,NA,NA,"3.46095331","nHILIC",3e+05,"[M-H]-","YES","Y",NA,NA,"PG(36:0)",362565.102202854
"Sauces, Spices, and Herbs","pHILIC_703.5724_5.7",-0.545000213418355,5.46738515748048e-09,4.61994045807101e-07,"703.5724_5.7","SM(d18:1/16:0)","C00550","HMDB13464",NA,"HMDB","-3.494027714","pHILIC",1e+07,"[M+H]+","YES","Y",NA,NA,"SM(d18:1/16:0)",15280610.1709847
"Fats and Oils","nRPLC_355.2852_11",0.550525086815606,3.56060718525268e-09,6.01742614307703e-07,"355.2852_11","MG(18:1)",NA,"HMDB11536",NA,"HMDB","-0.504551766","nRPLC",20000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(18:1)",23992.936959735
"Salad","pRPLC_313.1548_3.5",-0.546603647818746,4.83138307112057e-09,8.16503739019376e-07,"313.1548_3.5","Phenylalanylphenylalanine",NA,"HMDB13302","2577-40-4","HMDB","0.40840946","pRPLC",20000,"[M+H]+","YES","Y","Peptide","Dipeptide","Phenylalanylphenylalanine",24994.2125917431
"Snacks","nHILIC_777.5678_4.3",-0.545990714832909,5.0656527602788e-09,8.56095316487116e-07,"777.5678_4.3","PG(36:0)",NA,NA,NA,NA,"3.46095331","nHILIC",3e+05,"[M-H]-","YES","Y",NA,NA,"PG(36:0)",362565.102202854
"Meat_Poultry","nHILIC_181.0367_6.8",-0.545063077621283,5.44100712141994e-09,9.1953020351997e-07,"181.0367_6.8","1-Methyluric acid","C16359","HMDB03099","708-79-2","HMDB","-0.055360249","nHILIC",9e+05,"[M-H]-","YES","Y","Xenobiotics","Xanthine Metabolism","1-Methyluric acid",1132694.65653544
"Rice_Pasta_Noodles","pRPLC_730.4663_11.3",0.527199052820563,2.06801891588425e-08,1.7474759839222e-06,"730.4663_11.3","PS(32:3)",NA,NA,NA,NA,"1.283261944","pRPLC",50000,"[M+H]+","YES","Y",NA,NA,"PS(32:3)",88801.3255105558
"Salad","pHILIC_179.0484_7.4",0.521055777854648,3.21612108207742e-08,2.71762231435542e-06,"179.0484_7.4","Cys-Gly or Gly-Cys",NA,NA,NA,NA,"-0.52171094","pHILIC",1e+05,"[M+H]+","YES","Y","Peptide","Dipeptide","Cys-Gly or Gly-Cys",141483.331294597
"Meat_Poultry","nHILIC_197.0679_1.4",-0.513771891317002,5.36849604922942e-08,4.53637916159886e-06,"197.0679_1.4","5-Acetylamino-6-amino-3-methyluracil","C16366","HMDB04400",NA,NA,"-0.556384702","nHILIC",2e+06,"[M-H]-","YES","Y","Xenobiotics","Xanthine Metabolism","5-Acetylamino-6-amino-3-methyluracil",2311093.17950897
"Alcohol","pHILIC_585.2694_4.9",0.523544596753207,2.69212727730838e-08,4.54969509865116e-06,"585.2694_4.9","Bilirubin","C00486","HMDB00054",NA,NA,"-2.336115852","pHILIC",9e+05,"[M+H]+","YES","Y","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism","Bilirubin",1990805.44020459
"Mixed_Meal","nHILIC_181.0367_6.8",0.506250410017881,8.99983908032846e-08,5.06990934858503e-06,"181.0367_6.8","1-Methyluric acid","C16359","HMDB03099","708-79-2","HMDB","-0.055360249","nHILIC",9e+05,"[M-H]-","YES","Y","Xenobiotics","Xanthine Metabolism","1-Methyluric acid",1132694.65653544
"Mixed_Meal","nRPLC_187.007_2.3",0.508459068071133,7.74293437610288e-08,5.06990934858503e-06,"187.007_2.3","p-Cresol sulfate",NA,"HMDB0011635",NA,"HMDB","-0.262926837132504|3.62609691143212|0.819740926145161|0.819740926145161","nRPLC",2e+07,"[M-H]-","YES","Y","Amino Acid","Tyrosine Metabolism","p-Cresol sulfate",17881105.7147503
"Rice_Pasta_Noodles","nRPLC_315.2541_9.4",0.503073719082857,1.11529894737608e-07,5.2310068940335e-06,"315.2541_9.4","MG(15:0)",NA,"HMDB11532",NA,"HMDB","0.06437713","nRPLC",50000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(15:0)",58933.1675015291
"Rice_Pasta_Noodles","nHILIC_969.5442_9.2",0.501514912077449,1.23810814059964e-07,5.2310068940335e-06,"969.5442_9.2","PIP(38:2)",NA,NA,NA,NA,"-3.379307608","nHILIC",90000,"[M-H]-","YES","Y",NA,NA,"PIP(38:2)",99117.3563546428
"Nuts_Seeds","nRPLC_299.2228_9.3",-0.519831271431319,3.50837732813497e-08,5.92915768454811e-06,"299.2228_9.3","MG(14:1)",NA,"HMDB11531",NA,"HMDB","0.068240997","nRPLC",20000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(14:1)",23451.1679308869
"Beverages","nRPLC_415.3217_11.4",-0.519444938113849,3.6057293446781e-08,6.09368259250599e-06,"415.3217_11.4","Dihydroxyvitamin D3",NA,"HMDB00430",NA,"HMDB","-0.048038933","nRPLC",3e+05,"[M-H]-","YES","Y","Cofactors and Vitamins","Vitamin D Metabolism","Dihydroxyvitamin D3",352330.728501529
"Bread_Products","pRPLC_277.0384_5.1",-0.504283218921117,1.02809719664947e-07,8.68742131168803e-06,"277.0384_5.1","Dihydroferulic acid",NA,NA,NA,NA,"2.70466605368801|3.44210826679891","pRPLC",30000,"[M-H]-","YES","Y","Xenobiotics","Food Component/Plant","Dihydroferulic acid",41240.1928245056
"Beverages","pHILIC_834.5972_4.7",0.503607319903992,1.07599306275882e-07,9.09214138031204e-06,"834.5972_4.7","PC(40:6)",NA,NA,NA,NA,"-4.240911406","pHILIC",4e+06,"[M+H]+","YES","Y",NA,NA,"PC(40:6)",1033180905.05287
"Nuts_Seeds","nRPLC_439.3792_11.1",-0.501328623546444,1.25361793989471e-07,1.05930715921103e-05,"439.3792_11.1","MG(24:1)",NA,"HMDB11559",NA,"HMDB","-0.182003771","nRPLC",40000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(24:1)",48871.7068565036
"Fats and Oils","nRPLC_203.002_1.9",-0.499586558047446,1.4078926183486e-07,1.18966926250457e-05,"203.002_1.9","4-Methylcatechol sulfate",NA,NA,NA,NA,"0.176188064","nRPLC",3e+05,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","4-Methylcatechol sulfate",390287.42294474
"Nuts_Seeds","nRPLC_441.3947_11.3",-0.492437418254115,2.25171094238763e-07,1.26846383087837e-05,"441.3947_11.3","MG(24:0)",NA,"HMDB11558",NA,"HMDB","-0.520377418","nRPLC",1e+05,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(24:0)",122331.523007717
"Sauces, Spices, and Herbs","pRPLC_359.3154_11",-0.491134139373937,2.45015359216504e-07,1.38025319025297e-05,"359.3154_11","MG(18:0)",NA,"HMDB11131",NA,"HMDB","-0.529800999","pRPLC",2e+06,"[M+H]+","YES","Y","Lipid","Monoacylglycerol","MG(18:0)",2802861.76869317
"Non_Starchy_Vegetables","pRPLC_359.3154_11",0.496419541958538,1.73575479437015e-07,1.46671280124277e-05,"359.3154_11","MG(18:0)",NA,"HMDB11131",NA,"HMDB","-0.529800999","pRPLC",2e+06,"[M+H]+","YES","Y","Lipid","Monoacylglycerol","MG(18:0)",2802861.76869317
"Mixed_Meal","pHILIC_179.0484_7.4",-0.484345718972093,3.78280383843442e-07,1.59823462173854e-05,"179.0484_7.4","Cys-Gly or Gly-Cys",NA,NA,NA,NA,"-0.52171094","pHILIC",1e+05,"[M+H]+","YES","Y","Peptide","Dipeptide","Cys-Gly or Gly-Cys",141483.331294597
"Starchy_Vegetables","nRPLC_299.2228_9.3",0.5044964637163,1.01341245183033e-07,1.71266704359326e-05,"299.2228_9.3","MG(14:1)",NA,"HMDB11531",NA,"HMDB","0.068240997","nRPLC",20000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(14:1)",23451.1679308869
"Snacks","pHILIC_752.5554_4.3",-0.49263927261355,2.22237756681746e-07,1.87790904396075e-05,"752.5554_4.3","PE(P-38:4)",NA,NA,NA,NA,"-4.617624484","pHILIC",4e+06,"[M+H]+","YES","Y",NA,NA,"PE(P-38:4)",4746778.25347605
"Rice_Pasta_Noodles","nRPLC_263.1289_6.8",0.473114369253181,7.60490469147398e-07,2.57045778571821e-05,"263.1289_6.8","gamma-CEHC",NA,"HMDB01931",NA,NA,"0.079019845","nRPLC",10000,"[M-H]-","YES","Y","Cofactors and Vitamins","Tocopherol Metabolism","gamma-CEHC",50145.7769269185
"Mixed_Meal","nHILIC_197.0679_1.4",0.470037079348669,9.16901026500265e-07,2.58260455797575e-05,"197.0679_1.4","5-Acetylamino-6-amino-3-methyluracil","C16366","HMDB04400",NA,NA,"-0.556384702","nHILIC",2e+06,"[M-H]-","YES","Y","Xenobiotics","Xanthine Metabolism","5-Acetylamino-6-amino-3-methyluracil",2311093.17950897
"Mixed_Meal","pRPLC_181.0718_3.1",0.471535502263229,8.3727616308972e-07,2.58260455797575e-05,"181.0718_3.1","Paraxanthine","C13747","HMDB01860","611-59-6","HMDB","-1.141368661","pRPLC",1e+06,"[M+H]+","YES","Y","Xenobiotics","Xanthine Metabolism","Paraxanthine",1875926.3698157
"Mixed_Meal","nHILIC_969.5442_9.2",-0.463281184126955,1.37372609281306e-06,3.31656728122009e-05,"969.5442_9.2","PIP(38:2)",NA,NA,NA,NA,"-3.379307608","nHILIC",90000,"[M-H]-","YES","Y",NA,NA,"PIP(38:2)",99117.3563546428
"Mixed_Meal","pHILIC_104.0705_8.1",-0.459244969802188,1.74188363540544e-06,3.54265262843266e-05,"104.0705_8.1","2-Aminobutyrate","C02261","HMDB00650",NA,NA,"-1.053110896","pHILIC",2e+05,"[M+H]+","YES","Y","Amino Acid","Glutathione Metabolism","2-Aminobutyrate",184792.635611111
"Mixed_Meal","pHILIC_850.6644_5",-0.457876467949584,1.8866197429523e-06,3.54265262843266e-05,"850.6644_5","PC(P-42:5)",NA,NA,NA,NA,"-4.732279534","pHILIC",3e+05,"[M+H]+","YES","Y",NA,NA,"PC(P-42:5)",744638.653751529
"Tea","pHILIC_738.5403_4.4",-0.492304237739823,2.27126587468777e-07,3.83843932822233e-05,"738.5403_4.4","PC(P-34:4)",NA,NA,NA,NA,"-3.959555601","pHILIC",2e+05,"[M+H]+","YES","Y",NA,NA,"PC(P-34:4)",258031.155537207
"Non_Starchy_Vegetables","nRPLC_429.3008_10.3",0.468258636943976,1.02072047993634e-06,4.31254402773106e-05,"429.3008_10.3","7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)","C17337","HMDB12458",NA,NA,"-0.534110352","nRPLC",4e+05,"[M-H]-","YES","Y","Lipid","Sterol","7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)",413741.692823932
"Non_Starchy_Vegetables","pHILIC_716.5208_3.9",0.470908783677976,8.69747356752578e-07,4.31254402773106e-05,"716.5208_3.9","PE(34:2)",NA,NA,NA,NA,"-2.354757741","pHILIC",8e+05,"[M+H]+","YES","Y",NA,NA,"PE(34:2)",1036554.92362895
"Bread_Products","pHILIC_790.5707_2",0.472402418687237,7.94249617529205e-07,4.47427284541452e-05,"790.5707_2","PC(P-38:6)",NA,NA,NA,NA,"-4.838662612","pHILIC",1e+05,"[M+H]+","YES","Y",NA,NA,"PC(P-38:6)",36436730.7765017
"Dairy_Products","nHILIC_481.244_5.2",0.488811122742603,2.84576111095152e-07,4.80933627750806e-05,"481.244_5.2","11-beta-Hydroxyandrosterone-3-glucuronide",NA,"HMDB10351",NA,"HMDB","-0.627917462","nHILIC",70000,"[M-H]-","YES","Y","Lipid","Androgenic Steroids","11-beta-Hydroxyandrosterone-3-glucuronide",74266.6266585525
"Nuts_Seeds","nRPLC_385.332_10.8",-0.465863145453021,1.17825952458824e-06,4.97814649138533e-05,"385.332_10.8","MG(20:0)",NA,"HMDB11542",NA,"HMDB","-0.854067958","nRPLC",10000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(20:0)",18392.7279658512
"Non_Starchy_Vegetables","pHILIC_703.5724_5.7",0.461719957151677,1.50641043872683e-06,5.09166728289669e-05,"703.5724_5.7","SM(d18:1/16:0)","C00550","HMDB13464",NA,"HMDB","-3.494027714","pHILIC",1e+07,"[M+H]+","YES","Y",NA,NA,"SM(d18:1/16:0)",15280610.1709847
"Tea","nHILIC_179.0348_2.2",-0.476463487504126,6.19134732600645e-07,5.23168849047545e-05,"179.0348_2.2","4-Hydroxyphenylpyruvic acid","C01179","HMDB00707","156-39-8","HMDB","-0.99279013","nHILIC",50000,"[M-H]-","YES","Y","Amino Acid","Tyrosine Metabolism","4-Hydroxyphenylpyruvic acid",69155.0101814169
"Rice_Pasta_Noodles","nHILIC_247.057_11.8",0.456908038192737,1.99583645417881e-06,5.62160601260366e-05,"247.057_11.8","Asp-Asp",NA,NA,NA,NA,"-0.688321592","nHILIC",70000,"[M-H]-","YES","Y","Peptide","Dipeptide","Asp-Asp",77586.0307351172
"Fats and Oils","nHILIC_135.0299_7.9",0.467972957508452,1.03840188564048e-06,5.84966395577469e-05,"135.0299_7.9","Threonic acid","C01620","HMDB00943","12/4/09","HMDB","0.04876608","nHILIC",2e+06,"[M-H]-","YES","Y","Cofactors and Vitamins","Ascorbate and Aldarate Metabolism","Threonic acid",2638733.67549286
"Eggs","nHILIC_261.0725_10.7",0.460396113667642,1.6283333280678e-06,6.53941381921534e-05,"261.0725_10.7","Asp-Glu or Glu-Asp",NA,NA,NA,NA,"-1.224100539","nHILIC",2e+06,"[M-H]-","YES","Y","Peptide","Dipeptide","Asp-Glu or Glu-Asp",1924130.56707819
"Eggs","pRPLC_169.0971_1.6",-0.474216451872808,7.10902241146049e-07,6.53941381921534e-05,"169.0971_1.6","Cyclo(ala-pro)",NA,NA,NA,NA,"-0.47593602","pRPLC",40000,"[M+H]+","YES","Y","Peptide","Dipeptide","Cyclo(ala-pro)",44332.49660316
"Eggs","nRPLC_243.0331_5.4",0.457443439058161,1.9347378163359e-06,6.53941381921534e-05,"243.0331_5.4","eugenol sulfate",NA,NA,NA,NA,"-0.672773907","nRPLC",20000,"[M-H]-","YES","Y","Xenobiotics","Food Component/Plant","eugenol sulfate",42646.3861505698
"Eggs","pRPLC_181.0718_3.1",-0.463491869425599,1.35669184654165e-06,6.53941381921534e-05,"181.0718_3.1","Paraxanthine","C13747","HMDB01860","611-59-6","HMDB","-1.141368661","pRPLC",1e+06,"[M+H]+","YES","Y","Xenobiotics","Xanthine Metabolism","Paraxanthine",1875926.3698157
"Eggs","pHILIC_790.5707_2",0.466730706332033,1.11871730633116e-06,6.53941381921534e-05,"790.5707_2","PC(P-38:6)",NA,NA,NA,NA,"-4.838662612","pHILIC",1e+05,"[M+H]+","YES","Y",NA,NA,"PC(P-38:6)",36436730.7765017
"Tea","nRPLC_203.002_1.9",0.465254108689107,1.22183834543341e-06,6.8830226792749e-05,"203.002_1.9","4-Methylcatechol sulfate",NA,NA,NA,NA,"0.176188064","nRPLC",3e+05,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","4-Methylcatechol sulfate",390287.42294474
"Mixed_Meal","nHILIC_224.0617_4.8",0.444182788019418,4.1154451109053e-06,6.95510223742996e-05,"224.0617_4.8","Androstenediol (3beta,17beta) disulfate","C04295","HMDB03818",NA,NA,"4.106181136","nHILIC",2e+06,"[M-H]2-","YES","Y","Lipid","Androgenic Steroids","Androstenediol (3beta,17beta) disulfate",2293139.04003664
"Rice_Pasta_Noodles","nRPLC_448.3069_9.4",0.447134252496382,3.48853799392668e-06,7.47209419693114e-05,"448.3069_9.4","Chenodeoxycholic acid glycine conjugate","C05466","HMDB00637","640-79-9","HMDB","0.12576723","nRPLC",2e+06,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Chenodeoxycholic acid glycine conjugate",3351197.0866318
"Rice_Pasta_Noodles","nRPLC_351.254_10.3",0.444786176121147,3.9792217616793e-06,7.47209419693114e-05,"351.254_10.3","MG(18:3)",NA,"HMDB11539",NA,"HMDB","-0.226082185","nRPLC",60000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(18:3)",65304.7963167176
