"","df1_row_id","df2_row_id","spearman_cor","p_value","p_adjust"
"cor","Energy","phylum_Actinobacteria",-0.347161536048053,0.567026847843864,0.99999018937499
"cor1","Energy","phylum_Bacteroidetes",-0.312243160256933,0.608997666747768,0.99999018937499
"cor2","Energy","phylum_Firmicutes",0.425009836686704,0.475624654028697,0.99999018937499
"cor3","Energy","phylum_Proteobacteria",-0.108899086686067,0.861619917138282,0.99999018937499
"cor4","Energy","phylum_Verrucomicrobia",-0.337684279167011,0.578364123342016,0.99999018937499
"cor5","Energy","phylum_unclassified_Bacteria",0.464578382214292,0.430507034337825,0.99999018937499
"cor6","Energy","class_Actinobacteria",-0.347161536048053,0.567026847843864,0.99999018937499
"cor7","Energy","class_Bacilli",0.306837475513545,0.615542352299013,0.99999018937499
"cor8","Energy","class_Bacteroidia",-0.312127017753897,0.609138153263741,0.99999018937499
"cor9","Energy","class_Betaproteobacteria",-0.0736511705543539,0.906309267114373,0.99999018937499
"cor10","Energy","class_Clostridia",0.398645177360516,0.506213086004544,0.99999018937499
"cor11","Energy","class_Deltaproteobacteria",-0.570841798755533,0.314853149108398,0.99999018937499
"cor12","Energy","class_Erysipelotrichia",-0.132126885806334,0.832261591084648,0.99999018937499
"cor13","Energy","class_Gammaproteobacteria",-0.0923064603752439,0.882638877925471,0.99999018937499
"cor14","Energy","class_Negativicutes",-0.194683442511462,0.753696201940543,0.99999018937499
"cor15","Energy","class_Verrucomicrobiae",-0.337684279167011,0.578364123342016,0.99999018937499
"cor16","Energy","class_unclassified_Bacteria",0.464578382214292,0.430507034337825,0.99999018937499
"cor17","Energy","class_unclassified_Firmicutes",0.673572262271877,0.212575835114183,0.99999018937499
"cor18","Energy","order_Bacteroidales",-0.312127017753897,0.609138153263741,0.99999018937499
"cor19","Energy","order_Burkholderiales",-0.07386386612937,0.906039192335372,0.99999018937499
"cor20","Energy","order_Clostridiales",0.398895323249462,0.50592100930578,0.99999018937499
"cor21","Energy","order_Coriobacteriales",-0.344352673085719,0.570382626706858,0.99999018937499
"cor22","Energy","order_Desulfovibrionales",-0.570841798755533,0.314853149108398,0.99999018937499
"cor23","Energy","order_Enterobacteriales",0.166175673063316,0.789396416355353,0.99999018937499
"cor24","Energy","order_Erysipelotrichales",-0.132126885806334,0.832261591084648,0.99999018937499
"cor25","Energy","order_Lactobacillales",0.308707098407786,0.613277423181579,0.99999018937499
"cor26","Energy","order_Selenomonadales",-0.194683442511462,0.753696201940543,0.99999018937499
"cor27","Energy","order_Verrucomicrobiales",-0.337684279167011,0.578364123342016,0.99999018937499
"cor28","Energy","order_unclassified_Bacteria",0.464578382214292,0.430507034337825,0.99999018937499
"cor29","Energy","order_unclassified_Firmicutes",0.673572262271877,0.212575835114183,0.99999018937499
