"data_set1","data_set2","cor","p","p_adjust","Mass","Metabolite","KEGG","HMDB","CAS","ChEBI","ppm","Mode","med","Ions","MSMS","Used.for.Quant","Super.pathway","Sub.pathway","true_name","mean_int"
"Meat_Poultry","nRPLC_203.002_1.9",-0.903198902788737,6.41500547506835e-13,1.08413592528655e-10,"203.002_1.9","4-Methylcatechol sulfate",NA,NA,NA,NA,"0.176188064","nRPLC",3e+05,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","4-Methylcatechol sulfate",390287.42294474
"Bread_Products","nRPLC_172.9914_0.9",0.896164796516496,1.80974793446961e-12,3.05847400925364e-10,"172.9914_0.9","Phenol sulphate","C00850","HMDB60015",NA,"HMDB","0.003620717","nRPLC",1e+06,"[M-H]-","YES","Y","Amino Acid","Tyrosine Metabolism","Phenol sulphate",2244594.12642679
"Fats and Oils","nRPLC_355.2852_11",0.89482498743929,2.1865809079543e-12,3.69532173444276e-10,"355.2852_11","MG(18:1)",NA,"HMDB11536",NA,"HMDB","-0.504551766","nRPLC",20000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(18:1)",23992.936959735
"Beverages","pRPLC_100.0756_1.2",0.874910403836107,2.78594139878044e-11,4.70824096393894e-09,"100.0756_1.2","2-Piperidinone",NA,"HMDB11749",NA,NA,"-0.94798216","pRPLC",1e+05,"[M+H]+","YES","Y","Xenobiotics","Food Component/Plant","2-Piperidinone",234227.215327217
"Rice_Pasta_Noodles","nRPLC_409.3322_11.2",0.85855136746895,1.66301783262226e-10,2.81050013713162e-08,"409.3322_11.2","MG(22:2)",NA,"HMDB11553",NA,"HMDB","-0.316713371","nRPLC",20000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(22:2)",23693.7044724771
"Fats and Oils","nHILIC_132.0302_8.3",0.844582147044046,6.46624322661904e-10,5.46397552649309e-08,"132.0302_8.3","Iminodiacetate (IDA)","C19911","HMDB11753",NA,NA,"-0.208339785","nHILIC",1e+05,"[M-H]-","YES","Y","Xenobiotics","Chemical","Iminodiacetate (IDA)",100900.516711519
"Fats and Oils","nRPLC_415.3217_11.4",0.837883101658014,1.18416684577718e-09,6.67080656454476e-08,"415.3217_11.4","Dihydroxyvitamin D3",NA,"HMDB00430",NA,"HMDB","-0.048038933","nRPLC",3e+05,"[M-H]-","YES","Y","Cofactors and Vitamins","Vitamin D Metabolism","Dihydroxyvitamin D3",352330.728501529
"Meat_Poultry","nHILIC_202.1197_13.3",0.841181709798591,8.8213626825147e-10,7.45405146672493e-08,"202.1197_13.3","Gly-Lys or Lys-Gly",NA,NA,NA,NA,"-0.056245606","nHILIC",90000,"[M-H]-","YES","Y","Peptide","Dipeptide","Gly-Lys or Lys-Gly",90687.1963537207
"Beverages","nRPLC_312.2546_10.4",-0.837281766410625,1.24858867140698e-09,1.0550574273389e-07,"312.2546_10.4","Palmitoylglycine",NA,"HMDB13034","158305-64-7","HMDB","0.593781152","nRPLC",10000,"[M-H]-","YES","Y","Lipid","Fatty Acid Metabolism(Acyl Glycine)","Palmitoylglycine",12132.0694067278
"Rice_Pasta_Noodles","nHILIC_247.057_11.8",0.827664561997642,2.83295148863076e-09,2.39384400789299e-07,"247.057_11.8","Asp-Asp",NA,NA,NA,NA,"-0.688321592","nHILIC",70000,"[M-H]-","YES","Y","Peptide","Dipeptide","Asp-Asp",77586.0307351172
"Sauces, Spices, and Herbs","pRPLC_100.0756_1.2",0.835198706914217,1.49762960772954e-09,2.42960613068173e-07,"100.0756_1.2","2-Piperidinone",NA,"HMDB11749",NA,NA,"-0.94798216","pRPLC",1e+05,"[M+H]+","YES","Y","Xenobiotics","Food Component/Plant","2-Piperidinone",234227.215327217
"Sauces, Spices, and Herbs","nRPLC_539.2494_7",0.827484864952793,2.875273527434e-09,2.42960613068173e-07,"539.2494_7","Tetrahydroaldosterone-3-glucuronide",NA,"HMDB10357","20605-81-6","HMDB","-0.707297131","nRPLC",6e+05,"[M-H]-","YES","Y","Lipid","Androgenic Steroids","Tetrahydroaldosterone-3-glucuronide",642400.722422243
"Snacks","pRPLC_100.0756_1.2",0.832736182214798,1.85090565218211e-09,3.12803055218776e-07,"100.0756_1.2","2-Piperidinone",NA,"HMDB11749",NA,NA,"-0.94798216","pRPLC",1e+05,"[M+H]+","YES","Y","Xenobiotics","Food Component/Plant","2-Piperidinone",234227.215327217
"Mixed_Meal","nHILIC_247.057_11.8",-0.832675958870309,1.86043784658565e-09,3.14413996072975e-07,"247.057_11.8","Asp-Asp",NA,NA,NA,NA,"-0.688321592","nHILIC",70000,"[M-H]-","YES","Y","Peptide","Dipeptide","Asp-Asp",77586.0307351172
"Meat_Poultry","nHILIC_197.0679_1.4",-0.814626922556198,7.9667080163716e-09,3.72753031050674e-07,"197.0679_1.4","5-Acetylamino-6-amino-3-methyluracil","C16366","HMDB04400",NA,NA,"-0.556384702","nHILIC",2e+06,"[M-H]-","YES","Y","Xenobiotics","Xanthine Metabolism","5-Acetylamino-6-amino-3-methyluracil",2311093.17950897
"Meat_Poultry","pRPLC_295.1292_1.3",0.81328237636671,8.82255694794495e-09,3.72753031050674e-07,"295.1292_1.3","gamma-glutamylphenylalanine",NA,"HMDB00594",NA,NA,"1.184216396","pRPLC",40000,"[M+H]+","YES","Y","Peptide","Gamma-glutamyl Amino Acid","gamma-glutamylphenylalanine",37003.5866857085
