"data_set1","data_set2","cor","p","p_adjust","Mass","Metabolite","KEGG","HMDB","CAS","ChEBI","ppm","Mode","med","Ions","MSMS","Used.for.Quant","Super.pathway","Sub.pathway","true_name","mean_int"
"TotSolFib","nHILIC_188.9862_0.9",0.759616032757287,0.00162200672501696,0.0642513604026366,"188.9862_0.9","Catechol sulfate",NA,"HMDB59724",NA,"HMDB","-0.599978483","nHILIC",6e+05,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","Catechol sulfate",5265869.67064882
"TotSolFib","nRPLC_391.2856_9.8",-0.789996288023732,0.000774386412840325,0.0642513604026366,"391.2856_9.8","Chenodeoxycholic Acid",NA,"HMDB0000518",NA,"HMDB","0.561396883","nRPLC",5e+05,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Chenodeoxycholic Acid",653486.691555401
"TotSolFib","pHILIC_764.5577_5",-0.7555047252968,0.00177836203550031,0.0642513604026366,"764.5577_5","PC(P-36:5)",NA,NA,NA,NA,"-1.532795961","pHILIC",1e+05,"[M-H]-","YES","Y",NA,NA,"PC(P-36:5)",216697.931495116
"TotSolFib","pHILIC_816.5884_5",-0.798247466789323,0.00062066230551916,0.0642513604026366,"816.5884_5","PC(P-40:7)",NA,NA,NA,NA,"-2.170838629","pHILIC",1e+05,"[M+H]+","YES","Y",NA,NA,"PC(P-40:7)",183312.274582332
"TotSolFib","pHILIC_728.5563_4.5",0.752478154075781,0.00190092782256321,0.0642513604026366,"728.5563_4.5","PE(P-36:2)",NA,NA,NA,NA,"-3.532912463","pHILIC",8e+05,"[M+H]+","YES","Y",NA,NA,"PE(P-36:2)",919968.524424057
"VitA_IU","nRPLC_203.002_1.9",0.840490485399974,0.000167087118005405,0.0282377229429135,"203.002_1.9","4-Methylcatechol sulfate",NA,NA,NA,NA,"0.176188064","nRPLC",3e+05,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","4-Methylcatechol sulfate",390287.42294474
"VitA_IU","pRPLC_181.0718_3.1",-0.80170962023448,0.000563955029424824,0.0476541999863976,"181.0718_3.1","Paraxanthine","C13747","HMDB01860","611-59-6","HMDB","-1.141368661","pRPLC",1e+06,"[M+H]+","YES","Y","Xenobiotics","Xanthine Metabolism","Paraxanthine",1875926.3698157
"Caroten","nRPLC_203.002_1.9",0.76905056265548,0.00130431616176877,0.110214715669461,"203.002_1.9","4-Methylcatechol sulfate",NA,NA,NA,NA,"0.176188064","nRPLC",3e+05,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","4-Methylcatechol sulfate",390287.42294474
"Caroten","pRPLC_181.0718_3.1",-0.826464504992385,0.000268284803278708,0.0453401317541016,"181.0718_3.1","Paraxanthine","C13747","HMDB01860","611-59-6","HMDB","-1.141368661","pRPLC",1e+06,"[M+H]+","YES","Y","Xenobiotics","Xanthine Metabolism","Paraxanthine",1875926.3698157
"Ca","nHILIC_111.0199_3.4",-0.827613730022773,0.00025848111764041,0.0436833088812293,"111.0199_3.4","Uracil","C00106","HMDB00300","66-22-8","HMDB","-0.869271189","nHILIC",80000,"[M-H]-","YES","Y","Nucleotide","""Pyrimidine Metabolism, Uracil containing""","Uracil",86078.9332517839
"Chrom","pHILIC_585.2694_4.9",0.712616574751423,0.0042333366206773,0.178858472223616,"585.2694_4.9","Bilirubin","C00486","HMDB00054",NA,NA,"-2.336115852","pHILIC",9e+05,"[M+H]+","YES","Y","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism","Bilirubin",1990805.44020459
"Chrom","nRPLC_377.2696_10.5",0.741501886512301,0.00240273504346981,0.176916202159794,"377.2696_10.5","MG(20:4)",NA,"HMDB04666","53847-30-6","HMDB","-0.342881119","nRPLC",60000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(20:4)",69317.8171140673
"Chrom","nRPLC_455.2472_11",0.84384675395464,0.000148203142345029,0.0250463310563099,"455.2472_11","Sulfolithocholic acid",NA,"HMDB00907","34669-57-3","HMDB","-0.1746876","nRPLC",2e+05,"[M-H]-","YES","Y","Lipid","Secondary Bile Acid Metabolism","Sulfolithocholic acid",254661.729426606
"Chrom","nRPLC_498.2892_10.3",-0.728277665076915,0.00314052429869456,0.176916202159794,"498.2892_10.3","Tauroursodeoxycholic acid",NA,"HMDB00874","14605-22-2","HMDB","-0.55851986","nRPLC",3e+05,"[M-H]-","YES","Y","Lipid","Secondary Bile Acid Metabolism","Tauroursodeoxycholic acid",1287255.96127625
"Mn","pHILIC_746.5694_5.1",-0.772747606676058,0.00119428481810685,0.174783935344358,"746.5694_5.1","PC(33:1)",NA,NA,NA,NA,"-0.047015532","pHILIC",9e+05,"[M+H]+","YES","Y",NA,NA,"PC(33:1)",1449721.61659469
"Mn","pHILIC_772.5828_5.1",-0.748582497214543,0.00206844893898648,0.174783935344358,"772.5828_5.1","PC(35:2)",NA,NA,NA,NA,"-2.961624547","pHILIC",2e+06,"[M+H]+","YES","Y",NA,NA,"PC(35:2)",2494047.15408437
