"data_set1","data_set2","cor","p","p_adjust","Mass","Metabolite","KEGG","HMDB","CAS","ChEBI","ppm","Mode","med","Ions","MSMS","Used.for.Quant","Super.pathway","Sub.pathway","true_name","mean_int"
"Energy","nRPLC_383.1535_7.6",0.581566933697386,0.000385777385535618,0.0651963781555194,"383.1535_7.6","16a-hydroxy DHEA 3-sulfate",NA,NA,NA,NA,"0.314144509983391|0.728163869219615","nRPLC",7e+05,"[M-H]-","YES","Y","Lipid","Androgenic Steroids","16a-hydroxy DHEA 3-sulfate",815468.043891356
"Energy","pHILIC_160.0967_7.5",0.493906825833487,0.0034868556956991,0.19642620419105,"160.0967_7.5","Betonicine","C08269","HMDB29412",NA,NA,"-0.774954111","pHILIC",3e+05,"[M+H]+","YES","Y","Xenobiotics","Food Component/Plant","Betonicine",877702.942247655
"Energy","nRPLC_514.2838_9.6",-0.512711178469345,0.0022822293350618,0.192848378812722,"514.2838_9.6","Taurocholic acid","C05122","HMDB00036","81-24-3","HMDB","-1.151754849","nRPLC",60000,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Taurocholic acid",524948.517295107
"FatCals","nRPLC_383.1535_7.6",0.546909155711601,0.000989814548734083,0.165957640211747,"383.1535_7.6","16a-hydroxy DHEA 3-sulfate",NA,NA,NA,NA,"0.314144509983391|0.728163869219615","nRPLC",7e+05,"[M-H]-","YES","Y","Lipid","Androgenic Steroids","16a-hydroxy DHEA 3-sulfate",815468.043891356
"FatCals","pHILIC_160.0967_7.5",0.508667482138377,0.00250508025526632,0.165957640211747,"160.0967_7.5","Betonicine","C08269","HMDB29412",NA,NA,"-0.774954111","pHILIC",3e+05,"[M+H]+","YES","Y","Xenobiotics","Food Component/Plant","Betonicine",877702.942247655
"FatCals","nHILIC_88.988_11",-0.501511854553618,0.00294599361322628,0.165957640211747,"88.988_11","Oxalate (ethanedioate)","C00209","HMDB02329",NA,NA,"-0.317261083","nHILIC",2e+05,"[M-H]-","YES","Y","Cofactors and Vitamins","Ascorbate and Aldarate Metabolism","Oxalate (ethanedioate)",185575.736972802
"SatCals","nRPLC_383.1535_7.6",0.524251440855322,0.00173833431970579,0.14688925001514,"383.1535_7.6","16a-hydroxy DHEA 3-sulfate",NA,NA,NA,NA,"0.314144509983391|0.728163869219615","nRPLC",7e+05,"[M-H]-","YES","Y","Lipid","Androgenic Steroids","16a-hydroxy DHEA 3-sulfate",815468.043891356
"SatCals","pHILIC_160.0967_7.5",0.621412478730767,0.000113591352262621,0.019196938532383,"160.0967_7.5","Betonicine","C08269","HMDB29412",NA,NA,"-0.774954111","pHILIC",3e+05,"[M+H]+","YES","Y","Xenobiotics","Food Component/Plant","Betonicine",877702.942247655
"Carb","nRPLC_514.2838_9.6",-0.605588342381817,0.000188230460917517,0.0318109478950604,"514.2838_9.6","Taurocholic acid","C05122","HMDB00036","81-24-3","HMDB","-1.151754849","nRPLC",60000,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Taurocholic acid",524948.517295107
"TotFib","pHILIC_178.0532_7.5",-0.465003243281676,0.0063988680937991,0.180234784642008,"178.0532_7.5","Alliin","C08265","HMDB33592",NA,NA,"-0.248031697","pHILIC",60000,"[M+H]+","YES","Y","Xenobiotics","Food Component/Plant","Alliin",115227.594807238
