"data_set1","data_set2","cor","p","p_adjust","Mass","Metabolite","KEGG","HMDB","CAS","ChEBI","ppm","Mode","med","Ions","MSMS","Used.for.Quant","Super.pathway","Sub.pathway","true_name","mean_int"
"Sugar","nRPLC_327.2538_10.5",-0.716082148641188,0.00017829817239165,0.0301323911341889,"327.2538_10.5","MG(16:1)",NA,"HMDB11534",NA,"HMDB","-0.851882898","nRPLC",20000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(16:1)",19787.7690314985
"Alcohol","pHILIC_728.5563_4.5",-0.714258669220292,0.00018848398903389,0.0318537941467274,"728.5563_4.5","PE(P-36:2)",NA,NA,NA,NA,"-3.532912463","pHILIC",8e+05,"[M+H]+","YES","Y",NA,NA,"PE(P-36:2)",919968.524424057
"Sugar","nRPLC_355.2852_11",-0.678554946135183,0.000517611487771567,0.0437381707166974,"355.2852_11","MG(18:1)",NA,"HMDB11536",NA,"HMDB","-0.504551766","nRPLC",20000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(18:1)",23992.936959735
"VitB12","nRPLC_383.1535_7.6",0.628825814124028,0.0017200609715313,0.145345152094395,"383.1535_7.6","16a-hydroxy DHEA 3-sulfate",NA,NA,NA,NA,"0.314144509983391|0.728163869219615","nRPLC",7e+05,"[M-H]-","YES","Y","Lipid","Androgenic Steroids","16a-hydroxy DHEA 3-sulfate",815468.043891356
"VitB12","nHILIC_103.04_4.6",0.640638938721983,0.00131765991257203,0.145345152094395,"103.04_4.6","Hydroxybutyric acid",NA,NA,NA,NA,"-0.616277523","nHILIC",8e+06,"[M-H]-","YES","Y","Amino Acid","Glutathione Metabolism","Hydroxybutyric acid",8691325.38358818
"Caff","nRPLC_327.2538_10.5",-0.656483425371635,0.000905566034610555,0.153040659849184,"327.2538_10.5","MG(16:1)",NA,"HMDB11534",NA,"HMDB","-0.851882898","nRPLC",20000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(16:1)",19787.7690314985
"SatFat","nHILIC_131.0349_5.1",-0.650704527322511,0.00104083870954365,0.175901741912877,"131.0349_5.1","Ethylmalonate",NA,"HMDB00622",NA,NA,"-0.596354892","nHILIC",2e+05,"[M-H]-","YES","Y","Amino Acid","""Leucine, Isoleucine and Valine Metabolism""","Ethylmalonate",219116.61201105
"Mn","nRPLC_464.3015_8.8",-0.636345157130961,0.00145350058212131,0.178468784472434,"464.3015_8.8","Glycocholic acid","C01921","HMDB00138","475-31-0","HMDB","-0.554713367","nRPLC",2e+05,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Glycocholic acid",654751.648961264
"Mn","nRPLC_514.2838_9.6",-0.599845136757132,0.00316808493146333,0.178468784472434,"514.2838_9.6","Taurocholic acid","C05122","HMDB00036","81-24-3","HMDB","-1.151754849","nRPLC",60000,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Taurocholic acid",524948.517295107
"Mn","nRPLC_498.2892_10.3",-0.607842052288876,0.00269222671256302,0.178468784472434,"498.2892_10.3","Tauroursodeoxycholic acid",NA,"HMDB00874","14605-22-2","HMDB","-0.55851986","nRPLC",3e+05,"[M-H]-","YES","Y","Lipid","Secondary Bile Acid Metabolism","Tauroursodeoxycholic acid",1287255.96127625
"Fluor","pHILIC_212.1026_7.4",-0.646801036935079,0.00114164525514225,0.19293804811904,"212.1026_7.4","N-acetyl-1-methylhistidine",NA,NA,NA,NA,"-1.758906829","pHILIC",1e+05,"[M+H]+","YES","Y","Amino Acid","Histidine Metabolism","N-acetyl-1-methylhistidine",178249.095723038
"Mn","nHILIC_103.04_4.6",-0.566467730047305,0.00598594896672153,0.252906343843985,"103.04_4.6","Hydroxybutyric acid",NA,NA,NA,NA,"-0.616277523","nHILIC",8e+06,"[M-H]-","YES","Y","Amino Acid","Glutathione Metabolism","Hydroxybutyric acid",8691325.38358818
"Zn","nHILIC_188.9862_0.9",-0.620919652196423,0.00204386709154038,0.26400584703243,"188.9862_0.9","Catechol sulfate",NA,"HMDB59724",NA,"HMDB","-0.599978483","nHILIC",6e+05,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","Catechol sulfate",5265869.67064882
