"data_set1","data_set2","cor","p","p_adjust","Mass","Metabolite","KEGG","HMDB","CAS","ChEBI","ppm","Mode","med","Ions","MSMS","Used.for.Quant","Super.pathway","Sub.pathway","true_name","mean_int"
"Energy","pRPLC_676.417_10.7",-0.918278644137064,2.49941799657289e-05,0.00422401641420818,"676.417_10.7","PS(28:2)",NA,"HMDB12342",NA,"HMDB","-2.093130967","pRPLC",20000,"[M+H]+","YES","Y",NA,NA,"PS(28:2)",28662.0765607863
"SolFib","pHILIC_746.5694_5.1",-0.911074680544459,3.7661660692278e-05,0.00636482065699498,"746.5694_5.1","PC(33:1)",NA,NA,NA,NA,"-0.047015532","pHILIC",9e+05,"[M+H]+","YES","Y",NA,NA,"PC(33:1)",1449721.61659469
"SolFib","pHILIC_754.5367_5.1",-0.88797832126912,0.000114789775623131,0.00969973604015455,"754.5367_5.1","PC(34:4)",NA,NA,NA,NA,"-1.904272032","pHILIC",2e+05,"[M+H]+","YES","Y",NA,NA,"PC(34:4)",349883.379017442
"Panto","nHILIC_188.9862_0.9",0.899672191946125,6.75022826511923e-05,0.0114078857680515,"188.9862_0.9","Catechol sulfate",NA,"HMDB59724",NA,"HMDB","-0.599978483","nHILIC",6e+05,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","Catechol sulfate",5265869.67064882
"SolFib","pHILIC_758.5668_5.1",-0.861839829613061,0.000312930046445056,0.0176283926164048,"758.5668_5.1","PC(34:2)",NA,NA,NA,NA,"-3.478344514","pHILIC",9e+07,"[M+H]+","YES","Y",NA,NA,"PC(34:2)",134071959.911157
"K","nRPLC_407.2804_9.2",-0.872497262514277,0.000213428636135582,0.0290507900311619,"407.2804_9.2","Cholic Acid",NA,"HMDB0000619",NA,"HMDB","0.258665655","nRPLC",90000,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Cholic Acid",368133.99660659
"K","nRPLC_464.3015_8.8",-0.859079044501626,0.000343796331729727,0.0290507900311619,"464.3015_8.8","Glycocholic acid","C01921","HMDB00138","475-31-0","HMDB","-0.554713367","nRPLC",2e+05,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Glycocholic acid",654751.648961264
"SolFib","pHILIC_732.5525_5.1",-0.812912030836242,0.00130625927349377,0.0441515634440893,"732.5525_5.1","PC(32:1)",NA,NA,NA,NA,"-1.756540765","pHILIC",3e+06,"[M+H]+","YES","Y",NA,NA,"PC(32:1)",4487452.58646876
"SolFib","pHILIC_782.5665_5.1",-0.816586923331153,0.00119072448075112,0.0441515634440893,"782.5665_5.1","PC(36:4)",NA,NA,NA,NA,"-3.755381454","pHILIC",4e+07,"[M+H]+","YES","Y",NA,NA,"PC(36:4)",71577205.8319258
"SolFib","pHILIC_778.5358_5.1",-0.805218269233156,0.00157594263450758,0.0443890508719635,"778.5358_5.1","PC(36:6)",NA,NA,NA,NA,"-3.003008816","pHILIC",1e+05,"[M+H]+","YES","Y",NA,NA,"PC(36:6)",181056.080780301
"Chol","pHILIC_724.5254_4.4",0.862073122082442,0.00031042425999285,0.046024248551978,"724.5254_4.4","PE(P-36:4)",NA,NA,NA,NA,"-2.99956413","pHILIC",3e+06,"[M+H]+","YES","Y",NA,NA,"PE(P-36:4)",3189886.13057085
"Chol","pHILIC_752.5554_4.3",0.844709508116692,0.000544665663337018,0.046024248551978,"752.5554_4.3","PE(P-38:4)",NA,NA,NA,NA,"-4.617624484","pHILIC",4e+06,"[M+H]+","YES","Y",NA,NA,"PE(P-38:4)",4746778.25347605
"Chol","nHILIC_724.5298_4.4",0.829219598577117,0.000852409738436474,0.0480190819319214,"724.5298_4.4","PE(P-36:3)",NA,NA,NA,NA,"1.57083219","nHILIC",4e+05,"[M-H]-","YES","Y",NA,NA,"PE(P-36:3)",470907.857176351
