"data_set1","data_set2","cor","p","p_adjust","p_adjust2"
"Energy","pHILIC_298.1139_4.7",-0.0628822405215823,0.513996859253933,0.715538358387018,0.699971432410448
"Energy","pHILIC_170.0923_8.5",0.0314501472835476,0.744299845950057,0.873518569205275,0.858446268371705
"Energy","nHILIC_181.0367_6.8",0.136605935373687,0.154722021576489,0.414480216977893,0.330102941539581
"Energy","nHILIC_204.9811_1.1",-0.210465035567139,0.0273181276914506,0.131907530853004,0.104701955383964
"Energy","nHILIC_481.244_5.2",0.2442351276991,0.0101299121970201,0.0684782064518556,0.0526602574281536
"Energy","nRPLC_383.1535_7.6",-0.021240584545978,0.825674025409393,0.896246130133983,0.90598581962415
"Energy","pHILIC_104.0705_8.1",-0.119246970612992,0.214672798136426,0.490266255203459,0.406774752043149
"Energy","nHILIC_188.0023_1.6",0.0644439154584519,0.503579564949248,0.715167617448932,0.690533092965464
"Energy","nRPLC_151.04_2.3",-0.0906313084749764,0.346381956730834,0.597332149872561,0.547089258761785
"Energy","pRPLC_100.0756_1.2",0.527385750501349,3.228354777925e-09,2.33186981058016e-07,8.76253749874978e-07
"Energy","nHILIC_133.0506_2.3",0.0529615425122198,0.58265833381588,0.775163571316202,0.75080861688805
"Energy","nRPLC_149.0607_4.6",0.013260696429257,0.890638264211829,0.9430000567359,0.943741503909305
"Energy","nHILIC_179.0348_2.2",-0.280830677953836,0.00296081320388595,0.0328157596966292,0.0226279896477871
"Energy","nRPLC_203.002_1.9",0.0625031055658104,0.516542483569326,0.715538358387018,0.702394265269539
"Energy","nHILIC_197.0679_1.4",0.24715085604944,0.00924003931550327,0.0650652768466689,0.0494815292024
"Energy","nHILIC_128.0352_7.6",-0.214301520238639,0.0245683115167965,0.125819534737534,0.0973768762029836
"Energy","nRPLC_371.1881_9.5",0.123616049627124,0.198224489485482,0.471830122859808,0.386987086382184
"Energy","nRPLC_467.2636_8.4",0.135874746530413,0.156962922405829,0.414480216977893,0.33268265404378
"Energy","nRPLC_429.3008_10.3",-0.0616094303129197,0.522568273450071,0.718000310675301,0.707104314495431
"Energy","pHILIC_269.1239_8.3",0.099540979935614,0.300836703695201,0.548105065507239,0.502047124851465
"Energy","pHILIC_203.1388_8.9",0.146580795519588,0.126498481372401,0.362343107659929,0.292248361530203
"Energy","pHILIC_178.0532_7.5",-0.0681449947886053,0.479337117440857,0.698344593512973,0.669604592979005
"Energy","pRPLC_265.1184_2.6",-0.0427339257291373,0.65756335650847,0.825889003046483,0.802861911702067
"Energy","nHILIC_224.0617_4.8",0.00922561725711413,0.923793954377835,0.946188959332449,0.963123808226145
"Energy","nRPLC_465.2489_8.6",-0.0486737067028957,0.613585539767611,0.797661201697895,0.773305991233783
"Energy","nRPLC_369.1741_9.5",-0.0232175025296454,0.809742708754328,0.894421684833212,0.895526045476295
"Energy","nHILIC_151.0611_5.4",-0.0528983533529245,0.583108852761873,0.775163571316202,0.751230831173188
"Energy","nHILIC_165.0405_8.5",-0.102565032559032,0.286316263430347,0.548105065507239,0.487276224880414
"Energy","nHILIC_247.057_11.8",-0.0738500731706954,0.443232606464133,0.673622877569503,0.638056186159184
"Energy","nHILIC_261.0725_10.7",-0.11687286362804,0.224006899664287,0.491651507055384,0.417946706139254
"Energy","pHILIC_160.0967_7.5",-0.172659864263035,0.0712693003610351,0.231625226173364,0.200300948645683
"Energy","pHILIC_585.2694_4.9",0.0543065689029341,0.573106937395653,0.774840579358923,0.744963712307843
"Energy","pHILIC_583.2539_5.3",-0.0374982525303837,0.697328563767253,0.841461129051757,0.827911567462869
"Energy","nHILIC_87.045_4.2",0.0744458566726226,0.439552700807438,0.673622877569503,0.634909456721855
"Energy","nHILIC_188.9862_0.9",0.0473738154259638,0.623100452508927,0.803847148656555,0.778511733924229
"Energy","nRPLC_391.2856_9.8",0.0771088283857817,0.423317601177,0.66860443550386,0.618986499383405
"Energy","nHILIC_512.2684_5.7",-0.332763139871818,0.000382363992684718,0.0080332239601516,0.00564171245880596
"Energy","nRPLC_448.3069_9.4",-0.0587929992129005,0.541788772139843,0.738405665255109,0.720748853714031
"Energy","nRPLC_407.2804_9.2",0.363337665947988,9.56416748527847e-05,0.00323268861002412,0.00213375338047366
"Energy","nRPLC_204.0666_4.3",-0.179755104149622,0.0602325695505754,0.220805491752155,0.178880346639424
"Energy","pRPLC_169.0971_1.6",0.233538105732681,0.0140711167228519,0.0880747676356285,0.065917883099678
"Energy","pHILIC_179.0484_7.4",-0.04075700774547,0.672473497142637,0.835647213361072,0.812099920979723
"Energy","nHILIC_217.0651_5",-0.0209426927950145,0.828080953579665,0.896246130133983,0.907626174891466
"Energy","nHILIC_425.0806_12.4",-0.129700262964986,0.176861981346587,0.452873861326866,0.359462847043653
"Energy","nRPLC_367.1585_8.9",0.0987195208647751,0.304863172530653,0.548105065507239,0.505865030818278
"Energy","pRPLC_277.0384_5.1",0.108161786668045,0.26069294877908,0.526342516500435,0.459379646314032
"Energy","nRPLC_415.3217_11.4",-0.158324952125758,0.0985357196785081,0.302773393193961,0.247986637021747
"Energy","nHILIC_121.0505_3.5",0.136199719349646,0.155963989639525,0.414480216977893,0.331349491271639
"Energy","nHILIC_238.0929_7.3",0.106564003640149,0.267842937390754,0.526342516500435,0.46656343644671
"Energy","nHILIC_131.0349_5.1",-0.0347720916579292,0.718371720687151,0.8549635267333,0.840775578491417
"Energy","nRPLC_243.0331_5.4",0.0831388795871049,0.387860839033273,0.63330301352135,0.586340849826334
"Energy","pHILIC_309.1649_15.6",0.190244504592642,0.0465107678856116,0.182798134248101,0.15086595267927
"Energy","nRPLC_263.1289_6.8",0.0990174126157387,0.303398968059332,0.548105065507239,0.504610770572494
"Energy","nRPLC_283.1088_9.6",-0.119526808318443,0.21359107233794,0.490266255203459,0.405841161419375
"Energy","pRPLC_295.1292_1.3",0.113126649184104,0.239311170523047,0.510609504518028,0.435014439812241
"Energy","pHILIC_249.1078_10.4",-0.0523386779420232,0.587106136854875,0.775163571316202,0.754261283392013
"Energy","nRPLC_153.0193_2.1",0.0997937365727953,0.29960485123024,0.548105065507239,0.500664300833817
"Energy","nHILIC_202.1197_13.3",0.172768188536113,0.0710892869538468,0.231625226173364,0.199983273632414
"Energy","nRPLC_464.3015_8.8",-0.0890425524698374,0.354936203909329,0.605901196572491,0.554827849636276
"Energy","pHILIC_189.1345_14.4",0.54263239193703,9.14574872646996e-10,1.54563153477342e-07,4.31149849173639e-07
"Energy","pHILIC_158.1174_6.2",0.0831930417236437,0.387550678702489,0.63330301352135,0.586069800631131
"Energy","nHILIC_103.04_4.6",-0.205274497482168,0.0314518733766329,0.142716861692251,0.116123013122218
"Energy","nHILIC_194.0458_4.6",-0.293260888289498,0.00187548530642982,0.0243813089835876,0.016632397910586
"Energy","pHILIC_157.0607_8.3",0.0702212100225938,0.466017825017849,0.686026443340025,0.658482672138331
"Energy","nHILIC_132.0302_8.3",0.0104984274657767,0.913318607176935,0.9430000567359,0.956794709296351
"Energy","nHILIC_302.1148_6.5",-0.0277580949761506,0.773454583615085,0.889209691367003,0.87516835591717
"Energy","pHILIC_146.0811_7.5",0.192591530509325,0.0438255917517225,0.176345833477169,0.145279728097771
"Energy","nRPLC_117.0557_0.6",0.192799152032724,0.0435944016175803,0.176345833477169,0.144834961160485
"Energy","nHILIC_274.1407_12.3",0.0512103000974643,0.595202978328016,0.779762041375463,0.760518270596867
"Energy","nHILIC_235.0723_6.5",-0.0802231512367645,0.404777146484119,0.651498454817297,0.602057273506851
"Energy","nRPLC_511.3039_10.3",0.0326146332191325,0.7351766149781,0.868845090428664,0.852256908111812
"Energy","nRPLC_230.9968_4.1",-0.224772866636147,0.0182355131988659,0.102726724353611,0.0784889436435568
