"data_set1","data_set2","cor","p","p_adjust","p_adjust2"
"Energy","pHILIC_298.1139_4.7",0.075357351834824,0.547596989083871,0.695818730490032,0.728908638909828
"Energy","pHILIC_170.0923_8.5",-0.0628604865000418,0.616075589218726,0.72808933271304,0.779185124630348
"Energy","nHILIC_181.0367_6.8",0.107330937055922,0.391012804815427,0.611862629757473,0.601047141364643
"Energy","nHILIC_204.9811_1.1",-0.293446459918081,0.0167876977333836,0.0725973394398312,0.0777896578364806
"Energy","nHILIC_481.244_5.2",0.300384518933378,0.0142621747406476,0.0654677227916947,0.0698379370482685
"Energy","nRPLC_383.1535_7.6",-0.0278776226698989,0.82416225983336,0.85449952093152,0.908892066157031
"Energy","pHILIC_104.0705_8.1",-0.0279612137423723,0.823643465737322,0.85449952093152,0.908543660419851
"Energy","nHILIC_188.0023_1.6",-0.0325587227284126,0.795231555198785,0.841321682268861,0.890806533256068
"Energy","nRPLC_151.04_2.3",-0.112847947839171,0.366976780325697,0.590657865476598,0.58048899973275
"Energy","pRPLC_100.0756_1.2",0.628981024826548,1.5522478184487e-08,8.74432937726102e-07,4.63449456994834e-06
"Energy","nHILIC_133.0506_2.3",-0.0420463094541503,0.737468513283952,0.82537866718535,0.859420436310741
"Energy","nRPLC_149.0607_4.6",-0.0341051575691716,0.785732144236326,0.841321682268861,0.885926839869685
"Energy","nHILIC_179.0348_2.2",-0.391415196856976,0.00115474943830251,0.0147560812376204,0.0125981616551469
"Energy","nRPLC_203.002_1.9",-0.0612304605868093,0.625271561163536,0.728764785080259,0.784908402210235
"Energy","nHILIC_197.0679_1.4",0.11861573183984,0.342833633606943,0.56251343766576,0.55569324216746
"Energy","nHILIC_128.0352_7.6",-0.2489760093622,0.0438093665562207,0.141393842378796,0.152102247579312
"Energy","nRPLC_371.1881_9.5",0.0804146117194684,0.520970646079058,0.691710066624086,0.709924551487924
"Energy","nRPLC_467.2636_8.4",0.152261138510407,0.222286043020093,0.438905407406017,0.427807496203477
"Energy","nRPLC_429.3008_10.3",-0.23978099139012,0.0524815934773021,0.15560332101165,0.169519521376197
"Energy","pHILIC_269.1239_8.3",0.117696230042631,0.346614620777492,0.563248758763424,0.559392280775494
"Energy","pHILIC_203.1388_8.9",0.22878876535986,0.0646360921536812,0.17618547699955,0.19375685321972
"Energy","pHILIC_178.0532_7.5",0.0641979436596171,0.608573790668608,0.724288525514048,0.773959313221457
"Energy","pRPLC_265.1184_2.6",0.0354844102649837,0.777285851300827,0.841321682268861,0.881507896948785
"Energy","nHILIC_224.0617_4.8",0.032349745047229,0.79651756901194,0.841321682268861,0.891466683198793
"Energy","nRPLC_465.2489_8.6",-0.161539747554961,0.195040984797207,0.417239575072506,0.395155417513817
"Energy","nRPLC_369.1741_9.5",-0.0914068377497283,0.465430313451966,0.666590872655782,0.665900167509073
"Energy","nHILIC_151.0611_5.4",-0.184443701412689,0.138193943905913,0.318103177104363,0.316492752637501
"Energy","nHILIC_165.0405_8.5",-0.140182228537992,0.261590273587636,0.472115942609121,0.473059576120424
"Energy","nHILIC_247.057_11.8",-0.111635877288306,0.37217879861857,0.593379405344701,0.584945692090986
"Energy","nHILIC_261.0725_10.7",-0.264147789016133,0.0320995245091824,0.110710604939833,0.122817360541968
"Energy","pHILIC_160.0967_7.5",-0.247429574521441,0.0451790975648225,0.141393842378796,0.154571878108524
"Energy","pHILIC_585.2694_4.9",0.12129064615899,0.331981441038436,0.550047681720546,0.547112744688366
"Energy","pHILIC_583.2539_5.3",-0.183942154977848,0.139287781690668,0.318103177104363,0.318184305178095
"Energy","nHILIC_87.045_4.2",0.0328930870183064,0.793175063825844,0.841321682268861,0.890145835216726
"Energy","nHILIC_188.9862_0.9",0.0695059767616819,0.57920135143894,0.715931419731049,0.751326068767356
"Energy","nRPLC_391.2856_9.8",0.0426732424977012,0.733698219883353,0.82537866718535,0.857257364400625
"Energy","nHILIC_512.2684_5.7",-0.26418958455237,0.0320713052455531,0.110710604939833,0.122814314272946
"Energy","nRPLC_448.3069_9.4",-0.24885062275349,0.0439191351199337,0.141393842378796,0.152297209937765
