"data_set1","data_set2","cor","p","p_adjust","p_adjust2"
"Energy","pHILIC_298.1139_4.7",-0.64200851015676,0.00127666820854062,0.0215643282599201,0.0115389678545896
"Energy","pHILIC_170.0923_8.5",0.119522860933439,0.596255149220149,0.730196523320327,0.764808445018598
"Energy","nHILIC_181.0367_6.8",0.0341493888381255,0.880079407205674,0.901414665562175,0.951807685382905
"Energy","nHILIC_204.9811_1.1",-0.0933416628242098,0.679489874135564,0.767887475681208,0.821902876790311
"Energy","nHILIC_481.244_5.2",0.185545012687149,0.408408459427716,0.604421241023534,0.606451354624346
"Energy","nRPLC_383.1535_7.6",0.180991760842065,0.420206526322365,0.604421241023534,0.617520895204172
"Energy","pHILIC_104.0705_8.1",-0.420037482708944,0.0516235886473914,0.174487729628183,0.155845124204478
"Energy","nHILIC_188.0023_1.6",0.544113595487467,0.00884892458619068,0.0515678708643526,0.0471570467852224
"Energy","nRPLC_151.04_2.3",-0.256120416285942,0.249935327438778,0.484184297157226,0.444357032129641
"Energy","pRPLC_100.0756_1.2",0.440527116011819,0.0401753675085079,0.154309934294042,0.131910105122326
"Energy","nHILIC_133.0506_2.3",0.180991760842065,0.420206526322365,0.604421241023534,0.617520895204172
"Energy","nRPLC_149.0607_4.6",0.316451003233297,0.15133635081549,0.360223144898842,0.319547311233933
"Energy","nHILIC_179.0348_2.2",-0.179853447880794,0.423184614248859,0.604421241023534,0.61976203234582
"Energy","nRPLC_203.002_1.9",0.396132910522256,0.067991487542833,0.21680304518375,0.186238456856622
"Energy","nHILIC_197.0679_1.4",0.678434524917427,0.000519258528762567,0.0188554772024944,0.00604025797678741
"Energy","nHILIC_128.0352_7.6",-0.140012494236315,0.534299479637215,0.678921895178115,0.713328430333959
"Energy","nRPLC_371.1881_9.5",0.29482305696915,0.182874335827505,0.396227727626261,0.361271598148868
"Energy","nRPLC_467.2636_8.4",-0.286854866240255,0.195549440531158,0.413098193122072,0.378056623966671
"Energy","nRPLC_429.3008_10.3",0.306206186581859,0.16575990237843,0.372287834516504,0.339052625166385
"Energy","pHILIC_269.1239_8.3",-0.178715134919524,0.426174065293987,0.604421241023534,0.620934082630231
"Energy","pHILIC_203.1388_8.9",0.0147980684965211,0.94788671934895,0.94788671934895,0.989075180010315
"Energy","pHILIC_178.0532_7.5",-0.022766259225417,0.919897635255741,0.925373216417977,0.973018790621832
"Energy","pRPLC_265.1184_2.6",-0.184406699725878,0.411340769610638,0.604421241023534,0.609189694676338
"Energy","nHILIC_224.0617_4.8",-0.369951712413027,0.0901373949775263,0.258190165274609,0.224891545073455
"Energy","nRPLC_465.2489_8.6",0.0364260147606672,0.872146205736281,0.8987360290819,0.946657000094507
"Energy","nRPLC_369.1741_9.5",0.05350070917973,0.813074518362255,0.858809960020132,0.909997308630604
"Energy","nHILIC_151.0611_5.4",-0.104724792436918,0.642784401296829,0.765003970557493,0.796103412944648
"Energy","nHILIC_165.0405_8.5",0.125214425739794,0.578745351810468,0.718224614408335,0.751169702386083
"Energy","nHILIC_247.057_11.8",0.161640440500461,0.472354987102928,0.632780232414212,0.661488996166499
"Energy","nHILIC_261.0725_10.7",0.124076112778523,0.582229421147585,0.718224614408335,0.754052765358432
"Energy","pHILIC_160.0967_7.5",-0.359706895761589,0.100121505566751,0.272911845819046,0.242375223070645
"Energy","pHILIC_585.2694_4.9",-0.343770514303797,0.117234370897641,0.309572010651583,0.269732406917588
"Energy","pHILIC_583.2539_5.3",-0.142289120158856,0.527605895445689,0.678921895178115,0.708616884916335
"Energy","nHILIC_87.045_4.2",-0.045532518450834,0.840539105185493,0.876858696150298,0.927066711629905
"Energy","nHILIC_188.9862_0.9",-0.215141149680191,0.336289890037693,0.562702885310595,0.538653173295353
"Energy","nRPLC_391.2856_9.8",0.0261811981092296,0.907928412076408,0.918801806233012,0.966521842996006
"Energy","nHILIC_512.2684_5.7",-0.483783008540112,0.0225348692582033,0.100220865911483,0.0887620158072678
"Energy","nRPLC_448.3069_9.4",0.376781590180652,0.0839047889338619,0.24448119534177,0.214418029809016
"Energy","nRPLC_407.2804_9.2",0.607859121318635,0.00269127935747501,0.0238301697834619,0.0197265050776626
"Energy","nRPLC_204.0666_4.3",0.402962788289881,0.0629602614027991,0.204620849559097,0.177004099618604
"Energy","pRPLC_169.0971_1.6",0.438250490089278,0.0413391858970645,0.155251609257865,0.134743481834064
"Energy","pHILIC_179.0484_7.4",-0.30734449954313,0.164111872735961,0.372287834516504,0.336219131769441
"Energy","nHILIC_217.0651_5",-0.278886675511359,0.208805674630869,0.425158542320686,0.395573694515376
"Energy","nHILIC_425.0806_12.4",-0.226524279292899,0.310712033132156,0.550792639303111,0.512626207545537
"Energy","nRPLC_367.1585_8.9",0.435973864166736,0.0425291635775212,0.156248448795676,0.13727341195094
"Energy","pRPLC_277.0384_5.1",0.171885257151899,0.44434746339579,0.605602591241036,0.636905141564425
"Energy","nRPLC_415.3217_11.4",-0.177576821958253,0.429174845697184,0.604421241023534,0.624146629795369
"Energy","nHILIC_121.0505_3.5",0.206034645990024,0.357623973767572,0.581138957372305,0.560104552025904
"Energy","nHILIC_238.0929_7.3",0.607859121318635,0.00269127935747501,0.0238301697834619,0.0197265050776626
"Energy","nHILIC_131.0349_5.1",0.0910650369016681,0.686919168413006,0.767887475681208,0.826425116383519
"Energy","nRPLC_243.0331_5.4",0.291408118085338,0.188235824967069,0.402681701511831,0.367726997651045
"Energy","pHILIC_309.1649_15.6",0.141150807197586,0.530947749492158,0.678921895178115,0.711398502947085
"Energy","nRPLC_263.1289_6.8",-0.245875599634504,0.270035135253548,0.507065976198328,0.467925073798805
"Energy","nRPLC_283.1088_9.6",-0.494027825191549,0.0194443665672396,0.0912804986073192,0.0802595351809977
"Energy","pRPLC_295.1292_1.3",0.0956182887467515,0.672089191828804,0.767887475681208,0.81747730733441
"Energy","pHILIC_249.1078_10.4",0.282301614395171,0.203052833201221,0.418486936719589,0.388040159373444
"Energy","nRPLC_153.0193_2.1",0.140012494236315,0.534299479637214,0.678921895178115,0.713328430333959
"Energy","nHILIC_202.1197_13.3",0.618103937970072,0.00217097793538759,0.0215820747694414,0.0167777820252516
"Energy","nRPLC_464.3015_8.8",0.466708314121049,0.0285495791309945,0.119503130744192,0.104374930725028
"Energy","pHILIC_189.1345_14.4",0.325557506923463,0.139276360465437,0.341126158241432,0.303379951529405
"Energy","pHILIC_158.1174_6.2",-0.030734449954313,0.891999836481604,0.908120315454163,0.958795456062129
"Energy","nHILIC_103.04_4.6",0.540698656603654,0.00937198586199136,0.0527955203558847,0.0491349467623025
"Energy","nHILIC_194.0458_4.6",-0.24018403482815,0.281631002665786,0.514830196983683,0.481222604135338
"Energy","pHILIC_157.0607_8.3",-0.076266968405147,0.735864714439413,0.802329914453295,0.858668609592735
"Energy","nHILIC_132.0302_8.3",0.250428851479587,0.260979312147726,0.495567457898491,0.457364840326195
"Energy","nHILIC_302.1148_6.5",-0.317589316194567,0.149790051900395,0.360223144898842,0.317554910028837
"Energy","pHILIC_146.0811_7.5",-0.196928142299857,0.379723858793493,0.593111956413882,0.582694295565071
"Energy","nRPLC_117.0557_0.6",0.313036064349484,0.156042464813346,0.366266341020215,0.32549426113953
"Energy","nHILIC_274.1407_12.3",-0.101309853553106,0.653716559030402,0.767887475681208,0.802871139343935
"Energy","nHILIC_235.0723_6.5",0.445080367856903,0.0379246875436729,0.149052841741412,0.126703254878283
"Energy","nRPLC_511.3039_10.3",0.667051395304719,0.000696716752714032,0.0188554772024944,0.00754593948495717
"Energy","nRPLC_230.9968_4.1",0.0364260147606672,0.872146205736281,0.8987360290819,0.946657000094507
"Energy","nRPLC_299.2228_9.3",-0.669328021227261,0.000657580951438986,0.0188554772024944,0.00723581398284894
"Energy","nRPLC_315.2541_9.4",0.527038901068404,0.0117248457369138,0.0600454221072252,0.0565228435228939
"Energy","nRPLC_327.2538_10.5",0.201481394144941,0.368578826022588,0.582147865400163,0.571367349374234
"Energy","pRPLC_359.3154_11",0.533868778836029,0.0104944647113923,0.0572117592330741,0.0530168755893631
"Energy","nRPLC_355.2852_11",0.392717971638444,0.0706186480348307,0.221010213294192,0.191328260873557
"Energy","nRPLC_351.254_10.3",-0.275471736627546,0.21466645201025,0.430739461284397,0.402252596371509
"Energy","nRPLC_385.332_10.8",0.108139731320731,0.631923165790146,0.757411454032161,0.790301004744811
"Energy","nRPLC_377.2696_10.5",-0.0626072128698968,0.781945943387033,0.836385217926636,0.889382833640337
"Energy","nRPLC_375.254_10.2",0.171885257151899,0.44434746339579,0.605602591241036,0.636905141564425
"Energy","nRPLC_409.3322_11.2",0.201481394144941,0.368578826022588,0.582147865400163,0.571367349374234
"Energy","nRPLC_441.3947_11.3",0.489474573346466,0.0207728057390337,0.0948811937809917,0.0834733158387281
"Energy","nRPLC_439.3792_11.1",0.237907408905608,0.286355257493883,0.514830196983683,0.486602929495865
"Energy","pHILIC_280.1384_8",0.640870197195489,0.00131066084030629,0.0215643282599201,0.0117867360909874
"Energy","pHILIC_212.1026_7.4",0.195789829338586,0.382539664195936,0.593111956413882,0.584811021027991
"Energy","nHILIC_160.0615_7.2",0.108139731320731,0.631923165790146,0.757411454032161,0.790301004744811
"Energy","pHILIC_130.0863_6.6",0.0956182887467515,0.672089191828804,0.767887475681208,0.81747730733441
"Energy","pRPLC_153.0658_1.2",-0.480368069656299,0.0236482954953953,0.102475947146713,0.0919348015417778
"Energy","pHILIC_282.119_6.7",0.413207604941319,0.0559519058391747,0.185409256604324,0.164261298132248
"Energy","pRPLC_312.1305_2.8",0.210587897835107,0.346860611289946,0.569120808815542,0.549201077483479
"Energy","nRPLC_411.127_3.6",0.219694401525274,0.325912804321367,0.550792639303111,0.527979921921955
"Energy","pRPLC_310.3104_11.1",0.377919903141923,0.0828981277716109,0.24448119534177,0.212817005001524
"Energy","nHILIC_287.052_8.1",0.333525697652359,0.129297653489592,0.326138857309568,0.288376265514512
"Energy","nHILIC_88.988_11",0.142289120158856,0.527605895445689,0.678921895178115,0.708616884916335
"Energy","nRPLC_283.0822_2.4",-0.423452421592757,0.0495587168592788,0.173275979540331,0.152228198528313
"Energy","nRPLC_187.007_2.3",-0.753563180361304,5.14228077095803e-05,0.00289681816763969,0.00111794681712308
"Energy","nRPLC_312.2546_10.4",0.300514621775505,0.174172335973582,0.382274347786174,0.348929012148374
"Energy","pRPLC_181.0718_3.1",0.524762275145862,0.0121602504881645,0.0604435980147002,0.0578128257019585
"Energy","pHILIC_732.5525_5.1",0.219694401525274,0.325912804321367,0.550792639303111,0.527979921921955
"Energy","pHILIC_746.5694_5.1",0.188959951570961,0.399680784466227,0.604421241023534,0.598152178189474
"Energy","pHILIC_740.522_4.4",-0.376781590180652,0.0839047889338617,0.24448119534177,0.214418029809016
"Energy","pHILIC_758.5668_5.1",0.178715134919524,0.426174065293986,0.604421241023534,0.620934082630231
"Energy","pHILIC_754.5367_5.1",0.143427433120127,0.524273970954395,0.678921895178115,0.705835255950475
"Energy","pHILIC_772.5828_5.1",0.254982103324671,0.252119634022697,0.484184297157226,0.446821440827325
"Energy","pHILIC_768.5548_4.4",0.309621125465672,0.160850048202122,0.372287834516504,0.33166065417735
"Energy","pHILIC_786.5972_5.1",0.178715134919524,0.426174065293986,0.604421241023534,0.620934082630231
"Energy","pHILIC_782.5665_5.1",0.0819585332115013,0.716910302026944,0.786739227549048,0.84647582062422
"Energy","pHILIC_778.5358_5.1",0.173023570113169,0.441290564140057,0.605602591241036,0.634656323539257
"Energy","pHILIC_792.5536_4.5",0.0500857702959175,0.82482102493858,0.865805920587702,0.918553017577379
"Energy","pHILIC_810.597_4.8",-0.177576821958253,0.429174845697184,0.604421241023534,0.624146629795369
"Energy","pHILIC_806.567_4.8",-0.173023570113169,0.441290564140057,0.605602591241036,0.634656323539257
"Energy","pHILIC_834.5972_4.7",-0.137735868313773,0.541032351562647,0.68234677174692,0.718568619950567
"Energy","pHILIC_742.5724_5.1",0.384749780909548,0.0770466735922183,0.236743415219725,0.202199547426164
"Energy","pHILIC_738.5403_4.4",-0.305067873620588,0.167419381202688,0.372287834516504,0.341355656142154
"Energy","pHILIC_764.5577_5",0.211726210796378,0.344199829342317,0.569120808815542,0.546146655698694
"Energy","pHILIC_790.5707_2",-0.34718545318761,0.113400616326501,0.304201653320296,0.263688816312686
"Energy","pHILIC_816.5884_5",0.16050212753919,0.475521239743224,0.632780232414212,0.664468602867404
"Energy","pHILIC_850.6644_5",0.341493888381255,0.119841795956085,0.310245852347998,0.274252163101342
"Energy","nHILIC_716.5258_4.7",0.766084622935283,3.23159941997187e-05,0.00289681816763969,0.000799597679687515
"Energy","pHILIC_716.5208_3.9",0.571433106557967,0.00546799889082791,0.0355419927903814,0.0327823735375809
"Energy","nHILIC_742.5417_4.6",0.622657189815156,0.001968611537214,0.0215820747694414,0.015687592116393
"Energy","nHILIC_740.525_4.5",0.465570001159778,0.0289918837900111,0.119503130744192,0.105646990686383
"Energy","nHILIC_738.511_4.5",0.0591922739860843,0.793584113899948,0.843495064459693,0.896246741672152
"Energy","pHILIC_738.5049_3.9",-0.0944799757854807,0.675785919057206,0.767887475681208,0.81985838778212
"Energy","pHILIC_764.5217_4.2",0.0944799757854807,0.675785919057206,0.767887475681208,0.81985838778212
"Energy","nHILIC_700.5312_4.5",0.422314108631486,0.0502397810501552,0.173275979540331,0.153008404918817
"Energy","pHILIC_728.5563_4.5",0.36084520872286,0.0989737010335911,0.272911845819046,0.240571896922083
"Energy","nHILIC_724.5298_4.4",0.242460660750691,0.276955836162351,0.514346552872938,0.475593064514221
"Energy","pHILIC_724.5254_4.4",0.591922739860843,0.00370722232173234,0.0284782078351257,0.0244878984776966
"Energy","pHILIC_722.5093_4.2",0.084235159134043,0.709372658074087,0.78355541970275,0.841904186878177
"Energy","pHILIC_752.5554_4.3",0.163917066423003,0.466054773271287,0.63010605346278,0.656773537474971
"Energy","pHILIC_750.5399_3.1",0.578262984325592,0.0048169050845213,0.032562278371364,0.0297757203878932
"Energy","nHILIC_746.5159_4.2",0.514517458494425,0.0142860965849102,0.0689814377957094,0.0651198814814457
"Energy","pHILIC_776.5554_3",0.544113595487467,0.00884892458619068,0.0515678708643526,0.0471570467852224
"Energy","nHILIC_777.5678_4.3",0.634040319427864,0.00153119490602983,0.0215643282599201,0.0130867488294935
"Energy","nRPLC_172.9914_0.9",0.423452421592757,0.0495587168592788,0.173275979540331,0.152228198528313
"Energy","pRPLC_313.1548_3.5",-0.0910650369016681,0.686919168413006,0.767887475681208,0.826425116383519
"Energy","nRPLC_163.0765_7.4",-0.340355575419985,0.121161102100401,0.310245852347998,0.27621277462797
"Energy","nRPLC_165.0556_2.3",0.0717137165600636,0.75113640596986,0.813731106467348,0.868792457163227
"Energy","nHILIC_835.537_5.2",0.620380563892614,0.00206770416733304,0.0215820747694414,0.0161047184580888
"Energy","nHILIC_833.5227_5.2",0.578262984325592,0.0048169050845213,0.032562278371364,0.0297757203878932
"Energy","nHILIC_969.5442_9.2",0.605582495396093,0.00282013843591265,0.0238301697834619,0.0203709515890884
"Energy","nRPLC_495.2962_9.1",-0.0990332276305641,0.661043118197828,0.767887475681208,0.808653811758802
"Energy","nRPLC_397.2054_9.6",-0.13432092942996,0.551204361282233,0.690026200419981,0.727762008255448
"Energy","nRPLC_395.1897_10",0.0899267239403972,0.690644356825702,0.767887475681208,0.828458752388887
"Energy","pHILIC_219.0795_5",-0.627210441660239,0.00178242636121373,0.0215820747694414,0.0145934121731182
"Energy","pHILIC_229.1181_10.9",0.239045721866879,0.283986994707375,0.514830196983683,0.483679694161241
"Energy","pRPLC_676.417_10.7",0.45418687154707,0.0337205681815462,0.135685143397174,0.117067879535701
"Energy","pRPLC_706.4648_11.2",0.644285136079302,0.00121092613820282,0.0215643282599201,0.011193256367268
"Energy","pRPLC_704.4472_10.9",0.595337678744655,0.00346609995911762,0.0278938520519465,0.0233955217285731
"Energy","pRPLC_730.4663_11.3",0.220832714486545,0.323348890072396,0.550792639303111,0.526014531125763
"Energy","nHILIC_243.0621_5.8",0.220832714486545,0.323348890072396,0.550792639303111,0.526014531125763
"Energy","pRPLC_647.5116_11.7",0.562326602867801,0.0064484788085658,0.0403627006906526,0.037167969554906
"Energy","pRPLC_675.5429_12.6",0.531592152913487,0.0108922348724792,0.0575246154202808,0.0542310993623103
"Energy","pHILIC_703.5724_5.7",0.624933815737697,0.00187356340958837,0.0215820747694414,0.0151184751889036
"Energy","pHILIC_731.6033_5.7",0.755839806283845,4.73538537525544e-05,0.00289681816763969,0.00104987244569711
"Energy","pHILIC_785.6497_5.6",0.636316945350406,0.00145443095206245,0.0215643282599201,0.0126972105629857
"Energy","pHILIC_813.6806_5.6",0.662498143459635,0.000780996097144737,0.0188554772024944,0.00817217528285683
"Energy","nHILIC_214.0488_7.2",0.223109340409087,0.31825757333781,0.550792639303111,0.520568496053097
"Energy","pRPLC_382.2719_9.6",0.582816236170676,0.00441981410226441,0.0324760253601167,0.0278594475115993
"Energy","nRPLC_455.2472_11",-0.202619707106212,0.365822229690246,0.582147865400163,0.568767524967112
"Energy","nRPLC_514.2838_9.6",0.259535355169754,0.243455778161414,0.478418912898592,0.437351264539066
"Energy","nRPLC_498.2892_10.3",0.0694370906375219,0.758806515299479,0.816804465513451,0.874614587252275
"Energy","nRPLC_539.2494_7",0.117246235010898,0.603320799709465,0.733533921948917,0.770451155260575
"Energy","nRPLC_365.2333_9.7",0.36084520872286,0.0989737010335911,0.272911845819046,0.240571896922083
"Energy","nHILIC_135.0299_7.9",0.328972445807276,0.134934953143011,0.335353045311307,0.29688341324047
"Energy","pHILIC_247.1437_5.3",0.274333423666275,0.21664410774659,0.430739461284397,0.404519756740923
"Energy","nHILIC_111.0199_3.4",-0.284578240317713,0.199277333845838,0.415776165678354,0.383196023885181
"percent_carb_cal","pHILIC_298.1139_4.7",0.117246235010898,0.603320799709465,0.80284421378661,0.770451155260575
"percent_carb_cal","pHILIC_170.0923_8.5",0.136597555352502,0.544413383602764,0.773158502763589,0.721774818965358
"percent_carb_cal","nHILIC_181.0367_6.8",0.410930979018777,0.0574549242732714,0.142591779895279,0.166760776641507
"percent_carb_cal","nHILIC_204.9811_1.1",-0.314174377310755,0.154462526249164,0.314508035374805,0.323933703491867
"percent_carb_cal","nHILIC_481.244_5.2",0.505410954804258,0.016420611262101,0.0688558297508163,0.0716761282040151
"percent_carb_cal","nRPLC_383.1535_7.6",-0.410930979018777,0.0574549242732714,0.142591779895279,0.166760776641507
"percent_carb_cal","pHILIC_104.0705_8.1",-0.142289120158856,0.527605895445689,0.762097404532661,0.708616884916335
"percent_carb_cal","nHILIC_188.0023_1.6",-0.88219254498491,5.66676115182833e-08,3.19227544886329e-06,8.90476835735551e-06
"percent_carb_cal","nRPLC_151.04_2.3",0.832106774688992,1.57491853377764e-06,3.54180029347683e-05,9.16009435522491e-05
"percent_carb_cal","pRPLC_100.0756_1.2",-0.0910650369016681,0.686919168413006,0.829209567584271,0.826425116383519
"percent_carb_cal","nHILIC_133.0506_2.3",0.0580539610248134,0.79747307893346,0.890993225825231,0.89927815283986
"percent_carb_cal","nRPLC_149.0607_4.6",-0.889022422752535,3.21150646295927e-08,2.71372296120059e-06,5.8705027323931e-06
"percent_carb_cal","nHILIC_179.0348_2.2",-0.323280881000922,0.142225171138813,0.300450674030742,0.307410921305586
"percent_carb_cal","nRPLC_203.002_1.9",-0.432558925282923,0.0443640132817286,0.124354178183442,0.141060868641975
"percent_carb_cal","nHILIC_197.0679_1.4",-0.399547849406069,0.0654391181275588,0.153600152271631,0.181186454735253
"percent_carb_cal","nHILIC_128.0352_7.6",-0.137735868313773,0.541032351562647,0.773158502763589,0.718568619950567
"percent_carb_cal","nRPLC_371.1881_9.5",-0.298237995852963,0.177618208771311,0.348409203403392,0.354089983522064
"percent_carb_cal","nRPLC_467.2636_8.4",0.638593571272948,0.0013809578992712,0.0116690942488416,0.0121984614435622
"percent_carb_cal","nRPLC_429.3008_10.3",-0.165055379384273,0.462920897288474,0.704807492268037,0.654519728020974
"percent_carb_cal","pHILIC_269.1239_8.3",0.178715134919524,0.426174065293986,0.660765293896181,0.620934082630231
"percent_carb_cal","pHILIC_203.1388_8.9",-0.061468899908626,0.785820460569941,0.8853577189088,0.892090477227498
"percent_carb_cal","pHILIC_178.0532_7.5",0.463293375237236,0.0298927982273505,0.105247560425463,0.10787662921933
"percent_carb_cal","pRPLC_265.1184_2.6",0.219694401525274,0.325912804321367,0.539992783630501,0.527979921921955
