"data_set1","data_set2","cor","p","p_adjust","Mass","Metabolite","KEGG","HMDB","CAS","ChEBI","ppm","Mode","med","Ions","MSMS","Used.for.Quant","Super.pathway","Sub.pathway","true_name","mean_int"
"Mn","pHILIC_104.0705_8.1",-0.981225772615474,9.08720794339311e-16,1.53573814243344e-13,"104.0705_8.1","2-Aminobutyrate","C02261","HMDB00650",NA,NA,"-1.053110896","pHILIC",2e+05,"[M+H]+","YES","Y","Amino Acid","Glutathione Metabolism","2-Aminobutyrate",184792.635611111
"Sugar","nHILIC_194.0458_4.6",0.980087459654203,1.62943599981626e-15,2.75374683968947e-13,"194.0458_4.6","Hydroxyhippurate",NA,NA,NA,NA,"-0.398768376","nHILIC",70000,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","Hydroxyhippurate",1233088.00717227
"VitD_IU","nHILIC_121.0505_3.5",-0.974395894847849,1.96632905947969e-14,3.32309611052067e-12,"121.0505_3.5","Erythritol|D-Threitol","C00503|C16884","HMDB02994|HMDB04136","149-32-6|2418-52-2","HMDB","-1.05530348","nHILIC",1e+05,"[M-H]-","YES","Y","Xenobiotics","Food Component/Plant","Erythritol|D-Threitol",153641.057403062
"TotSolFib","nRPLC_429.3008_10.3",0.967566017080223,2.03365659121237e-13,3.4368796391489e-11,"429.3008_10.3","7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)","C17337","HMDB12458",NA,NA,"-0.534110352","nRPLC",4e+05,"[M-H]-","YES","Y","Lipid","Sterol","7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)",413741.692823932
"Sugar","pHILIC_583.2539_5.3",0.961874452273869,1.00039234350721e-12,8.45331530263589e-11,"583.2539_5.3","Biliverdin","C00500","HMDB01008",NA,NA,"-2.086469819","pHILIC",1e+06,"[M+H]+","YES","Y","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism","Biliverdin",1195287.18205169
"Biot","nRPLC_149.0607_4.6",0.96301276523514,7.4230631575458e-13,1.25449767362524e-10,"149.0607_4.6","3-Phenylpropionate (hydrocinnamate)","C05629","HMDB00764",NA,NA,"-0.66345932","nRPLC",70000,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","3-Phenylpropionate (hydrocinnamate)",89773.7479554638
"Caff","nHILIC_217.0651_5",-0.95860725990287,2.24567620895849e-12,3.79519279313985e-10,"217.0651_5","Cys-Pro or Pro-Cys",NA,NA,NA,NA,"-0.609953447563239|-0.609953447563239|3.47380534854027","nHILIC",2e+06,"[M-H]-","YES","Y","Peptide","Dipeptide","Cys-Pro or Pro-Cys",1815250.46724771
"VitE_a_Toco","nRPLC_495.2962_9.1",-0.958459513390057,2.32570155321272e-12,3.9304356249295e-10,"495.2962_9.1","Pregnanediol-3-glucuronide","C03033","HMDB10318",NA,"HMDB","-0.278829397","nRPLC",50000,"[M-H]-","YES","Y","Lipid","Progestin Steroids","Pregnanediol-3-glucuronide",91095.2326315556
"VitB2","pHILIC_269.1239_8.3",-0.956182887467515,3.92786479130859e-12,6.63809149731152e-10,"269.1239_8.3","Acetylcarnosine",NA,"HMDB12881","56353-15-2","HMDB","-1.995474954","pHILIC",2e+05,"[M+H]+","YES","Y","Amino Acid","Histidine Metabolism","Acetylcarnosine",264298.064385321
"Caff","pRPLC_359.3154_11",0.952897865859375,7.98314408590302e-12,6.74575675258806e-10,"359.3154_11","MG(18:0)",NA,"HMDB11131",NA,"HMDB","-0.529800999","pRPLC",2e+06,"[M+H]+","YES","Y","Lipid","Monoacylglycerol","MG(18:0)",2802861.76869317
"VitD_IU","pHILIC_764.5577_5",-0.947076383777348,2.49860053837636e-11,2.11131745492802e-09,"764.5577_5","PC(P-36:5)",NA,NA,NA,NA,"-1.532795961","pHILIC",1e+05,"[M-H]-","YES","Y",NA,NA,"PC(P-36:5)",216697.931495116
"VitE_a_Toco","pHILIC_178.0532_7.5",-0.944799757854807,3.77113502195245e-11,3.18660909354982e-09,"178.0532_7.5","Alliin","C08265","HMDB33592",NA,NA,"-0.248031697","pHILIC",60000,"[M+H]+","YES","Y","Xenobiotics","Food Component/Plant","Alliin",115227.594807238
"Biot","nHILIC_235.0723_6.5",0.942523131932265,5.59563881725465e-11,4.72831480058018e-09,"235.0723_6.5","L-Formylkynurenine","C02700","HMDB60485",NA,"HMDB","-0.537454362","nHILIC",90000,"[M-H]-","YES","Y","Amino Acid","Tryptophan Metabolism","L-Formylkynurenine",140995.630104424
"Sugar","pHILIC_309.1649_15.6",-0.931140002319556,3.24944941187212e-10,1.83052316868796e-08,"309.1649_15.6","Fructoselysine","C16488",NA,NA,NA,"-2.372591014","pHILIC",3e+05,"[M+H]+","YES","Y","Carbohydrate","Pentose Metabolism","Fructoselysine",352298.913520897
"VitB2","pRPLC_730.4663_11.3",0.932278315280827,2.7637565795364e-10,2.33537430970826e-08,"730.4663_11.3","PS(32:3)",NA,NA,NA,NA,"1.283261944","pRPLC",50000,"[M+H]+","YES","Y",NA,NA,"PS(32:3)",88801.3255105558
"Sugar","nRPLC_351.254_10.3",0.924310124551931,8.12832303545568e-10,3.43421648248003e-08,"351.254_10.3","MG(18:3)",NA,"HMDB11539",NA,"HMDB","-0.226082185","nRPLC",60000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(18:3)",65304.7963167176
"VitK","nHILIC_740.525_4.5",-0.933416628242098,2.34402142244776e-10,3.96139620393671e-08,"740.525_4.5","PE(36:3)",NA,NA,NA,NA,"1.921797659","nHILIC",2e+05,"[M-H]-","YES","Y",NA,NA,"PE(36:3)",237778.71058104
"VitE_a_Toco","nHILIC_224.0617_4.8",-0.92317181159066,9.39159267348953e-10,5.29059720606577e-08,"224.0617_4.8","Androstenediol (3beta,17beta) disulfate","C04295","HMDB03818",NA,NA,"4.106181136","nHILIC",2e+06,"[M-H]2-","YES","Y","Lipid","Androgenic Steroids","Androstenediol (3beta,17beta) disulfate",2293139.04003664
"Biot","nRPLC_151.04_2.3",-0.915203620861764,2.4358429601233e-09,1.02914365065209e-07,"151.04_2.3","2-Hydroxyphenylacetate","C05852","HMDB00669",NA,NA,"-0.421724085","nRPLC",20000,"[M-H]-","YES","Y","Amino Acid","Tyrosine Metabolism","2-Hydroxyphenylacetate",89043.6564576962
"Biot","nRPLC_153.0193_2.1",0.915203620861764,2.43584296012326e-09,1.02914365065209e-07,"153.0193_2.1","Gentisic acid","C00628","HMDB00152","490-79-9","HMDB","-0.186201628","nRPLC",50000,"[M-H]-","YES","Y","Amino Acid","Tyrosine Metabolism","Gentisic acid",69429.248521998
"VitD_IU","nRPLC_411.127_3.6",-0.914065307900494,2.76989578101096e-09,1.06275005511609e-07,"411.127_3.6","N6-Carbamoyl-L-threonyladenosine",NA,"HMDB41623",NA,"HMDB","0.044534029","nRPLC",20000,"[M-H]-","YES","Y","Nucleotide","""Purine Metabolism, Adenine containing""","N6-Carbamoyl-L-threonyladenosine",19343.2457115189
"VitD_IU","pHILIC_732.5525_5.1",-0.914065307900494,2.76989578101096e-09,1.06275005511609e-07,"732.5525_5.1","PC(32:1)",NA,NA,NA,NA,"-1.756540765","pHILIC",3e+06,"[M+H]+","YES","Y",NA,NA,"PC(32:1)",4487452.58646876
"VitD_IU","pRPLC_313.1548_3.5",-0.912926994939223,3.14423093229612e-09,1.06275005511609e-07,"313.1548_3.5","Phenylalanylphenylalanine",NA,"HMDB13302","2577-40-4","HMDB","0.40840946","pRPLC",20000,"[M+H]+","YES","Y","Peptide","Dipeptide","Phenylalanylphenylalanine",24994.2125917431
"Fluor","nRPLC_327.2538_10.5",0.919756872706848,1.43000114422291e-09,1.20835096686836e-07,"327.2538_10.5","MG(16:1)",NA,"HMDB11534",NA,"HMDB","-0.851882898","nRPLC",20000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(16:1)",19787.7690314985
"Fluor","nRPLC_409.3322_11.2",0.919756872706848,1.43000114422291e-09,1.20835096686836e-07,"409.3322_11.2","MG(22:2)",NA,"HMDB11553",NA,"HMDB","-0.316713371","nRPLC",20000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(22:2)",23693.7044724771
"Mn","pHILIC_738.5403_4.4",-0.919756872706848,1.43000114422295e-09,1.2083509668684e-07,"738.5403_4.4","PC(P-34:4)",NA,NA,NA,NA,"-3.959555601","pHILIC",2e+05,"[M+H]+","YES","Y",NA,NA,"PC(P-34:4)",258031.155537207
"VitD_IU","pHILIC_203.1388_8.9",-0.907235430132868,5.78081997743247e-09,1.62826429364348e-07,"203.1388_8.9","Ala-Leu or Leu-Ala",NA,NA,NA,NA,"-1.100530981","pHILIC",60000,"[M+H]+","YES","Y","Peptide","Dipeptide","Ala-Leu or Leu-Ala",70483.9196656004
"TotSolFib","nRPLC_263.1289_6.8",-0.916341933823035,2.13821517552146e-09,1.80679182331564e-07,"263.1289_6.8","gamma-CEHC",NA,"HMDB01931",NA,NA,"0.079019845","nRPLC",10000,"[M-H]-","YES","Y","Cofactors and Vitamins","Tocopherol Metabolism","gamma-CEHC",50145.7769269185
"VitE_a_Toco","pHILIC_728.5563_4.5",0.90951205605541,4.55284469691844e-09,1.92357688444804e-07,"728.5563_4.5","PE(P-36:2)",NA,NA,NA,NA,"-3.532912463","pHILIC",8e+05,"[M+H]+","YES","Y",NA,NA,"PE(P-36:2)",919968.524424057
"VitB12","pHILIC_790.5707_2",0.915203620861764,2.43584296012326e-09,2.05828730130416e-07,"790.5707_2","PC(P-38:6)",NA,NA,NA,NA,"-4.838662612","pHILIC",1e+05,"[M+H]+","YES","Y",NA,NA,"PC(P-38:6)",36436730.7765017
"VitB12","pHILIC_752.5554_4.3",-0.917480246784306,1.87347692513666e-09,2.05828730130416e-07,"752.5554_4.3","PE(P-38:4)",NA,NA,NA,NA,"-4.617624484","pHILIC",4e+06,"[M+H]+","YES","Y",NA,NA,"PE(P-38:4)",4746778.25347605
"VitB1","nHILIC_87.045_4.2",-0.919756872706848,1.43000114422295e-09,2.41670193373679e-07,"87.045_4.2","Butyric acid|Isobutyric acid","C00246|C02632","HMDB00039|HMDB01873","107-92-6|79-31-2","HMDB","-1.697854956","nHILIC",1e+05,"[M-H]-","YES","Y","Energy","Butanoate metabolism","Butyric acid|Isobutyric acid",121290.778460754
"TransFat","nHILIC_87.045_4.2",0.917480246784306,1.87347692513668e-09,3.16617600348099e-07,"87.045_4.2","Butyric acid|Isobutyric acid","C00246|C02632","HMDB00039|HMDB01873","107-92-6|79-31-2","HMDB","-1.697854956","nHILIC",1e+05,"[M-H]-","YES","Y","Energy","Butanoate metabolism","Butyric acid|Isobutyric acid",121290.778460754
"VitE_a_Toco","nRPLC_351.254_10.3",-0.901543865326514,1.02343136548252e-08,3.45919801533093e-07,"351.254_10.3","MG(18:3)",NA,"HMDB11539",NA,"HMDB","-0.226082185","nRPLC",60000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(18:3)",65304.7963167176
"VitB2","pHILIC_179.0484_7.4",-0.901543865326514,1.02343136548252e-08,4.32399751916366e-07,"179.0484_7.4","Cys-Gly or Gly-Cys",NA,NA,NA,NA,"-0.52171094","pHILIC",1e+05,"[M+H]+","YES","Y","Peptide","Dipeptide","Cys-Gly or Gly-Cys",141483.331294597
"VitB2","nRPLC_415.3217_11.4",-0.902682178287785,9.15512414349157e-09,4.32399751916366e-07,"415.3217_11.4","Dihydroxyvitamin D3",NA,"HMDB00430",NA,"HMDB","-0.048038933","nRPLC",3e+05,"[M-H]-","YES","Y","Cofactors and Vitamins","Vitamin D Metabolism","Dihydroxyvitamin D3",352330.728501529
"TotFib","pRPLC_169.0971_1.6",-0.914065307900494,2.76989578101096e-09,4.68112386990852e-07,"169.0971_1.6","Cyclo(ala-pro)",NA,NA,NA,NA,"-0.47593602","pRPLC",40000,"[M+H]+","YES","Y","Peptide","Dipeptide","Cyclo(ala-pro)",44332.49660316
