"data_set1","data_set2","cor","p","p_adjust","Mass","Metabolite","KEGG","HMDB","CAS","ChEBI","ppm","Mode","med","Ions","MSMS","Used.for.Quant","Super.pathway","Sub.pathway","true_name","mean_int","class"
"Alcohol","pHILIC_724.5254_4.4",-0.515304145500859,9.53801262421086e-06,0.00161192413349164,"724.5254_4.4","PE(P-36:4)",NA,NA,NA,NA,"-2.99956413","pHILIC",3e+06,"[M+H]+","YES","Y",NA,NA,"PE(P-36:4)",3189886.13057085,"IR"
"Alcohol","pHILIC_752.5554_4.3",-0.490566777209711,2.89545268090999e-05,0.00244665751536895,"752.5554_4.3","PE(P-38:4)",NA,NA,NA,NA,"-4.617624484","pHILIC",4e+06,"[M+H]+","YES","Y",NA,NA,"PE(P-38:4)",4746778.25347605,"IR"
"Alcohol","pHILIC_158.1174_6.2",-0.460077771081224,0.000101656260102919,0.00310029842279043,"158.1174_6.2","Homostachydrine","C08283","HMDB33433",NA,NA,"-1.01030411","pHILIC",5e+05,"[M+H]+","YES","Y","Xenobiotics","Food Component/Plant","Homostachydrine",671625.393816514,"IR"
"Alcohol","nRPLC_299.2228_9.3",0.444686814275752,0.000183449610816002,0.00310029842279043,"299.2228_9.3","MG(14:1)",NA,"HMDB11531",NA,"HMDB","0.068240997","nRPLC",20000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(14:1)",23451.1679308869,"IR"
"Alcohol","pHILIC_738.5403_4.4",-0.445059605617061,0.00018090464566971,0.00310029842279043,"738.5403_4.4","PC(P-34:4)",NA,NA,NA,NA,"-3.959555601","pHILIC",2e+05,"[M+H]+","YES","Y",NA,NA,"PC(P-34:4)",258031.155537207,"IR"
"Alcohol","pHILIC_716.5208_3.9",-0.451610082042919,0.000141154773691171,0.00310029842279043,"716.5208_3.9","PE(34:2)",NA,NA,NA,NA,"-2.354757741","pHILIC",8e+05,"[M+H]+","YES","Y",NA,NA,"PE(34:2)",1036554.92362895,"IR"
"Alcohol","pHILIC_728.5563_4.5",-0.464125219929722,8.66287898524878e-05,0.00310029842279043,"728.5563_4.5","PE(P-36:2)",NA,NA,NA,NA,"-3.532912463","pHILIC",8e+05,"[M+H]+","YES","Y",NA,NA,"PE(P-36:2)",919968.524424057,"IR"
"Alcohol","pHILIC_731.6033_5.7",-0.455604274985516,0.000121035896728497,0.00310029842279043,"731.6033_5.7","SM(d18:1/18:0)","C00550","HMDB12088",NA,"HMDB","-3.907645158","pHILIC",3e+06,"[M+H]+","YES","Y",NA,NA,"SM(d18:1/18:0)",3312948.86080591,"IR"
"Alcohol","pHILIC_785.6497_5.6",-0.451530198184067,0.000141586815211875,0.00310029842279043,"785.6497_5.6","SM(d18:1/22:1)","C00550","HMDB12104",NA,"HMDB","-4.33968635","pHILIC",6e+06,"[M+H]+","YES","Y",NA,NA,"SM(d18:1/22:1)",7113340.70454638,"IR"
"Alcohol","pHILIC_813.6806_5.6",-0.444899837899357,0.000181991351206169,0.00310029842279043,"813.6806_5.6","SM(d18:1/24:1)","C00550","HMDB12107",NA,"HMDB","-4.682361173","pHILIC",8e+06,"[M+H]+","YES","Y",NA,NA,"SM(d18:1/24:1)",9151088.07254077,"IR"
"Alcohol","nHILIC_716.5258_4.7",-0.427884575963896,0.000338725670453157,0.00520405802787123,"716.5258_4.7","PE(34:1)",NA,NA,NA,NA,"3.101006855","nHILIC",60000,"[M-H]-","YES","Y",NA,NA,"PE(34:1)",91053.0190201835,"IR"
"Alcohol","nHILIC_740.525_4.5",-0.425035384998177,0.000374677039063955,0.00527670163348403,"740.525_4.5","PE(36:3)",NA,NA,NA,NA,"1.921797659","nHILIC",2e+05,"[M-H]-","YES","Y",NA,NA,"PE(36:3)",237778.71058104,"IR"
"Alcohol","pHILIC_768.5548_4.4",-0.416567695959872,0.000503042191403534,0.00653954848824594,"768.5548_4.4","PC(35:4)",NA,NA,NA,NA,"1.322408025","pHILIC",2e+06,"[M+H]+","YES","Y",NA,NA,"PC(35:4)",2871776.32608563,"IR"
"Alcohol","nHILIC_131.0349_5.1",0.413771760900054,0.000553505084564817,0.00668159709224672,"131.0349_5.1","Ethylmalonate",NA,"HMDB00622",NA,NA,"-0.596354892","nHILIC",2e+05,"[M-H]-","YES","Y","Amino Acid","""Leucine, Isoleucine and Valine Metabolism""","Ethylmalonate",219116.61201105,"IR"
"Alcohol","pHILIC_703.5724_5.7",-0.396836382823445,0.000970656643966179,0.0109360648553523,"703.5724_5.7","SM(d18:1/16:0)","C00550","HMDB13464",NA,"HMDB","-3.494027714","pHILIC",1e+07,"[M+H]+","YES","Y",NA,NA,"SM(d18:1/16:0)",15280610.1709847,"IR"
