"data_set1","data_set2","cor","p","p_adjust","level"
"TotSolFib","phylum_unclassified_Bacteria",0.690352778152223,0.00307406533190904,0.0491850453105446,"phylum"
"TotSolFib","class_unclassified_Bacteria",0.690352778152223,0.00307406533190904,0.0491850453105446,"class"
"TotSolFib","order_unclassified_Bacteria",0.690352778152223,0.00307406533190904,0.0491850453105446,"order"
"TotSolFib","family_Peptostreptococcaceae",0.653635849529599,0.00602977996905907,0.0578858877029671,"family"
"TotSolFib","family_Streptococcaceae",0.670407961101993,0.00448191191898003,0.0578858877029671,"family"
"TotSolFib","family_unclassified_Bacteria",0.690352778152223,0.00307406533190904,0.0491850453105446,"family"
"TotSolFib","genus_Clostridium.XI",0.653635849529599,0.00602977996905907,0.0578858877029671,"genus"
"TotSolFib","genus_Erysipelotrichaceae_incertae_sedis",0.633175024446027,0.00846554112157589,0.073881086151935,"genus"
"TotSolFib","genus_Streptococcus",0.663549781999458,0.00507076169304782,0.0578858877029671,"genus"
"TotSolFib","genus_Veillonella",0.795865676352351,0.000226460675318818,0.0217402248306065,"genus"
"TotSolFib","genus_unclassified_Bacteria",0.690352778152223,0.00307406533190904,0.0491850453105446,"genus"
"MonSac","family_Rikenellaceae",0.701066242074576,0.002480554153156,0.059533299675744,"family"
"MonSac","family_unclassified_Clostridiales",0.706209731044765,0.00223062755090947,0.059533299675744,"family"
"MonSac","genus_Alistipes",0.701066242074576,0.002480554153156,0.059533299675744,"genus"
"MonSac","genus_unclassified_Clostridiales",0.706209731044765,0.00223062755090947,0.059533299675744,"genus"
"Disacc","family_Rikenellaceae",0.692437989896746,0.00295038357456435,0.141618411579089,"family"
"Disacc","genus_Alistipes",0.692437989896746,0.00295038357456435,0.141618411579089,"genus"
"TransFat","family_Peptostreptococcaceae",0.791032542576497,0.000263104427594536,0.0126290125245377,"family"
"TransFat","family_Streptococcaceae",0.667374097819289,0.00473523258037119,0.0909164655431269,"family"
"TransFat","genus_Clostridium.XI",0.791032542576497,0.000263104427594536,0.0126290125245377,"genus"
"TransFat","genus_Erysipelotrichaceae_incertae_sedis",0.760541379787676,0.000625217893332918,0.0200069725866534,"genus"
"TransFat","genus_Streptococcus",0.670049371791803,0.0045112739490946,0.0909164655431269,"genus"
"TransFat","genus_Veillonella",0.652034367248138,0.00619741922387774,0.0991587075820439,"genus"
"Water","phylum_Verrucomicrobia",0.749018889417529,0.000840144997453114,0.0190517525809142,"phylum"
"Water","class_Deltaproteobacteria",0.605967399036424,0.0128442758502402,0.0948500370479277,"class"
"Water","class_Verrucomicrobiae",0.7422540045439,0.000992278780255945,0.0190517525809142,"class"
"Water","order_Desulfovibrionales",0.605967399036424,0.0128442758502402,0.0948500370479277,"order"
"Water","order_Verrucomicrobiales",0.7422540045439,0.000992278780255945,0.0190517525809142,"order"
"Water","family_Clostridiales_Incertae.Sedis.XIII",0.613085948488953,0.0115575969874473,0.0948500370479277,"family"
"Water","family_Desulfovibrionaceae",0.605967399036424,0.0128442758502402,0.0948500370479277,"family"
"Water","family_Verrucomicrobiaceae",0.7422540045439,0.000992278780255945,0.0190517525809142,"family"
"Water","family_unclassified_Clostridiales",0.69087111023725,0.0030429374742614,0.0417317139327278,"family"
"Water","genus_Akkermansia",0.7422540045439,0.000992278780255945,0.0190517525809142,"genus"
"Water","genus_Anaerovorax",0.613947748112338,0.0114089735155472,0.0948500370479277,"genus"
"Water","genus_unclassified_Clostridiales",0.69087111023725,0.0030429374742614,0.0417317139327278,"genus"
"Water","genus_unclassified_Ruminococcaceae",0.63491522166642,0.00823219013293353,0.0948500370479277,"genus"
"VitA_IU","family_unclassified_Clostridiales",0.740251905607844,0.0010413906115506,0.049986749354429,"family"
"VitA_IU","genus_unclassified_Clostridiales",0.740251905607844,0.0010413906115506,0.049986749354429,"genus"
"Caroten","family_Rikenellaceae",0.65095217560886,0.00631278851454485,0.151506924349076,"family"
"Caroten","family_unclassified_Clostridiales",0.752046218144079,0.000778560186043335,0.0373708889300801,"family"
"Caroten","genus_Alistipes",0.65095217560886,0.00631278851454485,0.151506924349076,"genus"
"Caroten","genus_unclassified_Clostridiales",0.752046218144079,0.000778560186043335,0.0373708889300801,"genus"
"Caroten","genus_unclassified_Clostridiales_Incertae.Sedis.XIII",0.622896085752343,0.00995286092574297,0.191094929774265,"genus"
"BetaCaro","class_Gammaproteobacteria",0.682826233147205,0.00355576110206913,0.113784355266212,"class"
"BetaCaro","order_Enterobacteriales",0.687081563085732,0.003276494199518,0.113784355266212,"order"
"BetaCaro","family_Enterobacteriaceae",0.687081563085732,0.003276494199518,0.113784355266212,"family"
"VitB1","genus_Holdemania",0.815511374883073,0.000117934765291389,0.0113217374679734,"genus"
"VitD_IU","phylum_Actinobacteria",-0.654737013114717,0.00591662617959967,0.149553656098386,"phylum"
"VitD_IU","class_Actinobacteria",-0.654737013114717,0.00591662617959967,0.149553656098386,"class"
"VitD_IU","class_unclassified_Firmicutes",-0.582199855489571,0.0179701639889386,0.156830522085282,"class"
"VitD_IU","order_Coriobacteriales",-0.648768433583919,0.00655080068159616,0.149553656098386,"order"
"VitD_IU","order_unclassified_Firmicutes",-0.582199855489571,0.0179701639889386,0.156830522085282,"order"
"VitD_IU","family_Coriobacteriaceae",-0.648768433583919,0.00655080068159616,0.149553656098386,"family"
"VitD_IU","family_unclassified_Firmicutes",-0.582199855489571,0.0179701639889386,0.156830522085282,"family"
"VitD_IU","genus_Butyricicoccus",-0.562305260584218,0.0233745078447149,0.186996062757719,"genus"
"VitD_IU","genus_Clostridium.IV",0.611825402682418,0.0117777232031307,0.156830522085282,"genus"
"VitD_IU","genus_Collinsella",-0.638328881546622,0.00778925292179091,0.149553656098386,"genus"
"VitD_IU","genus_unclassified_Erysipelotrichaceae",-0.621723318177441,0.0101348676717264,0.156830522085282,"genus"
"VitD_IU","genus_unclassified_Firmicutes",-0.582199855489571,0.0179701639889386,0.156830522085282,"genus"
"VitD_mcg","phylum_Actinobacteria",-0.652470819830451,0.00615136865967139,0.153563253830427,"phylum"
"VitD_mcg","class_Actinobacteria",-0.652470819830451,0.00615136865967139,0.153563253830427,"class"
"VitD_mcg","class_unclassified_Firmicutes",-0.576491240127191,0.0194097751923863,0.169394401679008,"class"
"VitD_mcg","order_Coriobacteriales",-0.646443779409833,0.00681196684539258,0.153563253830427,"order"
"VitD_mcg","order_unclassified_Firmicutes",-0.576491240127191,0.0194097751923863,0.169394401679008,"order"
