"data_set1","data_set2","cor","p","p_adjust","level"
"SolFib","genus_unclassified_Erysipelotrichaceae",0.715113284196056,0.0018464247827937,0.177256779148195,"genus"
"VitA_IU","class_Erysipelotrichia",0.667864453614956,0.00469352991922944,0.112644718061507,"class"
"VitA_IU","order_Erysipelotrichales",0.667864453614956,0.00469352991922944,0.112644718061507,"order"
"VitA_IU","family_Acidaminococcaceae",-0.725060810411845,0.00148263811295989,0.112644718061507,"family"
"VitA_IU","family_Erysipelotrichaceae",0.667864453614956,0.00469352991922944,0.112644718061507,"family"
"Caroten","class_Erysipelotrichia",0.663956511733718,0.00503419847176422,0.120820763322341,"class"
"Caroten","order_Erysipelotrichales",0.663956511733718,0.00503419847176422,0.120820763322341,"order"
"Caroten","family_Acidaminococcaceae",-0.721439936766254,0.00160758941799172,0.120820763322341,"family"
"Caroten","family_Erysipelotrichaceae",0.663956511733718,0.00503419847176422,0.120820763322341,"family"
"VitB3","family_Ruminococcaceae",-0.843241165093934,4.07754915993406e-05,0.0039144471935367,"family"
"VitB3","genus_Faecalibacterium",-0.71176597201715,0.00198398968316352,0.0952315047918488,"genus"
"VitB_NE","family_Ruminococcaceae",-0.807596429618474,0.000154735980633037,0.0148546541407715,"family"
"VitB6","family_Ruminococcaceae",-0.711863343578719,0.00197987383523018,0.153958833931065,"family"
"VitB6","genus_Faecalibacterium",-0.688178106158593,0.00320747570689718,0.153958833931065,"genus"
"Biot","family_Acidaminococcaceae",-0.754761879486355,0.000726514638531646,0.069745405299038,"family"
"Biot","family_Clostridiaceae.1",-0.694027058412094,0.00285885384095774,0.0914833229106476,"family"
"Biot","genus_Clostridium.sensu.stricto",-0.719496611992718,0.00167810483949532,0.0805490322957752,"genus"
"Biot","genus_Pseudoflavonifractor",-0.674723181785594,0.00414043846087024,0.0993705230608857,"genus"
"Ca","family_Veillonellaceae",0.725091809182091,0.00148160363152792,0.14223394862668,"family"
"Iodine","family_Ruminococcaceae",-0.712622078948243,0.00194803933632846,0.0623372587625107,"family"
"Iodine","genus_Anaerovorax",-0.728758856200096,0.00136330904178298,0.0623372587625107,"genus"
"Iodine","genus_Clostridium.IV",-0.747528978132275,0.00087188848606819,0.0623372587625107,"genus"
"Iodine","genus_Pseudoflavonifractor",-0.668475317393856,0.0046419907721906,0.111407778532574,"genus"
