"data_set1","data_set2","cor","p","p_adjust","level"
"TotFib","phylum_Actinobacteria",-0.974984876768506,0.000187549329858143,0.00473662950905257,"phylum"
"TotFib","class_Actinobacteria",-0.974984876768506,0.000187549329858143,0.00473662950905257,"class"
"TotFib","order_Coriobacteriales",-0.974466616972721,0.00019735956287719,0.00473662950905257,"order"
"TotFib","family_Coriobacteriaceae",-0.974466616972721,0.00019735956287719,0.00473662950905257,"family"
"TotFib","family_Rikenellaceae",-0.79637197674446,0.0320959189788488,0.192575513873093,"family"
"TotFib","genus_Alistipes",-0.79637197674446,0.0320959189788488,0.192575513873093,"genus"
"TotFib","genus_Anaerotruncus",-0.924733188135499,0.00286564641265857,0.0391067634198221,"genus"
"TotFib","genus_Butyricimonas",-0.803234437449392,0.0295761690975834,0.192575513873093,"genus"
"TotFib","genus_Collinsella",-0.851618122225257,0.0150134553627764,0.110868593448195,"genus"
"TotFib","genus_Coprococcus",0.884066235330389,0.00825008549121432,0.0792008207156575,"genus"
"TotFib","genus_Faecalibacterium",-0.860345292569347,0.0129658971050675,0.106965300457497,"genus"
"TotFib","genus_Flavonifractor",-0.9206897709239,0.00325889695165184,0.0391067634198221,"genus"
"TotFib","genus_Holdemania",-0.920704580047863,0.00325740243914308,0.0391067634198221,"genus"
"TotFib","genus_Phascolarctobacterium",-0.884900678521028,0.00810620535168392,0.0792008207156575,"genus"
"TotFib","genus_Pseudoflavonifractor",-0.858560683302742,0.0133706625571871,0.106965300457497,"genus"
"TotFib","genus_unclassified_Coriobacteriaceae",-0.937394750089943,0.00182077963621208,0.0349589690152719,"genus"
"SugAdd","phylum_Bacteroidetes",0.833122400092114,0.0199285861395472,0.160183018674506,"phylum"
"SugAdd","phylum_Firmicutes",-0.944752052125876,0.00133741968106515,0.0256784578764509,"phylum"
"SugAdd","phylum_unclassified_Bacteria",0.811489153921283,0.0266971697790844,0.160183018674506,"phylum"
"SugAdd","class_Bacteroidia",0.901321226024619,0.00556749447050902,0.0763542098812666,"class"
