"data_set1","data_set2","cor","p","p_adjust","level"
"Disacc","genus_Butyricicoccus",0.857707509881423,1.03814171235745e-13,9.96616043863156e-12,"genus"
"VitB3","genus_Streptococcus",-0.816064370412197,1.48225110787892e-11,1.42296106356376e-09,"genus"
"Na","genus_Erysipelotrichaceae_incertae_sedis",-0.812831658381579,2.06624394576272e-11,1.98359418793221e-09,"genus"
"Fe","class_Bacilli",-0.797007340485601,9.62498001619834e-11,4.6809760014985e-09,"class"
"Fe","order_Lactobacillales",-0.79686617730096,9.75203333645521e-11,4.6809760014985e-09,"order"
"Chrom","phylum_unclassified_Bacteria",-0.770155170059041,9.83973975192712e-10,1.88923003237001e-08,"phylum"
"Chrom","class_unclassified_Bacteria",-0.770155170059041,9.83973975192712e-10,1.88923003237001e-08,"class"
"Chrom","order_unclassified_Bacteria",-0.770155170059041,9.83973975192712e-10,1.88923003237001e-08,"order"
"Chrom","family_unclassified_Bacteria",-0.770155170059041,9.83973975192712e-10,1.88923003237001e-08,"family"
"Chrom","genus_unclassified_Bacteria",-0.770155170059041,9.83973975192712e-10,1.88923003237001e-08,"genus"
"Fe","family_Streptococcaceae",-0.757905138339921,2.56847835590965e-09,8.21913073891089e-08,"family"
"Iodine","genus_Veillonella",-0.758708827164586,2.41596799696466e-09,2.31932927708607e-07,"genus"
"Sugar","genus_Holdemania",0.757516535217333,2.64541397426591e-09,2.53959741529528e-07,"genus"
"Se","class_Negativicutes",-0.734613212874082,1.3750857383631e-08,4.40027436276193e-07,"class"
"Se","order_Selenomonadales",-0.734613212874082,1.3750857383631e-08,4.40027436276193e-07,"order"
"Se","family_Veillonellaceae",-0.736240080001396,1.23002102214291e-08,4.40027436276193e-07,"family"
"BetaCaro","genus_Parabacteroides",0.750141163184641,4.58499634710758e-09,4.40159649322328e-07,"genus"
"MonSac","genus_Dorea",0.749717673630717,4.72937383611917e-09,4.5401988826744e-07,"genus"
"VitB1","genus_Holdemania",0.744052517545929,7.11880852945681e-09,6.83405618827854e-07,"genus"
