"data_set1","data_set2","cor","p","p_adjust","level"
"percent_pro_cal","genus_unclassified_Coriobacteriaceae",-1,0,0,"genus"
"TotSolFib","phylum_Proteobacteria",-1,0,0,"phylum"
"TotSolFib","class_Betaproteobacteria",-1,0,0,"class"
"TotSolFib","order_Burkholderiales",-1,0,0,"order"
"TotSolFib","family_Sutterellaceae",-1,0,0,"family"
"SolFib","phylum_Proteobacteria",-1,0,0,"phylum"
"SolFib","class_Betaproteobacteria",-1,0,0,"class"
"SolFib","order_Burkholderiales",-1,0,0,"order"
"SolFib","family_Sutterellaceae",-1,0,0,"family"
"Sugar","class_Deltaproteobacteria",-1,0,0,"class"
"Sugar","order_Desulfovibrionales",-1,0,0,"order"
"Sugar","family_Desulfovibrionaceae",-1,0,0,"family"
"Sugar","genus_Bilophila",-1,0,0,"genus"
"Sugar","genus_Clostridium.XlVa",-1,0,0,"genus"
"Sugar","genus_Parabacteroides",-1,0,0,"genus"
"Disacc","family_Clostridiaceae.1",-1,0,0,"family"
"Disacc","genus_Clostridium.sensu.stricto",-1,0,0,"genus"
"MonoFat","family_Rikenellaceae",-1,0,0,"family"
"MonoFat","genus_Alistipes",-1,0,0,"genus"
"PolyFat","family_Bacteroidaceae",-1,0,0,"family"
"PolyFat","genus_Bacteroides",-1,0,0,"genus"
"TransFat","family_Rikenellaceae",-1,0,0,"family"
"TransFat","genus_Alistipes",-1,0,0,"genus"
"Caroten","genus_Oscillibacter",-1,0,0,"genus"
"VitB12","genus_Oscillibacter",-1,0,0,"genus"
"Chrom","genus_Oscillibacter",-1,0,0,"genus"
"Cu","family_Bacteroidaceae",-1,0,0,"family"
"Cu","genus_Bacteroides",-1,0,0,"genus"
"Iodine","genus_Barnesiella",-1,0,0,"genus"
"Iodine","genus_Clostridium.XlVb",-1,0,0,"genus"
"Se","genus_unclassified_Coriobacteriaceae",-1,0,0,"genus"
"Sugar","genus_Faecalibacterium",1,9.37045228299651e-72,1.28509059881095e-70,"genus"
"Caff","phylum_unclassified_Bacteria",1,9.37045228299651e-72,1.79912683833533e-70,"phylum"
"Caff","class_unclassified_Bacteria",1,9.37045228299651e-72,1.79912683833533e-70,"class"
"Caff","order_unclassified_Bacteria",1,9.37045228299651e-72,1.79912683833533e-70,"order"
"Caff","family_unclassified_Bacteria",1,9.37045228299651e-72,1.79912683833533e-70,"family"
"Caff","genus_unclassified_Bacteria",1,9.37045228299651e-72,1.79912683833533e-70,"genus"
"BetaCaro","class_Erysipelotrichia",1,9.37045228299651e-72,2.24890854791916e-70,"class"
"BetaCaro","order_Erysipelotrichales",1,9.37045228299651e-72,2.24890854791916e-70,"order"
"BetaCaro","family_Erysipelotrichaceae",1,9.37045228299651e-72,2.24890854791916e-70,"family"
"BetaCaro","genus_Roseburia",1,9.37045228299651e-72,2.24890854791916e-70,"genus"
"VitC","class_Erysipelotrichia",1,9.37045228299651e-72,2.24890854791916e-70,"class"
"VitC","order_Erysipelotrichales",1,9.37045228299651e-72,2.24890854791916e-70,"order"
"VitC","family_Erysipelotrichaceae",1,9.37045228299651e-72,2.24890854791916e-70,"family"
"VitC","genus_Roseburia",1,9.37045228299651e-72,2.24890854791916e-70,"genus"
"VitK","class_Erysipelotrichia",1,9.37045228299651e-72,2.24890854791916e-70,"class"
"VitK","order_Erysipelotrichales",1,9.37045228299651e-72,2.24890854791916e-70,"order"
"VitK","family_Erysipelotrichaceae",1,9.37045228299651e-72,2.24890854791916e-70,"family"
"VitK","genus_Roseburia",1,9.37045228299651e-72,2.24890854791916e-70,"genus"
"W3","class_Erysipelotrichia",1,9.37045228299651e-72,2.24890854791916e-70,"class"
"W3","order_Erysipelotrichales",1,9.37045228299651e-72,2.24890854791916e-70,"order"
"W3","family_Erysipelotrichaceae",1,9.37045228299651e-72,2.24890854791916e-70,"family"
"W3","genus_Roseburia",1,9.37045228299651e-72,2.24890854791916e-70,"genus"
"Chol","family_Lachnospiraceae",1,9.37045228299651e-72,2.99854473055888e-70,"family"
"Chol","genus_unclassified_Clostridiales_Incertae.Sedis.XIII",1,9.37045228299651e-72,2.99854473055888e-70,"genus"
"Chol","genus_unclassified_Lachnospiraceae",1,9.37045228299651e-72,2.99854473055888e-70,"genus"
"Chln","class_Clostridia",1,9.37045228299651e-72,2.99854473055888e-70,"class"
"Chln","order_Clostridiales",1,9.37045228299651e-72,2.99854473055888e-70,"order"
