"data_set1","data_set2","cor","p","p_adjust","level"
"Fe","class_Bacilli",-0.859119141727837,8.5424549599419e-14,8.20075676154422e-12,"class"
"Fe","family_Streptococcaceae",-0.837238848108413,1.41516536243964e-12,6.79279373971027e-11,"family"
"Fe","order_Lactobacillales",-0.831733483907397,2.68849638879138e-12,8.6031884441324e-11,"order"
"Caff","class_Erysipelotrichia",0.819054671346774,1.08380840551557e-11,3.46818689764983e-10,"class"
"Caff","order_Erysipelotrichales",0.819054671346774,1.08380840551557e-11,3.46818689764983e-10,"order"
"Caff","family_Erysipelotrichaceae",0.819054671346774,1.08380840551557e-11,3.46818689764983e-10,"family"
"Na","genus_Roseburia",0.81832298136646,1.17071563732515e-11,1.12388701183215e-09,"genus"
"Disacc","genus_Butyricicoccus",0.813664596273292,1.89792030431006e-11,1.82200349213766e-09,"genus"
"Chol","genus_Butyricicoccus",-0.803359683794466,5.27718925605245e-11,5.06610168581035e-09,"genus"
"K","family_Ruminococcaceae",0.789949181253529,1.83161053893611e-10,1.75834611737867e-08,"family"
"Chol","genus_Collinsella",-0.762987012987013,1.73712400605572e-09,8.33819522906744e-08,"genus"
"Chol","order_Coriobacteriales",-0.751693958215697,4.09015867285006e-09,9.81638081484014e-08,"order"
"Chol","family_Coriobacteriaceae",-0.751693958215697,4.09015867285006e-09,9.81638081484014e-08,"family"
"TotSolFib","class_Deltaproteobacteria",0.754952460530355,3.20977685236096e-09,1.02712859275551e-07,"class"
"TotSolFib","order_Desulfovibrionales",0.754952460530355,3.20977685236096e-09,1.02712859275551e-07,"order"
"TotSolFib","family_Desulfovibrionaceae",0.754952460530355,3.20977685236096e-09,1.02712859275551e-07,"family"
"TotSolFib","genus_Bilophila",0.747351305437629,5.61765784153923e-09,1.34823788196941e-07,"genus"
"Disacc","genus_Dorea",0.75296442687747,3.7229737438586e-09,1.78702739705213e-07,"genus"
"Fe","genus_Ruminococcus",-0.74214043138385,8.15296927758182e-09,1.95671262661964e-07,"genus"
"Caff","genus_unclassified_Erysipelotrichaceae",0.740868384381873,8.91707871344339e-09,2.14009889122641e-07,"genus"
"Se","family_Veillonellaceae",-0.755646527385658,3.04679350577763e-09,2.92492176554653e-07,"family"
"Na","class_Gammaproteobacteria",-0.73927159796725,9.97115764167538e-09,4.78615566800418e-07,"class"
"Sugar","family_unclassified_Clostridiales",0.736871823828345,1.17764986929066e-08,5.65271937259516e-07,"family"
"Sugar","genus_unclassified_Clostridiales",0.736871823828345,1.17764986929066e-08,5.65271937259516e-07,"genus"
"Ca","order_Lactobacillales",-0.736024844720497,1.24835568727632e-08,5.99210729892632e-07,"order"
"Ca","family_Streptococcaceae",-0.745623941276115,6.36219389129118e-09,5.99210729892632e-07,"family"
"Fluor","class_Erysipelotrichia",0.724872953133823,2.63663901151517e-08,6.3279336276364e-07,"class"
"Fluor","order_Erysipelotrichales",0.724872953133823,2.63663901151517e-08,6.3279336276364e-07,"order"
"Fluor","family_Erysipelotrichaceae",0.724872953133823,2.63663901151517e-08,6.3279336276364e-07,"family"
