"data_set1","data_set2","cor","p","p_adjust","level"
"Alcohol","genus_Clostridium.XVIII",1,0,0,"genus"
"VitD_IU","genus_Erysipelotrichaceae_incertae_sedis",-0.99092970521542,6.55189177126151e-19,6.28981610041104e-17,"genus"
"Ca","genus_Ruminococcus",-0.94596682917827,3.0604784186692e-11,2.93805928192243e-09,"genus"
"VitB1","class_Deltaproteobacteria",-0.937641723356009,1.23868730976465e-10,2.97284954343516e-09,"class"
"VitB1","order_Desulfovibrionales",-0.937641723356009,1.23868730976465e-10,2.97284954343516e-09,"order"
"VitB1","family_Desulfovibrionaceae",-0.937641723356009,1.23868730976465e-10,2.97284954343516e-09,"family"
"VitB1","genus_Bilophila",-0.937641723356009,1.23868730976465e-10,2.97284954343516e-09,"genus"
"VitK","genus_unclassified_Clostridiales_Incertae.Sedis.XIII",0.943310657596372,4.89065127301311e-11,4.69502522209259e-09,"genus"
"VitB1","class_Gammaproteobacteria",-0.931140002319556,3.24944941187212e-10,6.23894287079448e-09,"class"
"Cu","genus_Anaerotruncus",-0.940010284403678,8.49392756294551e-11,8.15417046042769e-09,"genus"
"Disacc","genus_unclassified_Clostridiales_Incertae.Sedis.XIII",0.938775510204082,1.03595476093268e-10,9.94516570495369e-09,"genus"
"VitC","genus_Dorea",0.936507936507937,1.47620152329418e-10,1.41715346236241e-08,"genus"
"TotSolFib","class_unclassified_Firmicutes",-0.925170068027211,7.27703664899026e-10,1.74648879575766e-08,"class"
"TotSolFib","order_unclassified_Firmicutes",-0.925170068027211,7.27703664899026e-10,1.74648879575766e-08,"order"
"TotSolFib","family_unclassified_Firmicutes",-0.925170068027211,7.27703664899026e-10,1.74648879575766e-08,"family"
"TotSolFib","genus_unclassified_Firmicutes",-0.925170068027211,7.27703664899026e-10,1.74648879575766e-08,"genus"
"SolFib","class_unclassified_Firmicutes",-0.925170068027211,7.27703664899026e-10,1.74648879575766e-08,"class"
"SolFib","order_unclassified_Firmicutes",-0.925170068027211,7.27703664899026e-10,1.74648879575766e-08,"order"
"SolFib","family_unclassified_Firmicutes",-0.925170068027211,7.27703664899026e-10,1.74648879575766e-08,"family"
"SolFib","genus_unclassified_Firmicutes",-0.925170068027211,7.27703664899026e-10,1.74648879575766e-08,"genus"
"Zn","class_unclassified_Firmicutes",0.919501133786848,1.47463735800863e-09,3.5391296592207e-08,"class"
"Zn","order_unclassified_Firmicutes",0.919501133786848,1.47463735800863e-09,3.5391296592207e-08,"order"
"Zn","family_unclassified_Firmicutes",0.919501133786848,1.47463735800863e-09,3.5391296592207e-08,"family"
"Zn","genus_unclassified_Firmicutes",0.919501133786848,1.47463735800863e-09,3.5391296592207e-08,"genus"
"Alcohol","class_Erysipelotrichia",0.915352397059374,2.39495292390623e-09,5.74788701737495e-08,"class"
"Alcohol","order_Erysipelotrichales",0.915352397059374,2.39495292390623e-09,5.74788701737495e-08,"order"
"Alcohol","family_Erysipelotrichaceae",0.915352397059374,2.39495292390623e-09,5.74788701737495e-08,"family"
"VitB1","genus_Faecalibacterium",0.908163265306123,5.24865119087885e-09,8.05994678161876e-08,"genus"
"VitB1","genus_unclassified_Porphyromonadaceae",-0.90707584998844,5.87704452826368e-09,8.05994678161876e-08,"genus"
"VitC","genus_Roseburia",0.91609977324263,2.19866226023554e-09,1.05535788491306e-07,"genus"
"Alcohol","genus_unclassified_Erysipelotrichaceae",0.902982770072085,8.88763134194255e-09,1.70642521765297e-07,"genus"
"VitB12","class_Negativicutes",-0.91156462585034,3.65111636909733e-09,1.75253585716672e-07,"class"
"VitB12","order_Selenomonadales",-0.91156462585034,3.65111636909733e-09,1.75253585716672e-07,"order"
"Cu","family_Rikenellaceae",-0.905895691609977,6.63414829248326e-09,2.12292745359464e-07,"family"
"Cu","genus_Alistipes",-0.905895691609977,6.63414829248326e-09,2.12292745359464e-07,"genus"
"K","genus_Butyricimonas",0.915352397059374,2.39495292390623e-09,2.29915480694998e-07,"genus"
"VitB1","phylum_Proteobacteria",-0.887755102040816,3.57815956160292e-08,4.2937914739235e-07,"phylum"
"VitC","genus_Holdemania",0.896797956578441,1.60585877389755e-08,5.13874807647217e-07,"genus"
"VitB1","class_Betaproteobacteria",-0.880952380952381,6.25885939556648e-08,5.4622772906762e-07,"class"
"VitB1","order_Burkholderiales",-0.880952380952381,6.25885939556648e-08,5.4622772906762e-07,"order"
"VitB1","family_Sutterellaceae",-0.880952380952381,6.25885939556648e-08,5.4622772906762e-07,"family"
"VitB12","order_Coriobacteriales",-0.892290249433107,2.41542238385733e-08,5.7970137212576e-07,"order"
"VitB12","family_Coriobacteriaceae",-0.892290249433107,2.41542238385733e-08,5.7970137212576e-07,"family"
"VitD_IU","class_unclassified_Firmicutes",0.882086167800454,5.71552110734833e-08,1.09738005261088e-06,"class"
"VitD_IU","order_unclassified_Firmicutes",0.882086167800454,5.71552110734833e-08,1.09738005261088e-06,"order"
"VitD_IU","family_unclassified_Firmicutes",0.882086167800454,5.71552110734833e-08,1.09738005261088e-06,"family"
"VitD_IU","genus_unclassified_Firmicutes",0.882086167800454,5.71552110734833e-08,1.09738005261088e-06,"genus"
"VitC","genus_unclassified_Clostridiales_Incertae.Sedis.XIII",0.884353741496599,4.75293038876209e-08,1.1407032933029e-06,"genus"
"VitD_IU","genus_Butyricicoccus",-0.876417233560091,8.92022152150974e-08,1.42723544344156e-06,"genus"
"Chol","genus_Prevotella",-0.895691609977324,1.77812067615257e-08,1.70699584910647e-06,"genus"
"BetaCaro","genus_unclassified_Clostridiales_Incertae.Sedis.XIII",0.892290249433107,2.41542238385735e-08,2.31880548850306e-06,"genus"
"Alcohol","family_Peptostreptococcaceae",0.86463692641149,2.10698620002275e-07,2.88958107431691e-06,"family"
"Alcohol","genus_Clostridium.XI",0.86463692641149,2.10698620002275e-07,2.88958107431691e-06,"genus"
"Sugar","class_unclassified_Firmicutes",-0.856009070294784,3.76464999509006e-07,5.16294856469493e-06,"class"
"Sugar","order_unclassified_Firmicutes",-0.856009070294784,3.76464999509006e-07,5.16294856469493e-06,"order"
"Sugar","family_Bacteroidaceae",-0.865079365079365,2.04304002837117e-07,5.16294856469493e-06,"family"
"Sugar","family_unclassified_Firmicutes",-0.856009070294784,3.76464999509006e-07,5.16294856469493e-06,"family"
"Sugar","genus_Bacteroides",-0.865079365079365,2.04304002837117e-07,5.16294856469493e-06,"genus"
"Sugar","genus_Erysipelotrichaceae_incertae_sedis",0.860544217687075,2.78809167169516e-07,5.16294856469493e-06,"genus"
"Sugar","genus_unclassified_Firmicutes",-0.856009070294784,3.76464999509006e-07,5.16294856469493e-06,"genus"
"Energy","genus_Coprococcus",-0.880952380952381,6.25885939556648e-08,6.00850501974382e-06,"genus"
"VitB12","family_Veillonellaceae",-0.852596407991868,4.68807739881518e-07,7.50092383810429e-06,"family"
"VitB12","genus_Veillonella",-0.852596407991868,4.68807739881518e-07,7.50092383810429e-06,"genus"
"SugAdd","class_Bacilli",-0.856752904891823,3.58622918273116e-07,1.14759333847397e-05,"class"
"SugAdd","family_Streptococcaceae",-0.856752904891823,3.58622918273116e-07,1.14759333847397e-05,"family"
"SugAdd","genus_Streptococcus",-0.856752904891823,3.58622918273116e-07,1.14759333847397e-05,"genus"
"SugAdd","order_Lactobacillales",-0.849843607271728,5.57358982932481e-07,1.33766155903796e-05,"order"
"VitK","genus_Dorea",0.860544217687075,2.78809167169516e-07,1.33828400241368e-05,"genus"
"TotFib","phylum_Bacteroidetes",-0.851473922902494,5.03285644583576e-07,1.61051406266744e-05,"phylum"
"TotFib","class_Bacteroidia",-0.851473922902494,5.03285644583576e-07,1.61051406266744e-05,"class"
"TotFib","order_Bacteroidales",-0.851473922902494,5.03285644583576e-07,1.61051406266744e-05,"order"
"TotFib","genus_Coprococcus",0.843537414965986,8.1813608791365e-07,1.91890499429799e-05,"genus"
"TotFib","genus_Erysipelotrichaceae_incertae_sedis",0.840136054421769,9.99429684530203e-07,1.91890499429799e-05,"genus"
"TotSolFib","genus_Erysipelotrichaceae_incertae_sedis",0.840136054421769,9.99429684530203e-07,1.91890499429799e-05,"genus"
"SolFib","genus_Erysipelotrichaceae_incertae_sedis",0.840136054421769,9.99429684530203e-07,1.91890499429799e-05,"genus"
"VitK","family_Rikenellaceae",0.842403628117914,8.75036004770464e-07,1.91890499429799e-05,"family"
"VitK","genus_Alistipes",0.842403628117914,8.75036004770464e-07,1.91890499429799e-05,"genus"
"VitK","genus_Roseburia",0.840136054421769,9.99429684530203e-07,1.91890499429799e-05,"genus"
"percent_carb_cal","phylum_Bacteroidetes",-0.845804988662132,7.14058892671052e-07,2.24497579804837e-05,"phylum"
"percent_carb_cal","class_Bacteroidia",-0.845804988662132,7.14058892671052e-07,2.24497579804837e-05,"class"
"percent_carb_cal","order_Bacteroidales",-0.845804988662132,7.14058892671052e-07,2.24497579804837e-05,"order"
"percent_carb_cal","genus_Coprococcus",0.841269841269841,9.35406582520153e-07,2.24497579804837e-05,"genus"
"VitK","class_Clostridia",0.828798185941043,1.88660460189436e-06,2.26392552227323e-05,"class"
"VitK","order_Clostridiales",0.828798185941043,1.88660460189436e-06,2.26392552227323e-05,"order"
"VitK","genus_Holdemania",0.831857414895174,1.59671311254031e-06,2.26392552227323e-05,"genus"
"Fe","class_Bacilli",-0.836734693877551,1.21535356749285e-06,2.33347884958628e-05,"class"
"Fe","class_Gammaproteobacteria",-0.851458095030597,5.03787438643542e-07,2.33347884958628e-05,"class"
"Fe","family_Streptococcaceae",-0.836734693877551,1.21535356749285e-06,2.33347884958628e-05,"family"
"Fe","genus_Streptococcus",-0.836734693877551,1.21535356749285e-06,2.33347884958628e-05,"genus"
"Fe","genus_unclassified_Porphyromonadaceae",-0.85865958275433,3.16261852751325e-07,2.33347884958628e-05,"genus"
"Fe","phylum_Proteobacteria",-0.832199546485261,1.56687736062954e-06,2.50700377700726e-05,"phylum"
"Fe","class_Betaproteobacteria",-0.820861678004535,2.86590640643878e-06,3.0569668335347e-05,"class"
"Fe","order_Burkholderiales",-0.820861678004535,2.86590640643878e-06,3.0569668335347e-05,"order"
"Fe","family_Sutterellaceae",-0.820861678004535,2.86590640643878e-06,3.0569668335347e-05,"family"
"Moly","genus_Ruminococcus",0.857229110987163,3.47597529029541e-07,3.33693627868359e-05,"genus"
