"data_set1","data_set2","cor","p","p_adjust","level"
"Energy","family_Porphyromonadaceae",-1,0,0,"family"
"percent_fat_cal","class_Gammaproteobacteria",-1,0,0,"class"
"Sugar","phylum_Bacteroidetes",-1,0,0,"phylum"
"Sugar","class_Bacteroidia",-1,0,0,"class"
"Sugar","order_Bacteroidales",-1,0,0,"order"
"MonSac","class_unclassified_Firmicutes",-1,0,0,"class"
"MonSac","order_unclassified_Firmicutes",-1,0,0,"order"
"MonSac","family_unclassified_Firmicutes",-1,0,0,"family"
"MonSac","genus_unclassified_Firmicutes",-1,0,0,"genus"
"SatFat","phylum_Verrucomicrobia",-1,0,0,"phylum"
"SatFat","class_Verrucomicrobiae",-1,0,0,"class"
"SatFat","order_Verrucomicrobiales",-1,0,0,"order"
"SatFat","family_Verrucomicrobiaceae",-1,0,0,"family"
"SatFat","genus_Akkermansia",-1,0,0,"genus"
"SatFat","genus_Faecalibacterium",-1,0,0,"genus"
"PolyFat","family_Streptococcaceae",-1,0,0,"family"
"PolyFat","genus_Streptococcus",-1,0,0,"genus"
"Retinol","genus_Lachnospiracea_incertae_sedis",-1,0,0,"genus"
"VitB1","class_Bacilli",-1,0,0,"class"
"VitB1","order_Lactobacillales",-1,0,0,"order"
"VitB1","genus_Veillonella",-1,0,0,"genus"
"VitB2","genus_Lachnospiracea_incertae_sedis",-1,0,0,"genus"
"VitB3","family_Streptococcaceae",-1,0,0,"family"
"VitB3","genus_Streptococcus",-1,0,0,"genus"
"VitB_NE","genus_Clostridium.XVIII",-1,0,0,"genus"
"VitB6","genus_Clostridium.XVIII",-1,0,0,"genus"
"VitB12","class_Bacilli",-1,0,0,"class"
"VitB12","order_Lactobacillales",-1,0,0,"order"
"VitB12","genus_Veillonella",-1,0,0,"genus"
"VitD_IU","genus_Dorea",-1,0,0,"genus"
"VitE_a_Toco","class_Erysipelotrichia",-1,0,0,"class"
"VitE_a_Toco","order_Erysipelotrichales",-1,0,0,"order"
"VitE_a_Toco","family_Erysipelotrichaceae",-1,0,0,"family"
"VitK","class_Betaproteobacteria",-1,0,0,"class"
"VitK","order_Burkholderiales",-1,0,0,"order"
"Panto","family_Streptococcaceae",-1,0,0,"family"
"Panto","genus_Streptococcus",-1,0,0,"genus"
"Cu","family_Streptococcaceae",-1,0,0,"family"
"Cu","genus_Streptococcus",-1,0,0,"genus"
"Iodine","class_Bacilli",-1,0,0,"class"
"Iodine","order_Lactobacillales",-1,0,0,"order"
"Iodine","genus_Veillonella",-1,0,0,"genus"
"Fe","family_Lachnospiraceae",-1,0,0,"family"
"Fe","genus_Coprococcus",-1,0,0,"genus"
"Mg","genus_Ruminococcus",-1,0,0,"genus"
"Mn","genus_Roseburia",-1,0,0,"genus"
"Mn","genus_unclassified_Lachnospiraceae",-1,0,0,"genus"
