"data_set1","data_set2","cor","p","p_adjust","level"
"Fe","class_Bacilli",-0.826187466136897,8.13159416176248e-15,7.80633039529198e-13,"class"
"Fe","order_Lactobacillales",-0.797724399494311,3.08433229418652e-13,9.86986334139688e-12,"order"
"Fe","family_Streptococcaceae",-0.800541809644212,2.20956974965204e-13,9.86986334139688e-12,"family"
"Disacc","genus_Butyricicoccus",0.781542351453856,1.90209773749328e-12,1.82601382799355e-10,"genus"
"Disacc","genus_Dorea",0.732273794473542,2.10687013182712e-10,1.01129766327702e-08,"genus"
"Fe","genus_Streptococcus",-0.720498464872675,5.5859929880809e-10,1.34063831713942e-08,"genus"
"Se","class_Negativicutes",-0.719270363012461,6.16641647362138e-10,1.97325327155884e-08,"class"
"Se","order_Selenomonadales",-0.719270363012461,6.16641647362138e-10,1.97325327155884e-08,"order"
"Se","family_Veillonellaceae",-0.730177864991162,2.51546217375925e-10,1.97325327155884e-08,"family"
"Ca","genus_Ruminococcus",-0.729599096951555,2.64088636388284e-10,2.53525090932752e-08,"genus"
"VitE_a_Toco","class_unclassified_Firmicutes",0.700126422250316,2.69974203337602e-09,6.47938088010244e-08,"class"
"VitE_a_Toco","order_unclassified_Firmicutes",0.700126422250316,2.69974203337602e-09,6.47938088010244e-08,"order"
"VitE_a_Toco","family_unclassified_Firmicutes",0.700126422250316,2.69974203337602e-09,6.47938088010244e-08,"family"
"VitE_a_Toco","genus_unclassified_Firmicutes",0.700126422250316,2.69974203337602e-09,6.47938088010244e-08,"genus"
"Na","family_Acidaminococcaceae",0.687764632441627,6.5985559164784e-09,6.33461367981926e-07,"family"
"VitB12","genus_unclassified_Coriobacteriaceae",-0.683944374209861,8.62134984396013e-09,8.27649585020173e-07,"genus"
"VitD_IU","genus_unclassified_Coriobacteriaceae",-0.681632653061224,1.01158686372332e-08,9.71123389174383e-07,"genus"
"VitB1","genus_Holdemania",0.677655626651735,1.32735985714967e-08,1.27426546286369e-06,"genus"
"VitD_IU","genus_Butyricicoccus",-0.667039913310457,2.6865784006727e-08,1.2895576323229e-06,"genus"
"Disacc","class_Erysipelotrichia",0.647751489976522,9.01878427041055e-08,1.73160657991882e-06,"class"
"Disacc","order_Erysipelotrichales",0.647751489976522,9.01878427041055e-08,1.73160657991882e-06,"order"
"Disacc","family_Erysipelotrichaceae",0.647751489976522,9.01878427041055e-08,1.73160657991882e-06,"family"
"VitB12","genus_Streptococcus",-0.654036481849377,6.13609811445151e-08,2.94532709493673e-06,"genus"
"Disacc","genus_unclassified_Clostridiales_Incertae.Sedis.XIII",0.634101132929764,2.02065821013194e-07,3.23305313621111e-06,"genus"
"SolFib","class_unclassified_Firmicutes",-0.63915477695503,1.50589834855613e-07,3.61415603653472e-06,"class"
"SolFib","order_unclassified_Firmicutes",-0.63915477695503,1.50589834855613e-07,3.61415603653472e-06,"order"
"SolFib","family_unclassified_Firmicutes",-0.63915477695503,1.50589834855613e-07,3.61415603653472e-06,"family"
"SolFib","genus_unclassified_Firmicutes",-0.63915477695503,1.50589834855613e-07,3.61415603653472e-06,"genus"
"Energy","genus_Coprococcus",-0.655481307567275,5.60908088374138e-08,5.38471764839172e-06,"genus"
