"data_set1","data_set2","cor","p","p_adjust","level","class"
"Alcohol","genus_Clostridium.XVIII",1,0,0,"genus","IR"
"Alcohol","class_Erysipelotrichia",0.915352397059374,2.39495292390623e-09,5.74788701737495e-08,"class","IR"
"Alcohol","order_Erysipelotrichales",0.915352397059374,2.39495292390623e-09,5.74788701737495e-08,"order","IR"
"Alcohol","family_Erysipelotrichaceae",0.915352397059374,2.39495292390623e-09,5.74788701737495e-08,"family","IR"
"Alcohol","genus_unclassified_Erysipelotrichaceae",0.902982770072085,8.88763134194255e-09,1.70642521765297e-07,"genus","IR"
"Alcohol","family_Peptostreptococcaceae",0.86463692641149,2.10698620002275e-07,2.88958107431691e-06,"family","IR"
"Alcohol","genus_Clostridium.XI",0.86463692641149,2.10698620002275e-07,2.88958107431691e-06,"genus","IR"
"Alcohol","family_Clostridiaceae.1",0.807736642269961,5.48342983733067e-06,5.84899182648605e-05,"family","IR"
"Alcohol","genus_Clostridium.sensu.stricto",0.807736642269961,5.48342983733067e-06,5.84899182648605e-05,"genus","IR"
"Alcohol","phylum_Firmicutes",0.651260860880757,0.00102710869113036,0.00986024343485145,"phylum","IR"
"Alcohol","genus_Roseburia",0.645076047387113,0.00118877150744483,0.0103747331558821,"genus","IR"
"Alcohol","genus_Odoribacter",-0.637035789845375,0.00143088184087184,0.0114470547269747,"genus","IR"
"Alcohol","genus_Dorea",0.612915017220162,0.00242273731717066,0.0178909832652603,"genus","IR"
"Alcohol","genus_Faecalibacterium",0.575187654908931,0.00510158541123355,0.0349822999627443,"genus","IR"
"BetaCaro","class_Erysipelotrichia",1,9.37045228299651e-72,2.99854473055888e-70,"class","IS"
"BetaCaro","order_Erysipelotrichales",1,9.37045228299651e-72,2.99854473055888e-70,"order","IS"
"BetaCaro","family_Erysipelotrichaceae",1,9.37045228299651e-72,2.99854473055888e-70,"family","IS"
"BetaCaro","family_Porphyromonadaceae",0.944700460829493,1.18826779542726e-05,0.000228147416722033,"family","IS"
