data_set1,data_set2,cor,p,p_adjust,p_adjust2,Mass,Compounds_ID,Metabolite,KEGG,HMDB,CAS,ChEBI,ppm,Mode,med,Ions,MSMS,Used.for.Quant,Super.pathway,Sub.pathway
Energy,pHILIC_298.1139_4.7,-0.0628822405215823,0.513996859253933,0.715538358387018,0.699971432410448,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
percent_carb_cal,pHILIC_298.1139_4.7,0.0236237185536866,0.806478528017076,0.868120198948317,0.893460504075318,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
percent_pro_cal,pHILIC_298.1139_4.7,0.103991302154555,0.279632586675997,0.460262223802852,0.480465965635317,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
percent_fat_cal,pHILIC_298.1139_4.7,-0.178220510281022,0.0624929122474859,0.192023675815002,0.182924514706121,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
TotFib,pHILIC_298.1139_4.7,0.0301141479155898,0.754810490484073,0.850419819278723,0.864086269421534,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
TotSolFib,pHILIC_298.1139_4.7,0.0476626801541709,0.620980584199018,0.795043323709348,0.777810528970857,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
SolFib,pHILIC_298.1139_4.7,0.16254057175303,0.0897784481420466,0.266185223438699,0.233695309505467,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
Sugar,pHILIC_298.1139_4.7,-0.105146761067383,0.274295243606319,0.483311636246876,0.473729243745421,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
SugAdd,pHILIC_298.1139_4.7,-0.0289709124277782,0.763840379541276,0.860593494283171,0.869039098178067,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
MonSac,pHILIC_298.1139_4.7,-0.114706378166487,0.232771179927817,0.470775193412967,0.427851738663447,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
