data_set1,data_set2,cor,p,p_adjust,p_adjust2,Mass,Compounds_ID,Metabolite,KEGG,HMDB,CAS,ChEBI,ppm,Mode,med,Ions,MSMS,Used.for.Quant,Super.pathway,Sub.pathway
Energy,pHILIC_298.1139_4.7,-0.64200851015676,0.0012766682085406,0.0215643282599201,0.0115389678545896,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
percent_carb_cal,pHILIC_298.1139_4.7,0.117246235010898,0.603320799709465,0.80284421378661,0.770451155260575,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
percent_pro_cal,pHILIC_298.1139_4.7,0.141150807197586,0.530947749492158,0.690232074339806,0.711398502947085,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
percent_fat_cal,pHILIC_298.1139_4.7,-0.13318261646869,0.554614193827737,0.732264052788184,0.731293881070961,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
TotFib,pHILIC_298.1139_4.7,0.0136597555352502,0.951890759839693,0.997655063390164,0.991635907872078,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
TotSolFib,pHILIC_298.1139_4.7,-0.195789829338586,0.382539664195936,0.574684653611457,0.584811021027991,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
SolFib,pHILIC_298.1139_4.7,0.162778753461732,0.469199483977204,0.682290536926451,0.659131081866974,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
Sugar,pHILIC_298.1139_4.7,0.132044303507419,0.558033512525078,0.656896550293193,0.734289139369344,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
SugAdd,pHILIC_298.1139_4.7,-0.710307287833011,0.0002122966093193,0.0017939063487481,0.0031587055310183,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
MonSac,pHILIC_298.1139_4.7,0.258397042208483,0.245603406754554,0.553426343220262,0.439358840483431,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
