Pathway,Overall,IS,IR
Monoacylglycerol,150,113,150
Dipeptide,120,105,96
Androgenic Steroids,73,112,72
Food Component/Plant,83,76,68
Benzoate Metabolism,72,78,69
Tyrosine Metabolism,72,79,62
Primary Bile Acid Metabolism,65,42,65
Urea cycle; Arginine and Proline Metabolism,44,38,56
"""Leucine, Isoleucine and Valine Metabolism""",41,59,28
Glutathione Metabolism,41,52,34
Gamma-glutamyl Amino Acid,41,50,30
Chemical,44,35,36
Histidine Metabolism,29,48,29
Tryptophan Metabolism,34,23,40
Xanthine Metabolism,40,18,38
Secondary Bile Acid Metabolism,31,28,28
Pentose Metabolism,29,17,33
Progestin Steroids,20,32,23
"""Pyrimidine Metabolism, Uracil containing""",22,30,17
Phospholipid Metabolism,20,27,18
Hemoglobin and Porphyrin Metabolism,20,17,26
"""Purine Metabolism, Adenine containing""",28,16,16
Butanoate metabolism,23,25,11
Ascorbate and Aldarate Metabolism,16,15,18
Vitamin D Metabolism,13,23,10
Fatty Acid Metabolism(Acyl Glycine),11,22,12
"""Pyrimidine Metabolism, Orotate containing""",22,11,11
Long Chain Fatty Acid,10,18,14
Sterol,16,13,11
Sphingolipid Metabolism,11,7,18
Pantothenate and CoA Metabolism,10,9,12
Acetylated Peptides,12,4,13
"""Purine Metabolism, Guanine containing""",6,19,3
Nicotinate and Nicotinamide Metabolism,15,4,8
Tocopherol Metabolism,4,10,7
"""Glycine, Serine and Threonine Metabolism""",4,9,8
Phenylalanine Metabolism,4,7,5
