data_set1,data_set2,Metabolite,Super.pathway,Sub.pathway,cor_IS,cor_IR,p_adjust_cor_IS,p_adjust_cor_IR,p-value,BH p-value,cor_signifiance_type,cor_direction_difference
percent_carb_cal,nHILIC_481.244_5.2,11-beta-Hydroxyandrosterone-3-glucuronide,Lipid,Androgenic Steroids,0.505410954804258,-0.466062024575775,0.0688558297508163,0.0010424436769764,0.0073570551716756,0.0341313063747232,IR,False
percent_fat_cal,nHILIC_481.244_5.2,11-beta-Hydroxyandrosterone-3-glucuronide,Lipid,Androgenic Steroids,-0.461016749314695,0.477263228287219,0.129517636879121,0.0012270175482625,0.0073570551716756,0.0341313063747232,IR,False
TotFib,nHILIC_481.244_5.2,11-beta-Hydroxyandrosterone-3-glucuronide,Lipid,Androgenic Steroids,-0.290269805124067,-0.551659282788598,0.47232147355289,6.6727378131539e-05,0.0073570551716756,0.0341313063747232,IR,True
Sugar,nHILIC_481.244_5.2,11-beta-Hydroxyandrosterone-3-glucuronide,Lipid,Androgenic Steroids,0.820723645076284,0.165970074396054,3.25190142550759e-05,0.347326853050075,0.0073570551716756,0.0341313063747232,IS,True
SugAdd,nHILIC_481.244_5.2,11-beta-Hydroxyandrosterone-3-glucuronide,Lipid,Androgenic Steroids,0.630625380544051,0.453329986798122,0.0075386014399368,0.0020301793545504,0.0073570551716756,0.0341313063747232,both,True
Biot,nHILIC_481.244_5.2,11-beta-Hydroxyandrosterone-3-glucuronide,Lipid,Androgenic Steroids,-0.537283717719842,-0.137340132073895,0.0399169916981508,0.493336014781759,0.0073570551716756,0.0341313063747232,IS,True
VitE_a_Toco,nHILIC_481.244_5.2,11-beta-Hydroxyandrosterone-3-glucuronide,Lipid,Androgenic Steroids,-0.723967043368261,-0.0419209228454401,0.0009432699185817,0.886542309102499,0.0073570551716756,0.0341313063747232,IS,True
Panto,nHILIC_481.244_5.2,11-beta-Hydroxyandrosterone-3-glucuronide,Lipid,Androgenic Steroids,0.685264402685053,-0.258421800551701,0.0033235000868409,0.187465481348067,0.0073570551716756,0.0341313063747232,IS,False
Fluor,nHILIC_481.244_5.2,11-beta-Hydroxyandrosterone-3-glucuronide,Lipid,Androgenic Steroids,0.901543865326514,-0.51956031095879,5.76533002555155e-07,0.0004399448872015,0.0073570551716756,0.0341313063747232,both,False
Iodine,nHILIC_481.244_5.2,11-beta-Hydroxyandrosterone-3-glucuronide,Lipid,Androgenic Steroids,0.610135747241176,0.0121625010448884,0.0445761636371183,0.968639276737077,0.0073570551716756,0.0341313063747232,IS,True
W3,nHILIC_481.244_5.2,11-beta-Hydroxyandrosterone-3-glucuronide,Lipid,Androgenic Steroids,0.64200851015676,-0.165928278859818,0.0079909973053097,0.297413333105499,0.0073570551716756,0.0341313063747232,IS,False
percent_carb_cal,nRPLC_383.1535_7.6,16a-hydroxy DHEA 3-sulfate,Lipid,Androgenic Steroids,-0.410930979018777,-0.430619409847028,0.142591779895279,0.0025703796183805,0.0153677549161162,0.0542744124842349,IR,True
percent_pro_cal,nRPLC_383.1535_7.6,16a-hydroxy DHEA 3-sulfate,Lipid,Androgenic Steroids,-0.130905990546148,0.344562400735601,0.708112849601135,0.0288574825030303,0.0153677549161162,0.0542744124842349,IR,False
TotSolFib,nRPLC_383.1535_7.6,16a-hydroxy DHEA 3-sulfate,Lipid,Androgenic Steroids,0.212864523757649,-0.341678508735267,0.524051992422086,0.0290676888167934,0.0153677549161162,0.0542744124842349,IR,False
SatFat,nRPLC_383.1535_7.6,16a-hydroxy DHEA 3-sulfate,Lipid,Androgenic Steroids,0.743318363709866,0.16271002256959,0.0031155540574612,0.355493731821747,0.0153677549161162,0.0542744124842349,IS,True
TransFat,nRPLC_383.1535_7.6,16a-hydroxy DHEA 3-sulfate,Lipid,Androgenic Steroids,0.682987776762511,-0.267658614060018,0.0047146689438386,0.0883555393738912,0.0153677549161162,0.0542744124842349,IS,False
Retinol,nRPLC_383.1535_7.6,16a-hydroxy DHEA 3-sulfate,Lipid,Androgenic Steroids,-0.597614304667197,0.0276268494524785,0.0174955670059547,0.888831378616565,0.0153677549161162,0.0542744124842349,IS,False
VitB1,nRPLC_383.1535_7.6,16a-hydroxy DHEA 3-sulfate,Lipid,Androgenic Steroids,-0.763807997012741,-0.172406586976511,0.000661667857386,0.422844653587187,0.0153677549161162,0.0542744124842349,IS,True
VitB2,nRPLC_383.1535_7.6,16a-hydroxy DHEA 3-sulfate,Lipid,Androgenic Steroids,-0.799095698812138,0.0648248767031681,0.000125817742048,0.774674301098491,0.0153677549161162,0.0542744124842349,IS,False
VitB6,nRPLC_383.1535_7.6,16a-hydroxy DHEA 3-sulfate,Lipid,Androgenic Steroids,-0.620380563892614,0.198027250689626,0.0134400770876648,0.271783621832503,0.0153677549161162,0.0542744124842349,IS,False
VitB12,nRPLC_383.1535_7.6,16a-hydroxy DHEA 3-sulfate,Lipid,Androgenic Steroids,-0.768361248857825,-0.039454986207473,0.0004169928405704,0.856792567186308,0.0153677549161162,0.0542744124842349,IS,True
VitD_IU,nRPLC_383.1535_7.6,16a-hydroxy DHEA 3-sulfate,Lipid,Androgenic Steroids,-0.832106774688992,-0.300175541252194,1.77440821472281e-05,0.0613459636892795,0.0153677549161162,0.0542744124842349,IS,True
